Enzyme_Index,UniProt_ID,Organism,N_samples,N_positive,N_negative,AUC-ROC,Mean_prob_positive,Mean_prob_negative
162,Q2IU02,Rhodopseudomonas palustris HaA2,3,2,1,1.0,0.038490829000000004,0.013595899
11,Q385E8,Trypanosoma brucei,2,0,2,,,0.00119547805
251,Q55080,Saccharolobus solfataricus,4,0,4,,,0.0026689008825
144,Q59523,Micromonospora griseorubida,3,2,1,0.5,0.37538761499999995,0.58734846
208,Q59819,Streptomyces antibioticus,2,1,1,1.0,0.15263005,5.1271094e-05
172,Q5YNS8,Nocardia farcinica IFM 10152,3,3,0,,0.02465099933333333,
1,Q7Z1V1,Trypanosoma cruzi,6,0,6,,,0.037166562550000004
81,Q7Z1V1,Trypanosoma cruzi,4,0,4,,,0.26176929000000004
86,Q7Z1V1,Trypanosoma cruzi,2,0,2,,,0.2370868
156,Q8NSW2,Corynebacterium glutamicum ATCC 13032,2,2,0,,0.009506083700000001,
109,Q8VS75,Streptomyces acidiscabies 84-104,2,2,0,,0.45908871500000004,
62,Q96242,Arabidopsis thaliana,2,0,2,,,0.31490296500000003
