"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive"
"brenda","19492","23122","Q2KIG5","533","CCCCC[C@H](O)C=C[C@@H]1[C@@H](CCCCCCC(=O)O)[C@@H]2C[C@H]1OO2","1","1"
"brenda","20292","5097","Q6XQ14","511","CCC(C)/C=N\O","1","1"
"brenda","20794","5657","A8CDR5","486","COc1cc(C[C@H]2c3cc(O)c(OC)cc3CCN2C)ccc1O","1","1"
"brenda","21009","5680","E9KBR8","527","O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21","1","1"
"brenda","23995","5189","P93147","499","COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1","1","1"
"brenda","24218","5126","Q6ZWL3","525","CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O","1","1"
"brenda","25790","5123","P51589","502","CCCCC/C=C\C/C=C\C=C\[C@H](C/C=C\CCCC(=O)O)OO","1","1"
"brenda","26799","5314","A0A1D6GQ67","506","C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1","1","1"
"brenda","28210","21390","P24557","533","CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O","1","1"
"brenda","28897","5315","B4FVP3","505","CC1(C)CCC=C([C@@H]2CC=C(C=O)CC2)C1","1","1"
"brenda","29752","5125","P78329","520","CCCCCCCCCCCCCCCC(O)CC(=O)O","1","1"
"brenda","30495","5040","P05185","509","CC(=O)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","30752","21390","P24557","533","CCCCC[C@H](O)C=C[C@@H]1[C@@H](CCCCCCC(=O)O)[C@@H]2C[C@H]1OO2","1","1"
"brenda","30967","5317","P93149","523","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21","1","1"
"brenda","31070","21390","P24557","533","CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)OO","1","1"
"brenda","31206","5272","K4CI52","469","CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","31295","5109","P08684","503","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","31328","4928","Q9ZAU3","415","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","1","1"
"brenda","32361","5116","A0A0C5QRZ2","492","CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2","1","1"
"brenda","33611","5247","Q9Y7C8","528","C[C@@H]1CC[C@H]2C(=C[C@@H](O)[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(=O)O)C1","1","1"
"brenda","33993","5064","Q6VVX0","501","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","1"
"brenda","34040","5254","F6H9N6","480","C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12","1","1"
"brenda","34878","5225","P98183","506","CC[C@]12C=CCN3CC[C@@]4(c5ccccc5N[C@H]4[C@](O)(C(=O)OC)C1)[C@@H]32","1","1"
"brenda","34982","5320","O49394","523","N#CC(=O)c1c[nH]c2ccccc12","1","1"
"brenda","35000","5098","P48421","502","N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O","1","1"
"brenda","35587","5285","Q94FM7","504","C=C(C)[C@@H]1CC=C2[C@H](O)CC[C@@H](C)[C@@]2(C)C1","1","1"
"brenda","35643","5095","O48958","531","O/N=C/Cc1ccccc1","1","1"
"brenda","36017","5034","P05093","508","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","36205","5100","O65782","499","CC(O)=N[C@@H](CS)C(=O)O","1","1"
"brenda","36311","5267","Q9FH76","463","CC1=C(C)C(O)(/C=C/C(C)=C\C(=O)O)C(C)(C)CC1=O","1","1"
"brenda","37291","5325","F8S1H8","491","C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)C[C@H]1O","1","1"
"brenda","37298","21284","Q9LLB0","510","CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO","1","1"
"brenda","37408","5112","Q9LSF8","515","CC(C)=CCC/C(C)=C/CC[C@@](C)(O)[C@@H]1CC[C@H]2[C@@]1(C)CC[C@H]1C(C)(C)[C@@H](O)CC[C@]21C","1","1"
"brenda","37926","3383","P23295","403","[NH4+]","1","1"
"brenda","38015","21390","P24557","533","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1","1"
"brenda","38199","5281","C0SJS2","473","CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1","1","1"
"brenda","38200","5188","Q2LAL0","503","O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12","1","1"
"brenda","38452","5206","P17549","517","O=C([O-])c1ccccc1F","1","1"
"brenda","38706","5187","Q6WNR0","498","O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12","1","1"
"brenda","39678","5078","P70687","511","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","40090","5267","Q9FH76","463","CC(=C/C(=O)O)/C=C/[C@@]1(O)C=CC(=O)CC1(C)C","1","1"
"brenda","40202","5068","Q9Y6A2","500","CC(C)CCCC(C)[C@H]1CCC2C3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)C3C[C@@H](C)C21","1","1"
"brenda","40212","5056","P22680","504","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","40274","5095","O48958","531","O/N=C\C(O)c1ccc(O)cc1","1","1"
"brenda","40403","5315","B4FVP3","505","CC1=CC[C@@H](C2=CCCC(C)(C)C2)CC1","1","1"
"brenda","40711","5058","P46634","504","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","40786","5121","W0FKI0","503","CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CO","1","1"
"brenda","41053","21391","Q64429","543","CCCCC/C=C\C/C=C\C=C\[C@H](C/C=C\CCCC(=O)O)OO","1","1"
"brenda","41830","5147","Q9SD85","513","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","1"
"brenda","42064","5317","P93149","523","O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21","1","1"
"brenda","42253","21390","P24557","533","CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)OO","1","1"
"brenda","42966","5229","O23051","490","C=C1C[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@@](C)(C(=O)O)C1[C@@H]3C=O","1","1"
"brenda","43249","5657","A8CDR5","486","COc1cc2c(cc1O)C(Cc1ccc(OC)c(OC)c1)N(C)CC2","1","1"
"brenda","43319","5282","Q50EK6","481","CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CO)CCC[C@]21C","1","1"
"brenda","43407","5280","C0SJS4","476","CC(C)(O)C1Cc2c(cc3oc(=O)ccc3c2O)O1","1","1"
"brenda","43443","5079","P30437","514","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","43701","5210","Q08477","520","Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2","1","1"
"brenda","43712","5362","O15528","508","C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","1"
"brenda","43738","5267","Q9FH76","463","CC1=CC(=O)C[C@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","43980","5361","O35084","507","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@@](C)(O)CCCC(C)C","1","1"
"brenda","44391","5267","Q9FH76","463","CC1=CC(=O)C[C@@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","44615","5123","P51589","502","COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1","1","1"
"brenda","45160","5267","Q9FH76","463","CC1=CC(=O)CC(C)(C)[C@H]1/C=C/C(C)=C\C(=O)O","1","1"
"brenda","45222","23120","Q62969","501","CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2","1","1"
"brenda","45259","5095","O48958","531","O/N=C/Cc1ccc(O)cc1","1","1"
"brenda","45500","5039","P19100","509","CC(=O)[C@@]1(O)CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","45567","5094","Q43135","558","O=C(O)[C@H](Cc1ccc(O)cc1)N(O)O","1","1"
"brenda","45581","5123","P51589","502","CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1","1","1"
"brenda","45684","5266","Q9XHC6","513","CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1","1","1"
"brenda","45902","5315","B4FVP3","505","O=O","1","1"
"brenda","46983","5672","B1NF18","505","COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CCN2C)cc1O","1","1"
"brenda","47148","5171","Q59723","406","C/C=C/CCC(C)O","1","1"
"brenda","48105","5267","Q9FH76","463","CC1=CC(=O)CC(C)(C)[C@@]1(F)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","48269","5236","Q43250","535","OC1=Nc2ccccc2C1O","1","1"
"brenda","48795","5073","Q63688","414","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12","1","1"
"brenda","49502","5119","A0A125QZE2","503","CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O","1","1"
"brenda","49663","5063","P08683","500","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","49827","5357","Q64441","514","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","49834","5129","Q02928","519","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1","1"
"brenda","49847","5097","Q6XQ14","511","CC(C)/C=N\O","1","1"
"brenda","50173","5111","A0A1D6F9Y9","554","C=C[C@@](C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C","1","1"
"brenda","50735","5175","A0A0G2RKY1","519","C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3","1","1"
"brenda","51357","5074","Q60991","507","CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","51408","5064","Q6VVX0","501","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","51591","5267","Q9FH76","463","CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C=C\C(=O)O","1","1"
"brenda","51893","5289","X2JE85","496","C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1","1","1"
"brenda","52036","5335","P48422","513","CCCCCCCCCCCCCCCCCC(=O)O","1","1"
"brenda","52188","5675","L7T8H2","489","COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O","1","1"
"brenda","52294","5187","Q6WNR0","498","O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12","1","1"
"brenda","52410","5278","O02766","500","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","52687","5110","Q9GJX5","504","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","53262","5118","A0A3Q7HS74","475","CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1","1","1"
"brenda","53503","5150","Q8W3Y5","513","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","1"
"brenda","53594","5210","Q08477","520","Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2","1","1"
"brenda","53769","5267","Q9FH76","463","CC1=CC(=O)C[C@@](C)(C(F)F)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","54041","21352","Q9FPM6","478","CC/C=C\C/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO","1","1"
"brenda","54224","5130","A2RRT9","525","CCCCCCCCCCCC(=O)O","1","1"
"brenda","54490","5123","P51589","502","CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1","1","1"
"brenda","54495","5284","C0SJS3","478","O=O","1","1"
"brenda","54715","5354","Q06069","410","C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12","1","1"
"brenda","54814","5241","H1A988","523","CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1","1","1"
"brenda","55279","5196","P37114","506","O=O","1","1"
"brenda","55352","5137","P37120","513","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","1"
"brenda","55430","5672","B1NF18","505","COc1ccc(C[C@H]2NCCc3cc(OC)c(O)cc32)cc1O","1","1"
"brenda","55488","21351","Q9AVQ1","478","CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO","1","1"
"brenda","55583","5035","P11715","507","Cc1ncccc1[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","55710","5063","P08683","500","CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1","1","1"
"brenda","56046","5000","P00191","496","CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3C(=O)C[C@]21C","1","1"
"brenda","56347","5267","Q9FH76","463","CC1=C(F)C(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","56378","5358","Q07973","514","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC(O)CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","56543","21272","B3LF83","384","CCCCCC(/C=C/C=C/CCCCCCCC(=O)O)OO","1","1"
"brenda","56688","5644","O64698","499","CC(C)C(C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","56798","5310","Q43255","536","OC1=Nc2ccccc2C1","1","1"
"brenda","56838","5644","O64698","499","C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C","1","1"
"brenda","57087","5097","Q6XQ14","511","CC(C)C#N","1","1"
"brenda","57253","5666","Q50LH4","495","COc1cc2c(cc1O)C1Cc3ccc(OC)c(O)c3CN1CC2","1","1"
"brenda","57279","5206","P17549","517","Cc1ccccc1C(=O)[O-]","1","1"
"brenda","57541","5206","P17549","517","COc1cccc(C(=O)[O-])c1","1","1"
"brenda","57570","5094","Q43135","558","O=C(O)[C@H](Cc1ccc(O)cc1)NO","1","1"
"brenda","57648","21390","P24557","533","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(O)COP(=O)(O)O","1","1"
"brenda","58034","5358","Q07973","514","C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","58779","5206","P17549","517","O=C([O-])c1cccc(Cl)c1","1","1"
"brenda","58890","5147","Q9SD85","513","Oc1ccc([C@H]2Oc3cc(O)ccc3[C@H](O)[C@@H]2O)cc1","1","1"
"brenda","59313","5103","Q9ZUX1","495","CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(O)=N[C@H](C(=O)O)[C@@H](C)CC","1","1"
"brenda","59360","5265","Q8VQF6","404","CC1(C)CC2CCC1CC2","1","1"
"brenda","59368","5115","A0A0S1TP26","453","CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2","1","1"
"brenda","59471","4998","P11511","503","COc1ccc2c(C(F)(F)F)cc(=O)oc2c1","1","1"
"brenda","59578","5097","Q6XQ14","511","CC(C)/C=N/O","1","1"
"brenda","59978","5119","A0A125QZE2","503","CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2","1","1"
"brenda","60181","5247","Q9Y7C8","528","C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]2CC1","1","1"
"brenda","60253","5123","P51589","502","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C","1","1"
"brenda","60307","5296","Q64654","503","CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3","1","1"
"brenda","60328","5094","Q43135","558","N[C@@H](Cc1ccc(O)cc1)C(=O)O","1","1"
"brenda","60333","5125","P78329","520","CCCCC/C=C\C[C@@H](O)/C=C/C=C\C=C\[C@@H](O)CCCC(=O)O","1","1"
"brenda","60337","5296","Q64654","503","C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3)C(C)C","1","1"
"brenda","60524","5128","B8QHP5","523","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1","1"
"brenda","60665","5187","Q6WNR0","498","COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1","1","1"
"brenda","60796","5354","Q06069","410","C[C@@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)CCC4(C)[C@H]3CCC2(C)C1C(=O)CO","1","1"
"brenda","60936","5762","C9K1X7","459","CC(C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]([C@H](O)C[C@H]3C)[C@@](C)(O)C/C=C/12","1","1"
"brenda","61064","5123","P51589","502","CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO","1","1"
"brenda","61129","5097","Q6XQ14","511","CCC(C)/C=N/O","1","1"
"brenda","61362","5127","O23066","553","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1","1"
"brenda","61562","5128","B8QHP5","523","CCCCCCCC[C@H]1O[C@H]1CCCCCCCC(=O)O","1","1"
"brenda","61568","5189","P93147","499","O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12","1","1"
"brenda","61620","5323","F8S1H3","488","C=C(C(=O)O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1","1","1"
"brenda","61624","5339","P15150","503","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12","1","1"
"brenda","61662","5101","Q9FMV7","510","CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(O)=N[C@H](C(=O)O)[C@@H](C)CC","1","1"
"brenda","61826","21277","P48417","536","CC/C=C/C/C(=C/C/C=C/CCCCCCCC(=O)O)OO","1","1"
"brenda","62105","5126","Q6ZWL3","525","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1","1"
"brenda","62222","5669","B5UAQ8","490","COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(O)c3CN1CC2","1","1"
"brenda","62266","4981","P98187","520","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1","1"
"brenda","62347","5060","P51542","501","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","62382","5034","P05093","508","CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","62558","5241","H1A988","523","CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C=O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12","1","1"
"brenda","62574","5167","Q8VWZ7","493","CC(C)=CCC/C(C)=C\CO","1","1"
"brenda","62796","5282","Q50EK6","481","C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(CO)CCC[C@]23C)C1","1","1"
"brenda","63062","5267","Q9FH76","463","CC1=C(Br)C(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","1"
"brenda","63674","5104","I1TEM1","506","CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32","1","1"
"brenda","63717","5097","Q6XQ14","511","CCC(C)C#N","1","1"
"brenda","63796","5253","Q2MJ20","479","C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12","1","1"
"brenda","64163","5267","Q9FH76","463","C[C@H]1CCCC(C)(C)[C@@]1(O)/C=C/C=C\C(=O)O","1","1"
"brenda","64257","5035","P11715","507","C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)Cc1ccccn1","1","1"
"brenda","64485","5167","Q8VWZ7","493","CC(C)=CCC/C(C)=C/CO","1","1"
"brenda","64636","5150","Q8W3Y5","513","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","1"
"brenda","64693","5210","Q08477","520","O=C(O)CCC[C@H](O)/C=C/C=C\C=C\[C@H](O)C/C=C\CCCCCO","1","1"
"brenda","64938","5074","Q60991","507","C[C@H](CCC1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","65098","5357","Q64441","514","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","1"
"brenda","65104","5283","Q94IA6","491","CC(C)[C@H](C)C[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","65229","5150","Q8W3Y5","513","O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O","1","1"
"brenda","65336","5034","P05093","508","CC(=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1"
"brenda","65411","5320","O49394","523","COc1c2occc2cc2ccc(=O)oc12","1","1"
"brenda","65561","5673","I3QBP4","488","COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2","1","1"
"brenda","65697","5208","Q42798","509","Oc1ccc2c(c1)O[C@H]1c3ccc(O)cc3OC[C@@H]21","1","1"
"brenda","65729","5097","Q6XQ14","511","O/N=C\Cc1ccc(O)cc1","1","1"
"brenda","65773","5314","A0A1D6GQ67","506","C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C","1","1"
"brenda","65999","5342","P51663","503","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(CO)[C@@H](C(=O)CO)CC[C@@H]12","1","1"
"brenda","66079","5225","P98183","506","CC[C@]12C=CCN3CC[C@@]4(c5ccccc5N[C@H]4[C@H](C(=O)OC)C1)[C@@H]32","1","1"
