dataset,structure_index,enzyme_index,uniprot,sequence_length,substrate,n_samples,n_positive,best_entry_id,best_entity_id,best_rcsb_polymer_entity_id,best_auth_asym_ids,best_reference_sequence_coverage,best_entity_sequence_coverage,best_ligand_comp_ids,best_target_file,n_heme_fe_candidates_for_uniprot,target_auth_asym_ids,file_path,exists,parse_ok,n_atoms,n_target_atoms,n_protein_atoms_total,n_protein_atoms_target_chain,heme_comp_ids_present,iron_comp_ids_present,n_heme_atoms_total,n_heme_atoms_target_chain,n_fe_atoms_total,n_fe_atoms_target_chain,heme_auth_asym_ids,fe_auth_asym_ids,target_has_heme,target_has_fe,target_has_heme_fe,any_has_heme,any_has_fe,first_fe_x,first_fe_y,first_fe_z,error,exp002_atom_audit_usable_target_heme_fe,found_in_drive_metadata,drive_path,pdb_name
brenda,59360,5265,Q8VQF6,404,CC1(C)CC2CCC1CC2,1,1,3BE0,1.0,3BE0_1,A;B,0.9826732673267328,1.0,CNL;HEM,3BE0.cif,9,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3BE0.cif,True,True,6489,6489,6292,6292,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,11.824,-16.604,-2.956,,True,True,ESIBank/brenda/structure/complex/59360.pdb,59360.pdb
brenda,59471,4998,P11511,503,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,1,1,5JL9,1.0,5JL9_1,A,1.0,1.0,ASD;HEM,5JL9.cif,11,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/5JL9.cif,True,True,3739,3739,3668,3668,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,84.803,49.653,42.361,,True,True,ESIBank/brenda/structure/complex/59471.pdb,59471.pdb
brenda,60796,5354,Q06069,410,C[C@@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)CCC4(C)[C@H]3CCC2(C)C1C(=O)CO,1,1,5IKI,1.0,5IKI_1,A;B,1.0,1.0,A9H;HEM,5IKI.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/5IKI.cif,True,True,6410,6410,6248,6248,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,15.168,-5.521,16.912,,True,True,ESIBank/brenda/structure/complex/60796.pdb,60796.pdb
brenda,62382,5034,P05093,508,CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,True,ESIBank/brenda/structure/complex/62382.pdb,62382.pdb
brenda,65336,5034,P05093,508,CC(=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,True,ESIBank/brenda/structure/complex/65336.pdb,65336.pdb
brenda,66700,5034,P05093,508,CC(=O)C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,True,ESIBank/brenda/structure/complex/66700.pdb,66700.pdb
brenda,67590,5000,P00191,496,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,3QZ1,1.0,3QZ1_1,A;B;C;D,1.0,1.0,3QZ;HEM,3QZ1.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3QZ1.cif,True,True,14525,14525,14064,14064,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,3.088,-41.117,53.258,,True,True,ESIBank/brenda/structure/complex/67590.pdb,67590.pdb
brenda,67665,5034,P05093,508,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,True,ESIBank/brenda/structure/complex/67665.pdb,67665.pdb
brenda,67919,5354,Q06069,410,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1,1,5IKI,1.0,5IKI_1,A;B,1.0,1.0,A9H;HEM,5IKI.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/5IKI.cif,True,True,6410,6410,6248,6248,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,15.168,-5.521,16.912,,True,True,ESIBank/brenda/structure/complex/67919.pdb,67919.pdb
brenda,70364,5265,Q8VQF6,404,CC12CCC(CC1)C2(C)C,1,1,3BE0,1.0,3BE0_1,A;B,0.9826732673267328,1.0,CNL;HEM,3BE0.cif,9,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3BE0.cif,True,True,6489,6489,6292,6292,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,11.824,-16.604,-2.956,,True,False,,70364.pdb
brenda,70673,5000,P00191,496,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,1,1,3QZ1,1.0,3QZ1_1,A;B;C;D,1.0,1.0,3QZ;HEM,3QZ1.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3QZ1.cif,True,True,14525,14525,14064,14064,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,3.088,-41.117,53.258,,True,False,,70673.pdb
brenda,72423,5293,A2TEF2,480,O=O,1,1,3L4D,1.0,3L4D_1,A;B;C;D,0.9354166666666668,0.9911699779249448,HEM;N8E;TPF,3L4D.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3L4D.cif,True,True,14534,14534,14189,14189,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,30.346,-27.862,3.869,,True,False,,72423.pdb
brenda,72634,5114,A0A0Y0GRS3,494,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,1,1,7X2Q,1.0,7X2Q_1,A;B,0.9433198380566802,0.9789915966386554,HEM,7X2Q.cif,1,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/7X2Q.cif,True,True,7506,7506,7402,7402,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,-33.852,16.055,-17.14,,True,False,,72634.pdb
brenda,72869,5109,P08684,503,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1,1,9YK4,1.0,9YK4_1,A,0.9602385685884692,0.9917864476386036,EDO;GOL;HEM;IMD;PG4,9YK4.cif,122,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9YK4.cif,True,True,4184,4184,3803,3803,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,-22.834,-26.299,-11.407,,True,False,,72869.pdb
brenda,75787,5276,Q9UNU6,501,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,8EOH,1.0,8EOH_1,A,0.9500998003992016,0.9734151329243352,HEM;WOL,8EOH.cif,2,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8EOH.cif,True,True,7542,7542,7431,7431,HEM,HEM,49,49,1,1,A,A,True,True,True,True,True,-20.096,0.961,-11.632,,True,False,,75787.pdb
brenda,77299,5114,A0A0Y0GRS3,494,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,1,1,7X2Q,1.0,7X2Q_1,A;B,0.9433198380566802,0.9789915966386554,HEM,7X2Q.cif,1,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/7X2Q.cif,True,True,7506,7506,7402,7402,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,-33.852,16.055,-17.14,,True,False,,77299.pdb
brenda,77406,5346,P00189,520,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,3MZS,1.0,3MZS_1,A;B;C;D,0.9230769230769232,0.9876543209876544,HC9;HEM;IPA,3MZS.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3MZS.cif,True,True,16012,16012,15616,15616,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,9.0,18.119,0.504,,True,False,,77406.pdb
brenda,77523,5034,P05093,508,CCC1CCC2C1CCC1C3CCCCC3CCC21,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,False,,77523.pdb
brenda,78037,5034,P05093,508,CC(=O)[C@@]1(O)CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,1,8FDA,1.0,8FDA_1,A;B;C;D,0.9547244094488188,0.9817813765182186,HEM;XPK,8FDA.cif,17,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8FDA.cif,True,True,30965,30965,30039,30039,HEM,HEM,292,292,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,-14.293,8.275,-35.654,,True,False,,78037.pdb
brenda,79184,5276,Q9UNU6,501,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,8EOH,1.0,8EOH_1,A,0.9500998003992016,0.9734151329243352,HEM;WOL,8EOH.cif,2,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/8EOH.cif,True,True,7542,7542,7431,7431,HEM,HEM,49,49,1,1,A,A,True,True,True,True,True,-20.096,0.961,-11.632,,True,False,,79184.pdb
brenda,79707,3383,P23295,403,CCC1(c2ccccc2)C(O)=NC(=O)N1C,1,1,7DVO,1.0,7DVO_1,A;B,1.0,1.0,GOL;HEM;NO,7DVO.cif,27,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/7DVO.cif,True,True,6969,6969,6241,6241,HEM,HEM,96,96,4,4,A;B,A;B,True,True,True,True,True,6.336,4.069,32.527,,True,False,,79707.pdb
brenda,79928,5311,Q6TBX7,539,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1,1,6L8H,1.0,6L8H_1,A;B;C;D,0.8719851576994434,0.9978768577494692,GOL;HEM;SOG,6L8H.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/6L8H.cif,True,True,16945,16945,14729,14729,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,4.47,6.442,-70.709,,True,False,,79928.pdb
brenda,80651,5109,P08684,503,CC12CCC(CC1)C(C)(C)O2,1,1,9YK4,1.0,9YK4_1,A,0.9602385685884692,0.9917864476386036,EDO;GOL;HEM;IMD;PG4,9YK4.cif,122,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9YK4.cif,True,True,4184,4184,3803,3803,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,-22.834,-26.299,-11.407,,True,False,,80651.pdb
brenda,80803,5068,Q9Y6A2,500,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,9NNO,1.0,9NNO_1,A,0.934,0.9852320675105484,A1BY9;EDO;HEM,9NNO.cif,21,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9NNO.cif,True,True,3862,3862,3517,3517,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,10.591,-2.168,-21.724,,True,False,,80803.pdb
brenda,81223,5359,Q09128,514,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,1,1,3K9Y,1.0,3K9Y_1,A;B,0.9357976653696498,0.9979253112033196,CM5;HEM,3K9Y.cif,2,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3K9Y.cif,True,True,7703,7703,7549,7549,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,9.254,-28.69,40.045,,True,False,,81223.pdb
brenda,81860,5354,Q06069,410,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,1,1,5IKI,1.0,5IKI_1,A;B,1.0,1.0,A9H;HEM,5IKI.cif,3,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/5IKI.cif,True,True,6410,6410,6248,6248,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,15.168,-5.521,16.912,,True,False,,81860.pdb
brenda,82075,5265,Q8VQF6,404,CC12CCC(CC1)C(C)(C)O2,1,1,3BE0,1.0,3BE0_1,A;B,0.9826732673267328,1.0,CNL;HEM,3BE0.cif,9,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3BE0.cif,True,True,6489,6489,6292,6292,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,11.824,-16.604,-2.956,,True,False,,82075.pdb
brenda,82446,5068,Q9Y6A2,500,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,9NNO,1.0,9NNO_1,A,0.934,0.9852320675105484,A1BY9;EDO;HEM,9NNO.cif,21,A,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/9NNO.cif,True,True,3862,3862,3517,3517,HEM,HEM,43,43,1,1,A,A,True,True,True,True,True,10.591,-2.168,-21.724,,True,False,,82446.pdb
brenda,82497,5000,P00191,496,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1,1,3QZ1,1.0,3QZ1_1,A;B;C;D,1.0,1.0,3QZ;HEM,3QZ1.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3QZ1.cif,True,True,14525,14525,14064,14064,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,3.088,-41.117,53.258,,True,False,,82497.pdb
brenda,83928,5295,Q16850,509,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,1,1,3LD6,1.0,3LD6_1,A;B,0.8821218074656189,0.9739696312364424,HEM;KKK,3LD6.cif,10,A;B,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3LD6.cif,True,True,7522,7368,7172,7172,HEM,HEM,86,86,2,2,A;B,A;B,True,True,True,True,True,36.841,3.766,-5.549,,True,False,,83928.pdb
brenda,84232,5000,P00191,496,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(O)C[C@@]21C,1,1,3QZ1,1.0,3QZ1_1,A;B;C;D,1.0,1.0,3QZ;HEM,3QZ1.cif,1,A;B;C;D,/root/autodl-tmp/EZSpecificity/PathD/P450/data/q01_fe_embedding_patch/exp002_fe_heme_structures/raw_mmcif_rcsb_heme_fe_v1/3QZ1.cif,True,True,14525,14525,14064,14064,HEM,HEM,172,172,4,4,A;B;C;D,A;B;C;D,True,True,True,True,True,3.088,-41.117,53.258,,True,False,,84232.pdb
