"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive","best_entry_id","best_entity_id","best_rcsb_polymer_entity_id","best_auth_asym_ids","best_reference_sequence_coverage","best_entity_sequence_coverage","best_ligand_comp_ids","best_target_file","n_heme_fe_candidates_for_uniprot"
"brenda","62382","5034","P05093","508","CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","65336","5034","P05093","508","CC(=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","66700","5034","P05093","508","CC(=O)C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","67590","5000","P00191","496","CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","67665","5034","P05093","508","COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","67919","5354","Q06069","410","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO","1","1","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","70364","5265","Q8VQF6","404","CC12CCC(CC1)C2(C)C","1","1","3BE0","1.0","3BE0_1","A;B","0.9826732673267328","1.0","CNL;HEM","3BE0.cif","9"
"brenda","70673","5000","P00191","496","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","72423","5293","A2TEF2","480","O=O","1","1","3L4D","1.0","3L4D_1","A;B;C;D","0.9354166666666668","0.9911699779249448","HEM;N8E;TPF","3L4D.cif","1"
"brenda","72634","5114","A0A0Y0GRS3","494","CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2","1","1","7X2Q","1.0","7X2Q_1","A;B","0.9433198380566802","0.9789915966386554","HEM","7X2Q.cif","1"
"brenda","72869","5109","P08684","503","COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O","1","1","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","75787","5276","Q9UNU6","501","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8EOH","1.0","8EOH_1","A","0.9500998003992016","0.9734151329243352","HEM;WOL","8EOH.cif","2"
"brenda","77299","5114","A0A0Y0GRS3","494","CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2","1","1","7X2Q","1.0","7X2Q_1","A;B","0.9433198380566802","0.9789915966386554","HEM","7X2Q.cif","1"
"brenda","77406","5346","P00189","520","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","3MZS","1.0","3MZS_1","A;B;C;D","0.9230769230769232","0.9876543209876544","HC9;HEM;IPA","3MZS.cif","1"
"brenda","77523","5034","P05093","508","CCC1CCC2C1CCC1C3CCCCC3CCC21","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","78037","5034","P05093","508","CC(=O)[C@@]1(O)CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","79184","5276","Q9UNU6","501","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8EOH","1.0","8EOH_1","A","0.9500998003992016","0.9734151329243352","HEM;WOL","8EOH.cif","2"
"brenda","79707","3383","P23295","403","CCC1(c2ccccc2)C(O)=NC(=O)N1C","1","1","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","79928","5311","Q6TBX7","539","CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C","1","1","6L8H","1.0","6L8H_1","A;B;C;D","0.8719851576994434","0.9978768577494692","GOL;HEM;SOG","6L8H.cif","1"
"brenda","80651","5109","P08684","503","CC12CCC(CC1)C(C)(C)O2","1","1","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","80803","5068","Q9Y6A2","500","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","9NNO","1.0","9NNO_1","A","0.934","0.9852320675105484","A1BY9;EDO;HEM","9NNO.cif","21"
"brenda","81223","5359","Q09128","514","C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O","1","1","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","81860","5354","Q06069","410","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","1","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","82075","5265","Q8VQF6","404","CC12CCC(CC1)C(C)(C)O2","1","1","3BE0","1.0","3BE0_1","A;B","0.9826732673267328","1.0","CNL;HEM","3BE0.cif","9"
"brenda","82446","5068","Q9Y6A2","500","CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","9NNO","1.0","9NNO_1","A","0.934","0.9852320675105484","A1BY9;EDO;HEM","9NNO.cif","21"
"brenda","82497","5000","P00191","496","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","83928","5295","Q16850","509","CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3","1","1","3LD6","1.0","3LD6_1","A;B","0.8821218074656189","0.9739696312364424","HEM;KKK","3LD6.cif","10"
"brenda","84232","5000","P00191","496","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(O)C[C@@]21C","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","84442","5064","Q6VVX0","501","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12","1","1","3DL9","1.0","3DL9_1","A;B","0.93812375249501","0.9812108559498957","HEM;V2H","3DL9.cif","3"
"brenda","84605","5034","P05093","508","CC(=O)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","84841","5034","P05093","508","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","86631","5109","P08684","503","CC(C)C12CCC(C)(CC1)O2","1","1","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","86705","5034","P05093","508","CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","87113","5034","P05093","508","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","87282","5056","P22680","504","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","1","3V8D","1.0","3V8D_1","A;B","0.9503968253968254","0.9755600814663952","0GV;HEM;SO4;UNX","3V8D.cif","3"
"brenda","87720","5330","S4UX02","495","CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C","1","1","7CB9","1.0","7CB9_1","A","1.0","1.0","HEM;J6C","7CB9.cif","3"
"brenda","87834","5000","P00191","496","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","1","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","88179","5311","Q6TBX7","539","N=C(N)NCCC[C@@H](N)C(=O)O","1","0","6L8H","1.0","6L8H_1","A;B;C;D","0.8719851576994434","0.9978768577494692","GOL;HEM;SOG","6L8H.cif","1"
"brenda","88720","5295","Q16850","509","CC(=O)SCC[N+](C)(C)C","1","0","3LD6","1.0","3LD6_1","A;B","0.8821218074656189","0.9739696312364424","HEM;KKK","3LD6.cif","10"
"brenda","90502","5109","P08684","503","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC","1","0","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","91095","5359","Q09128","514","CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1","1","0","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","91588","3383","P23295","403","N=CN[C@@H](CCC(=O)O)C(=O)O","1","0","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","92466","5000","P00191","496","O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)c(Cl)c1","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","93131","5359","Q09128","514","CC(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CCCNC(=N)N)C(O)=Nc1ccc2nc(C3=N[C@H](C(=O)O)CS3)sc2c1","1","0","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","93227","5311","Q6TBX7","539","COc1ccc(CO)cc1OC","1","0","6L8H","1.0","6L8H_1","A;B;C;D","0.8719851576994434","0.9978768577494692","GOL;HEM;SOG","6L8H.cif","1"
"brenda","93320","5000","P00191","496","C[C@@H]1O[C@@H](Oc2ccc([N+](=O)[O-])cc2)[C@@H](O)[C@H](O)[C@@H]1O","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","93902","5034","P05093","508","CSCC[C@H](N=C(O)CN=C(O)[C@H](CO)N=C(O)CN=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](CCC(=O)O)N=C(O)[C@@H](N)CO)C(O)=N[C@@H](C)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CCCCN)C(=O)O","1","0","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","94054","5265","Q8VQF6","404","N=c1nc(O)c2ncn([C@H]3O[C@@H](CO)[C@H](OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]4O)[C@@H]3O)c2[nH]1","1","0","3BE0","1.0","3BE0_1","A;B","0.9826732673267328","1.0","CNL;HEM","3BE0.cif","9"
"brenda","94455","5068","Q9Y6A2","500","N=c1nc(O)c2c([nH]1)NC[C@@H]1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CN21","1","0","9NNO","1.0","9NNO_1","A","0.934","0.9852320675105484","A1BY9;EDO;HEM","9NNO.cif","21"
"brenda","94462","5034","P05093","508","CC(O)(CCOP(=O)(O)O)CC(=O)[O-]","1","0","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","94498","4928","Q9ZAU3","415","O","1","0","9O35","1.0","9O35_1","A;B","0.9975903614457832","0.9741176470588236","DM1;HEM;SO4","9O35.cif","3"
"brenda","94755","5354","Q06069","410","CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1","1","0","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","94997","3383","P23295","403","NCC(=O)N1CCC[C@H]1C(=O)Nc1ccc([N+](=O)[O-])cc1","1","0","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","95309","5311","Q6TBX7","539","CCCCCC/C=C\CCCCCCCC(=O)O","1","0","6L8H","1.0","6L8H_1","A;B;C;D","0.8719851576994434","0.9978768577494692","GOL;HEM;SOG","6L8H.cif","1"
"brenda","95491","5064","Q6VVX0","501","O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O","1","0","3DL9","1.0","3DL9_1","A;B","0.93812375249501","0.9812108559498957","HEM;V2H","3DL9.cif","3"
"brenda","96945","5064","Q6VVX0","501","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1","0","3DL9","1.0","3DL9_1","A;B","0.93812375249501","0.9812108559498957","HEM;V2H","3DL9.cif","3"
"brenda","97272","5265","Q8VQF6","404","N=C(O)CC[C@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1ccccc1)N=C(O)CN=C(O)c1ccccc1N)C(O)=NCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]","1","0","3BE0","1.0","3BE0_1","A;B","0.9826732673267328","1.0","CNL;HEM","3BE0.cif","9"
"brenda","97446","5000","P00191","496","O=[N+]([O-])c1ccc(O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","98285","5034","P05093","508","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O","1","0","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","98375","5354","Q06069","410","CCC(=O)Oc1ccc([N+](=O)[O-])cc1","1","0","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","98487","5295","Q16850","509","CC(C)C[C@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(C)C)N=C(O)[C@@H](N)CCC(=O)O)C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=NCC(O)=N[C@@H](CO)C(O)=NCC(=O)O","1","0","3LD6","1.0","3LD6_1","A;B","0.8821218074656189","0.9739696312364424","HEM;KKK","3LD6.cif","10"
"brenda","98712","5354","Q06069","410","N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O","1","0","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","99800","3383","P23295","403","OCCCO","1","0","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","100135","5341","P19099","503","OCC(O)C(O)C(O)C(O)CO","1","0","6XZ9","1.0","6XZ9_1","A;B;C","0.9463220675944334","0.9734151329243352","HEC;O4W","6XZ9.cif","6"
"brenda","100154","5354","Q06069","410","Cc1nnc(O)nc1O","1","0","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","100227","5114","A0A0Y0GRS3","494","CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O","1","0","7X2Q","1.0","7X2Q_1","A;B","0.9433198380566802","0.9789915966386554","HEM","7X2Q.cif","1"
"brenda","101073","5034","P05093","508","O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O","1","0","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","101164","5114","A0A0Y0GRS3","494","CC(C)C[C@@H](C=O)N=C(O)OCc1ccccc1","1","0","7X2Q","1.0","7X2Q_1","A;B","0.9433198380566802","0.9789915966386554","HEM","7X2Q.cif","1"
"brenda","101587","5295","Q16850","509","CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0","3LD6","1.0","3LD6_1","A;B","0.8821218074656189","0.9739696312364424","HEM;KKK","3LD6.cif","10"
"brenda","102799","5034","P05093","508","Nc1c(O)cccc1C(=O)C[C@H](N)C(=O)O","1","0","8FDA","1.0","8FDA_1","A;B;C;D","0.9547244094488188","0.9817813765182186","HEM;XPK","8FDA.cif","17"
"brenda","103410","5359","Q09128","514","NCCSc1ccc(O)cc1","1","0","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","103449","5359","Q09128","514","N=C(N)NCCC[C@H](N)C(=O)O","1","0","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","103501","5000","P00191","496","OO","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","103833","5106","P33261","490","O=P([O-])(O)OCCCl","1","0","4GQS","1.0","4GQS_1","A;B;C;D","0.953061224489796","0.979035639412998","0XV;GOL;HEM","4GQS.cif","1"
"brenda","104248","5000","P00191","496","N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","104271","5000","P00191","496","C[C@H](CCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","1","0","3QZ1","1.0","3QZ1_1","A;B;C;D","1.0","1.0","3QZ;HEM","3QZ1.cif","1"
"brenda","104602","3383","P23295","403","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0","7DVO","1.0","7DVO_1","A;B","1.0","1.0","GOL;HEM;NO","7DVO.cif","27"
"brenda","104773","5295","Q16850","509","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1","0","3LD6","1.0","3LD6_1","A;B","0.8821218074656189","0.9739696312364424","HEM;KKK","3LD6.cif","10"
"brenda","105379","5354","Q06069","410","CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C","1","0","5IKI","1.0","5IKI_1","A;B","1.0","1.0","A9H;HEM","5IKI.cif","3"
"brenda","105388","5109","P08684","503","NCC(=O)N1CCC[C@H]1C(=O)Nc1ccc([N+](=O)[O-])cc1","1","0","9YK4","1.0","9YK4_1","A","0.9602385685884692","0.9917864476386036","EDO;GOL;HEM;IMD;PG4","9YK4.cif","122"
"brenda","105634","5311","Q6TBX7","539","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","1","0","6L8H","1.0","6L8H_1","A;B;C;D","0.8719851576994434","0.9978768577494692","GOL;HEM;SOG","6L8H.cif","1"
"brenda","106736","5359","Q09128","514","N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1","1","0","3K9Y","1.0","3K9Y_1","A;B","0.9357976653696498","0.9979253112033196","CM5;HEM","3K9Y.cif","2"
"brenda","107276","5331","Q6WG30","499","C[C@]12CC[C@@H]3c4ccc(O)c(N)c4CC[C@H]3[C@@H]1CCC2=O","1","0","8X1W","1.0","8X1W_1","A","0.8797595190380761","1.0","HEM","8X1W.cif","2"
"brenda","107439","5068","Q9Y6A2","500","CCCC(=N)O","1","0","9NNO","1.0","9NNO_1","A","0.934","0.9852320675105484","A1BY9;EDO;HEM","9NNO.cif","21"
