global_enzyme_id,source,source_enzyme_id,source_uniprot_id,source_p450_symbol,source_species,source_ec_number,source_sequence_hash
ENZ_G000029,S3_P450Rdb,20,A0A088LHV2,CYP93E7,Lens culinaris (Lentil) (Cicer lens),/,d6fc1fe32e1054f4e842822aa0a255702b2880837312a11dd119975a1c028918
ENZ_G000029,S8_PlantP450DB,341,A0A088LHV2,CYP93E7,Lens culinaris,,d6fc1fe32e1054f4e842822aa0a255702b2880837312a11dd119975a1c028918
ENZ_G000029,S9_PCPD,801,A0A088LHV2,CYP93E7,Lens culinaris,,d6fc1fe32e1054f4e842822aa0a255702b2880837312a11dd119975a1c028918
ENZ_G000030,S3_P450Rdb,21,A0A088LIS6,CYP93E6,Glycyrrhiza glabra (Licorice),/,fc9d6dbbefea1a53bef381ce2d72aa27ec48966c6591b5b546b443bf384026ce
ENZ_G000030,S8_PlantP450DB,340,A0A088LIS6,CYP93E6,Glycyrrhiza glabra,,fc9d6dbbefea1a53bef381ce2d72aa27ec48966c6591b5b546b443bf384026ce
ENZ_G000030,S9_PCPD,800,A0A088LIS6,CYP93E6,Glycyrrhiza glabra,,fc9d6dbbefea1a53bef381ce2d72aa27ec48966c6591b5b546b443bf384026ce
ENZ_G000031,S3_P450Rdb,22,A0A088LM09,CYP93E8,Pisum sativum (Garden pea),/,01ad6b0c2e1aef7dead89b4f0805a46a82edbceee3d16bcf059ccb007e84b275
ENZ_G000031,S8_PlantP450DB,342,A0A088LM09,CYP93E8,Pisum sativum,,01ad6b0c2e1aef7dead89b4f0805a46a82edbceee3d16bcf059ccb007e84b275
ENZ_G000031,S9_PCPD,802,A0A088LM09,CYP93E8,Pisum sativum,,01ad6b0c2e1aef7dead89b4f0805a46a82edbceee3d16bcf059ccb007e84b275
ENZ_G000032,S3_P450Rdb,23,A0A088LUP1,CYP93E5,Cicer arietinum (Chickpea) (Garbanzo),/,a81d1de066332b8ff15f76ede1e824ecf4a0f33f743f6dfce0b21a057748eec8
ENZ_G000032,S8_PlantP450DB,339,A0A088LUP1,CYP93E5,Cicer arietinum,,a81d1de066332b8ff15f76ede1e824ecf4a0f33f743f6dfce0b21a057748eec8
ENZ_G000032,S9_PCPD,799,A0A088LUP1,CYP93E5,Cicer arietinum,,a81d1de066332b8ff15f76ede1e824ecf4a0f33f743f6dfce0b21a057748eec8
ENZ_G000033,S8_PlantP450DB,506,A0A090ATL9,CYP716A51,Lotus japonicus,,aa86f41b1d397bd89c769ca98c38e74b5a200517f6b608f46e672d5f51df525d
ENZ_G000034,S3_P450Rdb,24,A0A090YLD3,CYP102A1,Bacillus clarus,1.14.14.1\1.6.2.4,17612a3f2e1fed6f268ffe18028f906cc245eb0401f2c6a7ef8c929dd7a43630
ENZ_G000035,S2_ESIBank,3,A0A097HUX0,,,1.14.15.18,9504b948ee4d2a082355083d79e04803895236cdff92ca9a31b5b0c88f19bf65
ENZ_G000036,S3_P450Rdb,25,A0A097PUC0,CYP71B41v2,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),/,c851c647f858453306434d0e5118cbfa0e0e5a3e89ca3daf57224823bc0c0b4f
ENZ_G000036,S8_PlantP450DB,13,A0A097PUC0,CYP71B41v2,Populus trichocarpa,,c851c647f858453306434d0e5118cbfa0e0e5a3e89ca3daf57224823bc0c0b4f
ENZ_G000036,S9_PCPD,542,A0A097PUC0,CYP71B41v2,Populus trichocarpa,,c851c647f858453306434d0e5118cbfa0e0e5a3e89ca3daf57224823bc0c0b4f
ENZ_G000037,S3_P450Rdb,26,A0A097PUC4,CYP71B40v3,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),/,44d8276d7dbb9e675b92ab3d9e372734a5e9ff4736ef0b47a9b44b6403f44f47
ENZ_G000038,S3_P450Rdb,27,A0A098D1J7,CLM2,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),1.-.-.-,8410c51aecad764fab8bbe90b2ebf778922cad639768c90ff7988d0e7ffcbf4c
ENZ_G000038,S9_PCPD,246,A0A098D1J7,CYP64P1,Fusarium graminearum,,8410c51aecad764fab8bbe90b2ebf778922cad639768c90ff7988d0e7ffcbf4c
ENZ_G000039,S3_P450Rdb,28,A0A098DJ84,ERG5B,Taxonomy - Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),1.14.19.41,283b95f7f26532ed2826059cc32f658f1c1be7dff875d2f7984852bb4c3a000b
ENZ_G000039,S9_PCPD,196,A0A098DJ84,CYP61A3,Fusarium graminearum,,283b95f7f26532ed2826059cc32f658f1c1be7dff875d2f7984852bb4c3a000b
ENZ_G000040,S2_ESIBank,4,A0A0A0K2U8,,,4.2.1.92,5378921dcec3da336a91dd88c6c8748e8dad6347024b37ab2c71b2c799bccf72
ENZ_G000041,S3_P450Rdb,29,A0A0A0LHC2,CYP88L2,Cucumis sativus (Cucumber),/,c4a9c80f3e4d257c6e03d7ea82b7d487eca0c6f4ec422685406c5849694171f9
ENZ_G000042,S1_RCSB,3,A0A0A0NSZ7,,Streptomyces rapamycinicus NRRL 5491,,ad263a98932f3c9706b0b82003e8d70a9ebc828bcd1e717a5788d1be73a29cbd
ENZ_G000043,S3_P450Rdb,30,A0A0A2J1Z6,CYP505E4,Penicillium expansum (Blue mold rot fungus),1.14.14.1/1.6.2.4,3436c31b042304c984e871b95b22f59b07d2b810f7edba0eb25a3434fcab3b58
ENZ_G000043,S9_PCPD,102,A0A0A2J1Z6,CYP505E4,Penicillium expansum,,3436c31b042304c984e871b95b22f59b07d2b810f7edba0eb25a3434fcab3b58
ENZ_G000044,S9_PCPD,279,A0A0A2JY25,CYP677A2,Penicillium expansum,,46b94fb4b9c19a34f7e29bde4fdc65a038500aca6704107dbae790d077075167
ENZ_G000045,S2_ESIBank,5,A0A0A7DLM4,,,1.14.14.83,0fc62ca40dcd53ccf387e3455d25973e20a286db09283adebbb3a73e222e184e
ENZ_G000045,S8_PlantP450DB,201,A0A0A7DLM4,CYP76F45,Croton stellatopilosus,,0fc62ca40dcd53ccf387e3455d25973e20a286db09283adebbb3a73e222e184e
ENZ_G000045,S9_PCPD,696,,CYP76F45,Croton stellatopilosus,,0fc62ca40dcd53ccf387e3455d25973e20a286db09283adebbb3a73e222e184e
ENZ_G000046,S8_PlantP450DB,566,A0A0A8KYF2,CYP97C27,Croton stellaopilosus,,6176a5d6ee067c79062468b023c6c8060150cb74606d65e77847a565c5021321
ENZ_G000046,S9_PCPD,810,,CYP97C27,Croton stellatopilosus,,6176a5d6ee067c79062468b023c6c8060150cb74606d65e77847a565c5021321
ENZ_G000047,S1_RCSB,4,A0A0B0D9P4,,Kocuria marina,,bed7c9de9ca4ac2de336d05fde7c497841649efe3344b53b1dfdb7ff69337fff
ENZ_G000048,S2_ESIBank,6,A0A0B4KZX8,,,1.14.14.171,e23abeaf1164667ab6370dfcffb00ae62f188f0f96d4468c7c40573bb89ee774
ENZ_G000048,S3_P450Rdb,31,A0A0B4KZX8,CYP87D16,Maesa lanceolata,1.14.14.171,e23abeaf1164667ab6370dfcffb00ae62f188f0f96d4468c7c40573bb89ee774
ENZ_G000048,S8_PlantP450DB,467,A0A0B4KZX8,CYP87D16,Maesa lanceolata,,e23abeaf1164667ab6370dfcffb00ae62f188f0f96d4468c7c40573bb89ee774
ENZ_G000048,S9_PCPD,768,,CYP87D16,Maesa lanceolata,,e23abeaf1164667ab6370dfcffb00ae62f188f0f96d4468c7c40573bb89ee774
ENZ_G000049,S3_P450Rdb,32,A0A0B4L1W4,CYP716A14v2,Artemisia annua (Sweet wormwood),/,40241e19d54b3c837d681b748c28e2ac828129f03b71300e7297237f4d61e367
ENZ_G000049,S8_PlantP450DB,501,A0A0B4L1W4,CYP716A14v2,Artemisia annua,,40241e19d54b3c837d681b748c28e2ac828129f03b71300e7297237f4d61e367
ENZ_G000049,S9_PCPD,473,,CYP716A14,Artemisia annua,,40241e19d54b3c837d681b748c28e2ac828129f03b71300e7297237f4d61e367
ENZ_G000050,S3_P450Rdb,33,A0A0B4L1W8,CYP716A75,Maesa lanceolata,1.14.14.-,9b2cafdcd4a6be9616faa764934f5e48a9b81ac90ce8d1667e4b830c1650fa71
ENZ_G000050,S8_PlantP450DB,508,A0A0B4L1W8,CYP716A75,Maesa lanceolata,,9b2cafdcd4a6be9616faa764934f5e48a9b81ac90ce8d1667e4b830c1650fa71
ENZ_G000050,S9_PCPD,487,,CYP716A75,Maesa lanceolata,,9b2cafdcd4a6be9616faa764934f5e48a9b81ac90ce8d1667e4b830c1650fa71
ENZ_G000051,S1_RCSB,5,A0A0B4ZV78,,Streptomyces sp. ZJ306,,59b612b470af14f5789d0387feb0593b72a1b43ac79faa1874d64518904717b3
ENZ_G000052,S3_P450Rdb,34,A0A0B5KYT4,mpaDE',Penicillium brevicompactum,1.-.-.-,19358fcae48b7d5e78b42b429184e7505cc99a42a10b62f7febef6fc55110cb0
ENZ_G000053,S9_PCPD,205,A0A0C2W6G6,CYP622C1,Amanita muscaria,,97cd88d099f4857f09e08e46faaeb3a89ba5bd2e9068f253965c4aec5c0fd39b
ENZ_G000054,S3_P450Rdb,35,A0A0C3HJL3,CYP505AG1,Oidiodendron maius (strain Zn),1.14.14.1/1.6.2.4,7986360f1ebaf45f76ec5cea2bb2e50f0f07f4ca2be6c11290e4fa772a5fe4e4
ENZ_G000054,S9_PCPD,95,A0A0C3HJL3,CYP505AG1,Oidiodendron maius,,7986360f1ebaf45f76ec5cea2bb2e50f0f07f4ca2be6c11290e4fa772a5fe4e4
ENZ_G000055,S3_P450Rdb,36,A0A0C5Q4Y6,CYP76AH22,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),1.14.14.-; 1.14.14.175; 1.14.14.60,55da4997cdcbd732d28db5d806264b5a1ae7195628122dd3a353b460b523ff29
ENZ_G000055,S8_PlantP450DB,219,A0A0C5Q4Y6,CYP76AH22,Rosmarinus officinalis,,55da4997cdcbd732d28db5d806264b5a1ae7195628122dd3a353b460b523ff29
ENZ_G000055,S8_PlantP450DB,220,A0A0C5Q4Y6,CYP76AH23,Rosmarinus officinalis,,55da4997cdcbd732d28db5d806264b5a1ae7195628122dd3a353b460b523ff29
ENZ_G000055,S9_PCPD,675,A0A0C5Q4Y6,CYP76AH22,Rosmarinus officinalis,,55da4997cdcbd732d28db5d806264b5a1ae7195628122dd3a353b460b523ff29
ENZ_G000056,S8_PlantP450DB,221,A0A0C5QEW3,CYP76AH24,Salvia fructicosa,,51b6b8fa3e8a6c1721919e0ced2cf822d2bbefa7620624792d59fc5f99995c5a
ENZ_G000057,S2_ESIBank,7,A0A0C5QRZ2,,,1.14.14.60,19565eda320fb7859b9e52f9178f2e4ca3771c0f15008ae5669576d0629c06a1
ENZ_G000057,S3_P450Rdb,37,A0A0C5QRZ2,CYP76AH24,Salvia fruticosa (Greek sage),1.14.14.-; 1.14.14.175; 1.14.14.60,19565eda320fb7859b9e52f9178f2e4ca3771c0f15008ae5669576d0629c06a1
ENZ_G000057,S9_PCPD,676,A0A0C5QRZ2,CYP76AH24Sf,Salvia fruticosa,,19565eda320fb7859b9e52f9178f2e4ca3771c0f15008ae5669576d0629c06a1
ENZ_G000058,S3_P450Rdb,38,A0A0C6DUU3,bet2,Neocamarosporium betae (Beet black rot fungus) (Pleospora betae),1.-.-.-,9eafb628b27022a98032d673b59e0da7a496f66c7d436cbebd071ab84a0f9b96
ENZ_G000058,S9_PCPD,180,A0A0C6DUU3,CYP60Q2,Neocamarosporium betae,,9eafb628b27022a98032d673b59e0da7a496f66c7d436cbebd071ab84a0f9b96
ENZ_G000059,S9_PCPD,212,A0A0D1DMJ7,CYP627A1,Ustilago maydis,,ae387789635c92223d6d4db558db28a0abb5f8ca8bdd4f5a5c643c8a02757e7a
ENZ_G000060,S9_PCPD,218,A0A0D1DT62,CYP634A1,Ustilago maydis,,d8a46237cf50738e61a9816c2f93aeb75af1e2ffeda602712b781777779b639b
ENZ_G000061,S3_P450Rdb,39,A0A0D2XLX8,CYP53A19,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),/,52d9442ce25228770065dd565f8179fe289319ad2b963f9177083c7d64987223
ENZ_G000061,S9_PCPD,161,A0A0D2XLX8,CYP53A19,Fusarium oxysporum,,52d9442ce25228770065dd565f8179fe289319ad2b963f9177083c7d64987223
ENZ_G000062,S3_P450Rdb,40,A0A0D2YE57,CYP655C2,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),/,7e0fa3e85684d8c02aee74f756706fdf95d2d79e8a834c445a2e2060d8f42596
ENZ_G000062,S9_PCPD,156,A0A0D2YE57,CYP52U3,Fusarium oxysporum,,7e0fa3e85684d8c02aee74f756706fdf95d2d79e8a834c445a2e2060d8f42596
ENZ_G000063,S8_PlantP450DB,462,A0A0D4L589,CYP74Q1,Ranunculus acris,,02dcf8a2b8c6d1fb7861c4847879b27931f2392db77ac4d91103f6df4a0261cb
ENZ_G000064,S8_PlantP450DB,397,A0A0E3SY51,CYP736A163,Malus domestica,,b948bcb05242386e338e2086c38d87b8d3157170e1521add56ff0969b4a89afb
ENZ_G000064,S9_PCPD,640,A0A0E3SY51,CYP736A163,Malus domestica,,b948bcb05242386e338e2086c38d87b8d3157170e1521add56ff0969b4a89afb
ENZ_G000065,S3_P450Rdb,41,A0A0E3VN01,PsCYP51,Pisum sativum (Garden pea),/,91618f851a7e7ade79853f7f26f9a02f864befc8e4bf54509e1b415dc3163e92
ENZ_G000065,S9_PCPD,429,A0A0E3VN01,CYP51G1Ps,Pisum sativum,,91618f851a7e7ade79853f7f26f9a02f864befc8e4bf54509e1b415dc3163e92
ENZ_G000066,S1_RCSB,6,A0A0F4JF04,,Streptomyces katrae,,42ac19a326ba3f506c01cb0276fd5ddc70b19235a5f352c8362f46d6822db534
ENZ_G000067,S3_P450Rdb,42,A0A0F6PLP0,CYP90B27v2,Veratrum californicum,/,703a2f85543fd1c416b7dd2dc213288d26f292d68f38470ece9a3dec1b9563c7
ENZ_G000068,S3_P450Rdb,43,A0A0F6PLP5,CYP90G1v1,Veratrum californicum,/,b62b47f8b64ccaf41dc0006c17471a7b6a67aa6b23fb48fedd88ebe30f8ddbdd
ENZ_G000069,S3_P450Rdb,44,A0A0F6PMK0,CYP94N1v1,Veratrum californicum,/,9d242e16434fde166a55d4a5ab91c8ffcecc5d4b93eae0bae9cc5d1d8dad50c5
ENZ_G000070,S3_P450Rdb,45,A0A0F6PML0,CYP90B27,Veratrum californicum,/,ed95a631bf18309a076d78eb0f96efc7594e2252565bb4b4f1cdc4ec995c8ae6
ENZ_G000070,S8_PlantP450DB,479,A0A0F6PML0,CYP90B27v1,Veratrum californicum,,ed95a631bf18309a076d78eb0f96efc7594e2252565bb4b4f1cdc4ec995c8ae6
ENZ_G000070,S9_PCPD,777,,CYP90B27,Veratrum californicum,,ed95a631bf18309a076d78eb0f96efc7594e2252565bb4b4f1cdc4ec995c8ae6
ENZ_G000071,S3_P450Rdb,46,A0A0F6PMN1,CYP94N1,Veratrum californicum,/,518b6a34b4f93a0d3221a8ad15a2ca29f897b777f17b718ab827f9811d9428e3
ENZ_G000071,S8_PlantP450DB,558,A0A0F6PMN1,CYP94N1v2,Veratrum californicum,,518b6a34b4f93a0d3221a8ad15a2ca29f897b777f17b718ab827f9811d9428e3
ENZ_G000071,S9_PCPD,808,,CYP94N1,Veratrum californicum,,518b6a34b4f93a0d3221a8ad15a2ca29f897b777f17b718ab827f9811d9428e3
ENZ_G000072,S3_P450Rdb,47,A0A0F6PMN4,CYP90G1,Veratrum californicum,/,d5a26c264435f39001f8f6dbb1901be5eb32f4668996db390c1694de907bd8b2
ENZ_G000072,S8_PlantP450DB,485,A0A0F6PMN4,CYP90G1v3,Veratrum californicum,,d5a26c264435f39001f8f6dbb1901be5eb32f4668996db390c1694de907bd8b2
ENZ_G000072,S9_PCPD,787,,CYP90G1,Veratrum californicum,,d5a26c264435f39001f8f6dbb1901be5eb32f4668996db390c1694de907bd8b2
ENZ_G000073,S3_P450Rdb,48,A0A0F6PMS4,CYP90G1v2,Veratrum californicum,/,413ebc3146454afad3726027e23f190264cce113a10d26be689b118fa5dcb0a8
ENZ_G000074,S3_P450Rdb,49,A0A0F7KN88,CYP750B1,Thuja plicata (Western red-cedar) (Giant arborvitae),/,984bb3da9390fe51d62b8afd4658ed6b946dda1d114c7aba4bc24c3c2cb77b97
ENZ_G000074,S9_PCPD,663,,CYP750B1,Thuja plicata,,984bb3da9390fe51d62b8afd4658ed6b946dda1d114c7aba4bc24c3c2cb77b97
ENZ_G000075,S8_PlantP450DB,399,A0A0F7KQD3,CYP750B1,Thuja plicata,,ee13c8b72c60942be644b77efbccd1755fe650da1d2023bcc8799dccf859ac21
ENZ_G000076,S3_P450Rdb,50,A0A0F7KQD6,CYP76AA,Thuja plicata (Western red-cedar) (Giant arborvitae),/,5830430a7ad4d3f153e5ac0245f5716080a01ff414a7353436b000800c66bb11
ENZ_G000076,S8_PlantP450DB,207,A0A0F7KQD6,CYP76AA25,Thuja plicata,,5830430a7ad4d3f153e5ac0245f5716080a01ff414a7353436b000800c66bb11
ENZ_G000076,S9_PCPD,669,,CYP76AA25,Thuja plicata,,5830430a7ad4d3f153e5ac0245f5716080a01ff414a7353436b000800c66bb11
ENZ_G000077,S2_ESIBank,8,A0A0G2JXU4,,,1.14.14.1,e9231d2bc47e9a984fc372b4c1233ff919715898d043053b6ae82342b31fd47f
