entity_type,global_id,source,source_local_id,merge_basis,conflict_flags,notes
enzyme,,S9_PCPD,198,seq_bridge,,bridged to O13820
enzyme,,S9_PCPD,236,seq_bridge,,bridged to O13345
enzyme,,S9_PCPD,307,seq_bridge,,bridged to P05108
enzyme,,S9_PCPD,311,seq_bridge,,bridged to P10612
enzyme,,S9_PCPD,314,seq_bridge,,bridged to P19099
enzyme,,S9_PCPD,323,seq_bridge,,bridged to P00185
enzyme,,S9_PCPD,324,seq_bridge,,bridged to Q64429
enzyme,,S9_PCPD,325,seq_bridge,,bridged to Q64678
enzyme,,S9_PCPD,326,seq_bridge,,bridged to Q64562
enzyme,,S9_PCPD,328,seq_bridge,,bridged to Q07973
enzyme,,S9_PCPD,330,seq_bridge,,bridged to O43174
enzyme,,S9_PCPD,331,seq_bridge,,bridged to P79739
enzyme,,S9_PCPD,333,seq_bridge,,bridged to O55127
enzyme,,S9_PCPD,336,seq_bridge,,bridged to Q02318
enzyme,,S9_PCPD,337,seq_bridge,,bridged to P17177
enzyme,,S9_PCPD,338,seq_bridge,,bridged to P17178
enzyme,,S9_PCPD,339,seq_bridge,,bridged to O35084
enzyme,,S9_PCPD,344,seq_bridge,,bridged to Q16696
enzyme,,S9_PCPD,345,seq_bridge,,bridged to P11509
enzyme,,S9_PCPD,347,seq_bridge,,bridged to P20813
enzyme,,S9_PCPD,348,seq_bridge,,bridged to P08683
enzyme,,S9_PCPD,349,seq_bridge,,bridged to P33260
enzyme,,S9_PCPD,350,seq_bridge,,bridged to P33261
enzyme,,S9_PCPD,352,seq_bridge,,bridged to P24470
enzyme,,S9_PCPD,353,seq_bridge,,bridged to Q64458
enzyme,,S9_PCPD,354,seq_bridge,,bridged to P56654
enzyme,,S9_PCPD,355,seq_bridge,,bridged to P56657
enzyme,,S9_PCPD,357,seq_bridge,,bridged to P10632
enzyme,,S9_PCPD,358,seq_bridge,,bridged to P11712
enzyme,,S9_PCPD,359,seq_bridge,,bridged to P10635
enzyme,,S9_PCPD,360,seq_bridge,,bridged to P05181
enzyme,,S9_PCPD,362,seq_bridge,,bridged to P51589
enzyme,,S9_PCPD,374,seq_bridge,,bridged to Q64148
enzyme,,S9_PCPD,375,seq_bridge,,bridged to P08684
enzyme,,S9_PCPD,376,seq_bridge,,bridged to P20815
enzyme,,S9_PCPD,377,seq_bridge,,bridged to P24462
enzyme,,S9_PCPD,381,seq_bridge,,bridged to O88833
enzyme,,S9_PCPD,382,seq_bridge,,bridged to P08516
enzyme,,S9_PCPD,383,seq_bridge,,bridged to Q02928
enzyme,,S9_PCPD,384,seq_bridge,,bridged to P24464
enzyme,,S9_PCPD,386,seq_bridge,,bridged to O35728
enzyme,,S9_PCPD,387,seq_bridge,,bridged to P20817
enzyme,,S9_PCPD,388,seq_bridge,,bridged to P20816
enzyme,,S9_PCPD,390,seq_bridge,,bridged to O76478
enzyme,,S9_PCPD,392,seq_bridge,,bridged to P33274
enzyme,,S9_PCPD,395,seq_bridge,,bridged to P78329
enzyme,,S9_PCPD,398,seq_bridge,,bridged to Q08477
enzyme,,S9_PCPD,400,seq_bridge,,bridged to P51869
enzyme,,S9_PCPD,401,seq_bridge,,bridged to P98187
enzyme,,S9_PCPD,404,seq_bridge,,bridged to Q16850
enzyme,,S9_PCPD,405,seq_bridge,,bridged to Q64654
enzyme,,S9_PCPD,407,seq_bridge,,bridged to P36423
enzyme,,S9_PCPD,408,seq_bridge,,bridged to P47787
enzyme,,S9_PCPD,415,seq_bridge,,bridged to P51542
enzyme,,S9_PCPD,416,seq_bridge,,bridged to P18125
enzyme,,S9_PCPD,417,seq_bridge,,bridged to O75881
enzyme,,S9_PCPD,418,seq_bridge,,bridged to Q60991
enzyme,,S9_PCPD,421,seq_bridge,,bridged to Q29626
enzyme,,S9_PCPD,424,seq_bridge,,bridged to O02766
enzyme,,S9_PCPD,427,seq_bridge,,bridged to Q9SAA9
enzyme,,S9_PCPD,430,seq_bridge,,bridged to P93846
enzyme,,S9_PCPD,432,seq_bridge,,bridged to P93596
enzyme,,S9_PCPD,434,seq_bridge,,bridged to Q93ZB2
enzyme,,S9_PCPD,438,seq_bridge,,bridged to F2ZAE0
enzyme,,S9_PCPD,440,seq_bridge,,bridged to Q9LNJ4
enzyme,,S9_PCPD,442,seq_bridge,,bridged to Q0WQ07
enzyme,,S9_PCPD,444,seq_bridge,,bridged to A0A3G2LJ64
enzyme,,S9_PCPD,445,seq_bridge,,bridged to V9N2L5
enzyme,,S9_PCPD,452,seq_bridge,,bridged to O81077
enzyme,,S9_PCPD,460,seq_bridge,,bridged to Q8L7D5
enzyme,,S9_PCPD,461,seq_bridge,,bridged to O64697
enzyme,,S9_PCPD,463,seq_bridge,,bridged to O64698
enzyme,,S9_PCPD,465,seq_bridge,,bridged to A0A5B8H9L8
enzyme,,S9_PCPD,466,seq_bridge,,bridged to Q93Z79
enzyme,,S9_PCPD,467,seq_bridge,,bridged to Q7XHW5
enzyme,,S9_PCPD,473,seq_bridge,,bridged to A0A0B4L1W4
enzyme,,S9_PCPD,474,seq_bridge,,bridged to A0A1I9Q5Y8
enzyme,,S9_PCPD,475,seq_bridge,,bridged to A0A1I9Q5Z0
enzyme,,S9_PCPD,480,seq_bridge,,bridged to A0A140JWM8
enzyme,,S9_PCPD,487,seq_bridge,,bridged to A0A0B4L1W8
enzyme,,S9_PCPD,492,seq_bridge,,bridged to A0A1I9Q5Y4
enzyme,,S9_PCPD,493,seq_bridge,,bridged to A0A1I9Q5Y3
enzyme,,S9_PCPD,494,seq_bridge,,bridged to A0A0S2II38
enzyme,,S9_PCPD,495,seq_bridge,,bridged to I1TEM3
enzyme,,S9_PCPD,496,seq_bridge,,bridged to A0A1I9Q5Y7
enzyme,,S9_PCPD,497,seq_bridge,,bridged to A0A3S9W0V9
enzyme,,S9_PCPD,498,seq_bridge,,bridged to A0A3Q7HS74
enzyme,,S9_PCPD,499,seq_bridge,,bridged to A0A1I9Q5Y6
enzyme,,S9_PCPD,500,seq_bridge,,bridged to I7CT85
enzyme,,S9_PCPD,501,seq_bridge,,bridged to A0A1I9Q5Z1
enzyme,,S9_PCPD,502,seq_bridge,,bridged to H2DH16
enzyme,,S9_PCPD,503,seq_bridge,,bridged to W0FW87
enzyme,,S9_PCPD,504,seq_bridge,,bridged to Q948Y1
enzyme,,S9_PCPD,505,seq_bridge,,bridged to B1NF19
enzyme,,S9_PCPD,506,seq_bridge,,bridged to B1NF20
enzyme,,S9_PCPD,507,seq_bridge,,bridged to Q50LH3
enzyme,,S9_PCPD,509,seq_bridge,,bridged to L7T8H2
enzyme,,S9_PCPD,513,seq_bridge,,bridged to A0A7T9QPT0
enzyme,,S9_PCPD,515,seq_bridge,,bridged to B1NF18
enzyme,,S9_PCPD,519,seq_bridge,,bridged to Q9FH66
enzyme,,S9_PCPD,520,seq_bridge,,bridged to Q947B7
enzyme,,S9_PCPD,526,seq_bridge,,bridged to A0A068Q609
enzyme,,S9_PCPD,529,seq_bridge,,bridged to D5J9U8
enzyme,,S9_PCPD,533,seq_bridge,,bridged to X2JI34
enzyme,,S9_PCPD,534,seq_bridge,,bridged to A0A2U8JPX6
enzyme,,S9_PCPD,536,seq_bridge,,bridged to P0DO13
enzyme,,S9_PCPD,539,seq_bridge,,bridged to A0A3G2LJ67
enzyme,,S9_PCPD,540,seq_bridge,,bridged to Q9SCN2
enzyme,,S9_PCPD,543,seq_bridge,,bridged to E3W9C4
enzyme,,S9_PCPD,544,seq_bridge,,bridged to A0A0S1TQ04
enzyme,,S9_PCPD,548,seq_bridge,,bridged to X2JE85
enzyme,,S9_PCPD,553,seq_bridge,,bridged to Q43250
enzyme,,S9_PCPD,554,seq_bridge,,bridged to Q43255
enzyme,,S9_PCPD,555,seq_bridge,,bridged to P93703
enzyme,,S9_PCPD,556,seq_bridge,,bridged to Q43257
enzyme,,S9_PCPD,561,seq_bridge,,bridged to X2EVV9
enzyme,,S9_PCPD,564,seq_bridge,,bridged to I1TEM1
enzyme,,S9_PCPD,565,seq_bridge,,bridged to P98183
enzyme,,S9_PCPD,569,ambiguous_bridge,multi_uniprot_match,"candidates=['Q6WKZ1', 'Q9XHE8']"
enzyme,,S9_PCPD,570,seq_bridge,,bridged to P0DO38
enzyme,,S9_PCPD,572,seq_bridge,,bridged to I1TEM0
enzyme,,S9_PCPD,573,seq_bridge,,bridged to Q94FM7
enzyme,,S9_PCPD,575,seq_bridge,,bridged to A0A6C0PI62
enzyme,,S9_PCPD,576,seq_bridge,,bridged to U5HKE8
enzyme,,S9_PCPD,581,seq_bridge,,bridged to A0A0M4U0E0
enzyme,,S9_PCPD,582,seq_bridge,,bridged to A0A165U5Z9
enzyme,,S9_PCPD,583,seq_bridge,,bridged to A0A067L546
enzyme,,S9_PCPD,584,seq_bridge,,bridged to A1XEK4
enzyme,,S9_PCPD,591,seq_bridge,,bridged to O48958
enzyme,,S9_PCPD,592,seq_bridge,,bridged to Q6XQ14
enzyme,,S9_PCPD,593,seq_bridge,,bridged to A0A1D6GQ67
enzyme,,S9_PCPD,594,seq_bridge,,bridged to B4FVP3
enzyme,,S9_PCPD,596,seq_bridge,,bridged to A3A871
enzyme,,S9_PCPD,599,seq_bridge,,bridged to Q6F4F5
enzyme,,S9_PCPD,600,seq_bridge,,bridged to Q9AXM6
enzyme,,S9_PCPD,601,seq_bridge,,bridged to Q8W4T9
enzyme,,S9_PCPD,602,seq_bridge,,bridged to Q84KI1
enzyme,,S9_PCPD,603,seq_bridge,,bridged to Q6WG30
enzyme,,S9_PCPD,604,seq_bridge,,bridged to B9RHW4
enzyme,,S9_PCPD,605,seq_bridge,,bridged to B9RHW6
enzyme,,S9_PCPD,606,seq_bridge,,bridged to B9RHX0
enzyme,,S9_PCPD,607,seq_bridge,,bridged to B9RHX3
enzyme,,S9_PCPD,609,seq_bridge,,bridged to A0A161GJD5
enzyme,,S9_PCPD,613,seq_bridge,,bridged to Q05047
enzyme,,S9_PCPD,614,seq_bridge,,bridged to H1A988
enzyme,,S9_PCPD,617,seq_bridge,,bridged to A0A0S2IHL2
enzyme,,S9_PCPD,618,seq_bridge,,bridged to A0A7G8Z808
enzyme,,S9_PCPD,619,seq_bridge,,bridged to A0A4Y5UJ61
enzyme,,S9_PCPD,621,seq_bridge,,bridged to A0A4Y5UJ78
enzyme,,S9_PCPD,623,seq_bridge,,bridged to A0A517FNC4
enzyme,,S9_PCPD,626,seq_bridge,,bridged to H1A981
enzyme,,S9_PCPD,629,seq_bridge,,bridged to Q2MJ21
enzyme,,S9_PCPD,631,seq_bridge,,bridged to I1MIY0
enzyme,,S9_PCPD,632,seq_bridge,,bridged to Q9LUD3
enzyme,,S9_PCPD,633,seq_bridge,,bridged to A0A7S6UDI5
enzyme,,S9_PCPD,634,seq_bridge,,bridged to A0A7S6ZR32
enzyme,,S9_PCPD,635,seq_bridge,,bridged to F4IW82
enzyme,,S9_PCPD,645,seq_bridge,,bridged to Q04468
enzyme,,S9_PCPD,648,seq_bridge,,bridged to A0A4P2PRK0
enzyme,,S9_PCPD,649,seq_bridge,,bridged to Q96242
enzyme,,S9_PCPD,651,seq_bridge,,bridged to P48417
enzyme,,S9_PCPD,658,seq_bridge,,bridged to Q9FPM6
enzyme,,S9_PCPD,661,seq_bridge,,bridged to D8RF82
enzyme,,S9_PCPD,663,seq_bridge,,bridged to A0A0F7KN88
enzyme,,S9_PCPD,664,seq_bridge,,bridged to Q8LM92
enzyme,,S9_PCPD,668,seq_bridge,,bridged to W8JIS5
enzyme,,S9_PCPD,669,seq_bridge,,bridged to A0A0F7KQD6
enzyme,,S9_PCPD,670,seq_bridge,,bridged to I3PFJ5
enzyme,,S9_PCPD,671,seq_bridge,,bridged to A0A0U1YJA0
enzyme,,S9_PCPD,672,seq_bridge,,bridged to A0A1B0VRN6
enzyme,,S9_PCPD,673,seq_bridge,,bridged to A0A1B0VRQ0
enzyme,,S9_PCPD,674,seq_bridge,,bridged to A0A1B0VRQ2
enzyme,,S9_PCPD,680,seq_bridge,,bridged to A0A125QZE2
enzyme,,S9_PCPD,681,seq_bridge,,bridged to A0A0S1TPC7
enzyme,,S9_PCPD,684,seq_bridge,,bridged to O23976
enzyme,,S9_PCPD,685,seq_bridge,,bridged to D1MI46
enzyme,,S9_PCPD,686,seq_bridge,,bridged to A0A6M3TXH1
enzyme,,S9_PCPD,688,seq_bridge,,bridged to A0A3Q9R4N5
enzyme,,S9_PCPD,690,seq_bridge,,bridged to O64636
enzyme,,S9_PCPD,691,seq_bridge,,bridged to O64637
enzyme,,S9_PCPD,692,seq_bridge,,bridged to O64638
enzyme,,S9_PCPD,693,seq_bridge,,bridged to O64635
enzyme,,S9_PCPD,694,seq_bridge,,bridged to A0A8E6Y5Y9
enzyme,,S9_PCPD,695,seq_bridge,,bridged to A0A1B2ZBX8
enzyme,,S9_PCPD,696,seq_bridge,,bridged to A0A0A7DLM4
enzyme,,S9_PCPD,698,seq_bridge,,bridged to Q6Z5I7
enzyme,,S9_PCPD,702,seq_bridge,,bridged to P48420
enzyme,,S9_PCPD,703,seq_bridge,,bridged to Q43135
enzyme,,S9_PCPD,704,seq_bridge,,bridged to A0A288W866
enzyme,,S9_PCPD,705,seq_bridge,,bridged to B9VQX4
enzyme,,S9_PCPD,706,seq_bridge,,bridged to Q9FLC8
enzyme,,S9_PCPD,709,seq_bridge,,bridged to B8XX43
enzyme,,S9_PCPD,711,seq_bridge,,bridged to F4IF38
enzyme,,S9_PCPD,712,seq_bridge,,bridged to Q9LQB7
enzyme,,S9_PCPD,713,seq_bridge,,bridged to Q9M7B8
enzyme,,S9_PCPD,716,seq_bridge,,bridged to W0FG45
enzyme,,S9_PCPD,718,seq_bridge,,bridged to Q9M7C0
enzyme,,S9_PCPD,720,seq_bridge,,bridged to Q949U1
enzyme,,S9_PCPD,722,seq_bridge,,bridged to P47195
enzyme,,S9_PCPD,725,seq_bridge,,bridged to Q1A1B0
enzyme,,S9_PCPD,726,seq_bridge,,bridged to A8CDR5
enzyme,,S9_PCPD,728,seq_bridge,,bridged to A0A168GPD0
enzyme,,S9_PCPD,730,seq_bridge,,bridged to A0A161I263
enzyme,,S9_PCPD,731,seq_bridge,,bridged to A0A161IM14
enzyme,,S9_PCPD,733,seq_bridge,,bridged to Q33DY0
enzyme,,S9_PCPD,734,seq_bridge,,bridged to SEQHASH_FFA9F1FBFAB19B5C
enzyme,,S9_PCPD,736,seq_bridge,,bridged to O49394
enzyme,,S9_PCPD,737,seq_bridge,,bridged to Q9SZ46
enzyme,,S9_PCPD,742,seq_bridge,,bridged to M1KXD0
enzyme,,S9_PCPD,744,seq_bridge,,bridged to A0A0N7F297
enzyme,,S9_PCPD,747,seq_bridge,,bridged to Q38Q87
enzyme,,S9_PCPD,750,seq_bridge,,bridged to A0A1U8P1B7
enzyme,,S9_PCPD,751,seq_bridge,,bridged to A0A3G4RHY7
enzyme,,S9_PCPD,753,seq_bridge,,bridged to L7X0L7
enzyme,,S9_PCPD,754,seq_bridge,,bridged to A0A2Z6BXW3
enzyme,,S9_PCPD,755,seq_bridge,,bridged to I3V6B7
enzyme,,S9_PCPD,756,seq_bridge,,bridged to I3PLR1
enzyme,,S9_PCPD,758,seq_bridge,,bridged to P48421
enzyme,,S9_PCPD,761,seq_bridge,,bridged to Q42600
enzyme,,S9_PCPD,762,seq_bridge,,bridged to Q9SWR1
enzyme,,S9_PCPD,763,seq_bridge,,bridged to F4JW83
enzyme,,S9_PCPD,765,seq_bridge,,bridged to Q43147
enzyme,,S9_PCPD,766,seq_bridge,,bridged to Q50LE0
enzyme,,S9_PCPD,768,seq_bridge,,bridged to A0A0B4KZX8
enzyme,,S9_PCPD,769,seq_bridge,,bridged to G7JZW6
enzyme,,S9_PCPD,770,seq_bridge,,bridged to Q9AXH9
enzyme,,S9_PCPD,771,seq_bridge,,bridged to O23051
enzyme,,S9_PCPD,773,seq_bridge,,bridged to B5BSX1
enzyme,,S9_PCPD,774,seq_bridge,,bridged to Q9SRQ1
enzyme,,S9_PCPD,775,seq_bridge,,bridged to O64989
enzyme,,S9_PCPD,776,seq_bridge,,bridged to Q5CCK3
enzyme,,S9_PCPD,777,seq_bridge,,bridged to A0A0F6PML0
enzyme,,S9_PCPD,784,seq_bridge,,bridged to Q9M066
enzyme,,S9_PCPD,785,seq_bridge,,bridged to Q94IA6
enzyme,,S9_PCPD,787,seq_bridge,,bridged to A0A0F6PMN4
enzyme,,S9_PCPD,788,seq_bridge,,bridged to A0A517FNC5
enzyme,,S9_PCPD,790,seq_bridge,,bridged to A0A2Z5U627
enzyme,,S9_PCPD,791,seq_bridge,,bridged to Q42798
enzyme,,S9_PCPD,792,seq_bridge,,bridged to P93149
enzyme,,S9_PCPD,796,seq_bridge,,bridged to Q2MJ11
enzyme,,S9_PCPD,804,seq_bridge,,bridged to Q5VRI5
enzyme,,S9_PCPD,806,seq_bridge,,bridged to A0A517FNC7
enzyme,,S9_PCPD,807,seq_bridge,,bridged to A0A517FND0
enzyme,,S9_PCPD,808,seq_bridge,,bridged to A0A0F6PMN1
enzyme,,S9_PCPD,809,seq_bridge,,bridged to A0A140IL90
enzyme,,S9_PCPD,810,seq_bridge,,bridged to A0A0A8KYF2
enzyme,,S9_PCPD,811,seq_bridge,,bridged to O22203
enzyme,,S9_PCPD,812,seq_bridge,,bridged to Q9CA61
enzyme,,S9_PCPD,813,seq_bridge,,bridged to Q7X7X4
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"002f8c9445e4262b... -> ['Q05JG2', 'Q09J79']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"19358fcae48b7d5e... -> ['A0A0B5KYT4', 'W6QRN8']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"3e3391890106d901... -> ['A0A2V1NWK9', 'C9ZDC6']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"458bdea508843e89... -> ['A0A3Q8QEF5', 'D5JBW8']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"4e7eaf812b90d1a2... -> ['B9WZX1', 'Q4WAW5']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"5620bb43081c45db... -> ['Q6WKZ1', 'Q9XHE8']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"5f07ac60709a881d... -> ['A0A1U7Q986', 'P46634']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"6f4aa0a92e902b75... -> ['A0A0T9WNE5', 'P9WPP7']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"c574446c358df77e... -> ['P63710', 'P9WPP0', 'P9WPP1']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"ed0ebaabf074228c... -> ['A0AAX7FLX8', 'SEQHASH_ED0EBAABF074228C']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"eff0f66fc576989b... -> ['A0A9R1K5W7', 'Q8S9E6']"
enzyme,,,,seq_hash_conflict,same_seq_multi_uniprot,"fcaa91b1d6ed318a... -> ['B9WZX4', 'Q4WAW8']"
enzyme,ENZ_G000024,,,uniprot_id,seq_conflict,"n=2 lens=[418, 398]"
enzyme,ENZ_G000189,,,uniprot_id,seq_conflict,"n=2 lens=[435, 415]"
enzyme,ENZ_G000424,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[401, 407]"
enzyme,ENZ_G000439,,,uniprot_id,seq_conflict,"n=2 lens=[499, 420]"
enzyme,ENZ_G000465,,,uniprot_id,seq_conflict,"n=2 lens=[400, 394]"
enzyme,ENZ_G000479,,,uniprot_id,seq_conflict,"n=2 lens=[433, 439]"
enzyme,ENZ_G000530,,,uniprot_id,seq_conflict,"n=2 lens=[450, 429]"
enzyme,ENZ_G000552,,,uniprot_id,seq_conflict,"n=2 lens=[407, 406]"
enzyme,ENZ_G000565,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[404, 410]"
enzyme,ENZ_G000597,,,uniprot_id,seq_conflict,"n=2 lens=[428, 422]"
enzyme,ENZ_G000647,,,uniprot_id,seq_conflict,"n=2 lens=[479, 159]"
enzyme,ENZ_G000680,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[421, 419]"
enzyme,ENZ_G000740,,,uniprot_id,seq_conflict,"n=2 lens=[418, 417]"
enzyme,ENZ_G000762,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[456, 513]"
enzyme,ENZ_G000773,,,uniprot_id,seq_conflict,"n=2 lens=[436, 416]"
enzyme,ENZ_G000778,,,uniprot_id,seq_conflict,"n=2 lens=[476, 491]"
enzyme,ENZ_G000780,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[415, 414]"
enzyme,ENZ_G000785,,,uniprot_id,seq_conflict,"n=2 lens=[491, 512]"
enzyme,ENZ_G000788,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[521, 487]"
enzyme,ENZ_G000796,,,uniprot_id,seq_conflict,"n=2 lens=[482, 495]"
enzyme,ENZ_G000818,,,uniprot_id,seq_conflict,"n=2 lens=[407, 407]"
enzyme,ENZ_G000827,,,uniprot_id,seq_conflict,"n=2 lens=[530, 536]"
enzyme,ENZ_G000828,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[476, 490]"
enzyme,ENZ_G000829,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[479, 497]"
enzyme,ENZ_G000831,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[476, 494]"
enzyme,ENZ_G000833,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[475, 490]"
enzyme,ENZ_G000839,,,uniprot_id,seq_conflict,"n=2 lens=[473, 1049]"
enzyme,ENZ_G000853,,,uniprot_id,seq_conflict,"n=2 lens=[406, 412]"
enzyme,ENZ_G000857,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[476, 491]"
enzyme,ENZ_G000863,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[486, 503]"
enzyme,ENZ_G000891,,,uniprot_id,seq_conflict,"n=2 lens=[411, 397]"
enzyme,ENZ_G000924,,,uniprot_id,seq_conflict,"n=2 lens=[418, 398]"
enzyme,ENZ_G000928,,,uniprot_id,seq_conflict,"n=2 lens=[440, 433]"
enzyme,ENZ_G000929,,,uniprot_id,seq_conflict,"n=2 lens=[428, 435]"
enzyme,ENZ_G000933,,,uniprot_id,seq_conflict,"n=2 lens=[403, 404]"
enzyme,ENZ_G000996,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[417, 452]"
enzyme,ENZ_G001072,,,uniprot_id,seq_conflict,"n=2 lens=[417, 397]"
enzyme,ENZ_G001179,,,uniprot_id,seq_conflict,"n=2 lens=[393, 402]"
enzyme,ENZ_G001211,,,uniprot_id,seq_conflict,"n=2 lens=[430, 405]"
enzyme,ENZ_G001235,,,uniprot_id,seq_conflict,"n=2 lens=[519, 595]"
enzyme,ENZ_G001276,,,uniprot_id,seq_conflict,"n=2 lens=[404, 406]"
enzyme,ENZ_G001301,,,uniprot_id,seq_conflict,"n=2 lens=[419, 419]"
enzyme,ENZ_G001302,,,uniprot_id,seq_conflict,"n=2 lens=[407, 413]"
enzyme,ENZ_G001374,,,uniprot_id,seq_conflict,"n=2 lens=[440, 420]"
enzyme,ENZ_G001393,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[411, 419]"
enzyme,ENZ_G001443,,,uniprot_id|seq_bridge,seq_conflict,"n=2 lens=[457, 401]"
enzyme,ENZ_G001447,,,uniprot_id,seq_conflict,"n=2 lens=[852, 853]"
