global_interaction_id,source,source_interaction_id,source_enzyme_id,source_compound_id,label,quality_tier,num_reactions,has_pmid,has_products,pdb_id,extra_json
INT_G000035,S3_P450Rdb,23,8,23,1,B,1,1,1,,{}
INT_G000036,S3_P450Rdb,14,8,14,1,B,1,1,1,,{}
INT_G000037,S3_P450Rdb,22,8,22,1,B,1,1,1,,{}
INT_G000038,S3_P450Rdb,24,9,24,1,B,1,1,1,,{}
INT_G000038,S9_PCPD,1082,708,513,1,B,1,0,0,,{}
INT_G000039,S2_ESIBank,6,1,6,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9135""}"
INT_G000040,S2_ESIBank,4,1,4,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9133""}"
INT_G000041,S8_PlantP450DB,82,71,12,1,B,1,1,0,,{}
INT_G000041,S9_PCPD,878,526,375,1,B,1,0,0,,{}
INT_G000042,S2_ESIBank,3,1,3,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9131""}"
INT_G000042,S3_P450Rdb,25,10,25,1,B,1,1,1,,{}
INT_G000043,S2_ESIBank,1,1,1,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9137""}"
INT_G000044,S3_P450Rdb,26,10,26,1,B,1,1,1,,{}
INT_G000045,S2_ESIBank,2,1,2,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9134""}"
INT_G000046,S2_ESIBank,5,1,5,1,B,1,0,0,,"{""source_enzyme_index"": ""5099"", ""source_reaction_index"": ""9136""}"
INT_G000047,S3_P450Rdb,27,11,27,1,B,1,1,1,,{}
INT_G000047,S8_PlantP450DB,409,250,130,1,B,1,1,0,,{}
INT_G000048,S2_ESIBank,7,2,7,1,B,1,0,0,,"{""source_enzyme_index"": ""5183"", ""source_reaction_index"": ""9267""}"
INT_G000049,S3_P450Rdb,28,12,28,1,B,1,1,1,,{}
INT_G000050,S3_P450Rdb,30,12,30,1,B,1,1,1,,{}
INT_G000050,S9_PCPD,990,630,391,1,B,1,0,0,,{}
INT_G000051,S3_P450Rdb,31,12,31,1,B,1,1,1,,{}
INT_G000051,S9_PCPD,992,630,470,1,B,1,0,0,,{}
INT_G000052,S3_P450Rdb,29,12,29,1,B,1,1,1,,{}
INT_G000052,S9_PCPD,991,630,469,1,B,1,0,0,,{}
INT_G000053,S3_P450Rdb,32,13,32,1,B,1,1,1,,{}
INT_G000053,S9_PCPD,248,188,153,1,B,1,0,0,,{}
INT_G000054,S3_P450Rdb,33,14,33,1,B,1,1,1,,{}
INT_G000054,S9_PCPD,251,191,154,1,B,1,0,0,,{}
INT_G000055,S1_RCSB,1,0,1,1,A,1,0,0,5NCB,{}
INT_G000056,S1_RCSB,0,0,0,1,A,1,0,0,5NCB,{}
INT_G000057,S1_RCSB,29,0,29,1,A,1,0,0,5NCB,{}
INT_G000058,S1_RCSB,28,0,28,1,A,1,0,0,5NCB,{}
INT_G000059,S3_P450Rdb,34,15,34,1,B,1,1,1,,{}
INT_G000060,S1_RCSB,3,1,3,1,A,1,0,0,6J83,{}
INT_G000061,S1_RCSB,2,1,2,1,A,1,0,0,6J83,{}
INT_G000061,S3_P450Rdb,35,16,35,1,B,1,1,1,,{}
INT_G000062,S3_P450Rdb,36,17,36,1,B,1,1,1,,{}
INT_G000063,S1_RCSB,6,2,6,1,A,1,0,0,7V43,{}
INT_G000064,S1_RCSB,5,2,5,1,A,1,0,0,7V43,{}
INT_G000065,S1_RCSB,8,2,8,1,A,1,0,0,7V43,{}
INT_G000066,S1_RCSB,4,2,4,1,A,1,0,0,7V43,{}
INT_G000066,S9_PCPD,30,27,26,1,B,1,0,0,,{}
INT_G000067,S1_RCSB,7,2,7,1,A,1,0,0,7V43,{}
INT_G000068,S3_P450Rdb,37,18,37,1,B,1,1,1,,{}
INT_G000068,S8_PlantP450DB,560,338,2,1,B,1,1,0,,{}
INT_G000068,S9_PCPD,1183,798,385,1,B,1,0,0,,{}
INT_G000069,S3_P450Rdb,38,18,38,1,B,1,1,0,,{}
INT_G000069,S9_PCPD,1184,798,468,1,B,1,0,0,,{}
INT_G000070,S3_P450Rdb,39,19,37,1,B,1,1,1,,{}
INT_G000070,S8_PlantP450DB,565,343,2,1,B,1,1,0,,{}
INT_G000070,S9_PCPD,1192,803,385,1,B,1,0,0,,{}
INT_G000071,S3_P450Rdb,40,19,38,1,B,1,1,0,,{}
INT_G000071,S9_PCPD,1193,803,468,1,B,1,0,0,,{}
INT_G000072,S3_P450Rdb,41,20,37,1,B,1,1,1,,{}
INT_G000072,S8_PlantP450DB,563,341,2,1,B,1,1,0,,{}
INT_G000072,S9_PCPD,1189,801,385,1,B,1,0,0,,{}
INT_G000073,S3_P450Rdb,42,21,37,1,B,1,1,1,,{}
INT_G000073,S8_PlantP450DB,562,340,2,1,B,1,1,0,,{}
INT_G000073,S9_PCPD,1187,800,385,1,B,1,0,0,,{}
INT_G000074,S3_P450Rdb,43,21,38,1,B,1,1,0,,{}
INT_G000074,S9_PCPD,1188,800,468,1,B,1,0,0,,{}
INT_G000075,S3_P450Rdb,44,22,37,1,B,1,1,1,,{}
INT_G000075,S8_PlantP450DB,564,342,2,1,B,1,1,0,,{}
INT_G000075,S9_PCPD,1190,802,385,1,B,1,0,0,,{}
INT_G000076,S3_P450Rdb,45,22,38,1,B,1,1,0,,{}
INT_G000076,S9_PCPD,1191,802,468,1,B,1,0,0,,{}
INT_G000077,S3_P450Rdb,46,23,37,1,B,1,1,1,,{}
INT_G000077,S8_PlantP450DB,561,339,2,1,B,1,1,0,,{}
INT_G000077,S9_PCPD,1185,799,385,1,B,1,0,0,,{}
INT_G000078,S3_P450Rdb,47,23,38,1,B,1,1,0,,{}
INT_G000078,S9_PCPD,1186,799,468,1,B,1,0,0,,{}
INT_G000079,S8_PlantP450DB,837,506,259,1,B,1,1,0,,{}
INT_G000080,S8_PlantP450DB,836,506,2,1,B,1,1,0,,{}
INT_G000081,S8_PlantP450DB,835,506,260,1,B,1,1,0,,{}
INT_G000082,S3_P450Rdb,49,24,40,1,B,1,0,1,,{}
INT_G000083,S3_P450Rdb,48,24,39,1,B,1,0,1,,{}
INT_G000084,S2_ESIBank,8,3,8,1,B,1,0,0,,"{""source_enzyme_index"": ""5365"", ""source_reaction_index"": ""9577""}"
INT_G000085,S3_P450Rdb,50,25,41,1,B,1,1,1,,{}
INT_G000086,S8_PlantP450DB,17,13,12,1,B,1,1,0,,{}
INT_G000086,S9_PCPD,895,542,375,1,B,1,0,0,,{}
INT_G000087,S3_P450Rdb,51,26,41,1,B,1,1,1,,{}
INT_G000088,S9_PCPD,311,246,189,1,B,1,0,0,,{}
INT_G000089,S3_P450Rdb,52,27,42,1,B,1,1,1,,{}
INT_G000090,S3_P450Rdb,53,28,43,1,B,1,1,1,,{}
INT_G000090,S9_PCPD,256,196,155,1,B,1,0,0,,{}
INT_G000091,S2_ESIBank,10,4,10,1,B,1,0,0,,"{""source_enzyme_index"": ""21278"", ""source_reaction_index"": ""35931""}"
INT_G000092,S2_ESIBank,11,4,11,1,B,1,0,0,,"{""source_enzyme_index"": ""21278"", ""source_reaction_index"": ""35934""}"
INT_G000093,S2_ESIBank,12,4,12,1,B,1,0,0,,"{""source_enzyme_index"": ""21278"", ""source_reaction_index"": ""35937""}"
INT_G000094,S2_ESIBank,9,4,9,1,B,1,0,0,,"{""source_enzyme_index"": ""21278"", ""source_reaction_index"": ""35930""}"
INT_G000095,S3_P450Rdb,54,29,44,1,B,1,1,0,,{}
INT_G000096,S1_RCSB,9,3,9,1,A,1,0,0,6L3A,{}
INT_G000097,S3_P450Rdb,55,30,36,1,B,1,1,1,,{}
INT_G000098,S3_P450Rdb,56,30,45,1,B,1,1,1,,{}
INT_G000099,S3_P450Rdb,59,30,48,1,B,3,1,1,,{}
INT_G000100,S3_P450Rdb,57,30,46,1,B,1,1,1,,{}
INT_G000101,S9_PCPD,142,102,91,1,B,1,0,0,,{}
INT_G000102,S3_P450Rdb,58,30,47,1,B,1,1,1,,{}
INT_G000103,S9_PCPD,344,279,214,1,B,1,0,0,,{}
INT_G000104,S2_ESIBank,14,5,14,1,B,1,0,0,,"{""source_enzyme_index"": ""5169"", ""source_reaction_index"": ""9249""}"
INT_G000105,S8_PlantP450DB,320,201,111,1,B,1,1,0,,{}
INT_G000106,S2_ESIBank,13,5,13,1,B,1,0,0,,"{""source_enzyme_index"": ""5169"", ""source_reaction_index"": ""9248""}"
INT_G000106,S8_PlantP450DB,319,201,4,1,B,1,1,0,,{}
INT_G000106,S9_PCPD,1068,696,65,1,B,1,0,0,,{}
INT_G000107,S2_ESIBank,15,5,15,1,B,1,0,0,,"{""source_enzyme_index"": ""5169"", ""source_reaction_index"": ""9250""}"
INT_G000108,S8_PlantP450DB,964,566,290,1,B,1,1,0,,{}
INT_G000108,S9_PCPD,1200,810,564,1,B,1,0,0,,{}
INT_G000109,S1_RCSB,10,4,10,1,A,1,0,0,8VWK,{}
INT_G000110,S2_ESIBank,16,6,16,1,B,1,0,0,,"{""source_enzyme_index"": ""5326"", ""source_reaction_index"": ""9488""}"
INT_G000110,S3_P450Rdb,60,31,37,1,B,1,1,1,,{}
INT_G000110,S8_PlantP450DB,765,467,2,1,B,1,1,0,,{}
INT_G000110,S9_PCPD,1147,768,385,1,B,1,0,0,,{}
INT_G000111,S3_P450Rdb,61,31,30,1,B,1,1,0,,{}
INT_G000112,S3_P450Rdb,63,31,50,1,B,1,1,0,,{}
INT_G000113,S3_P450Rdb,62,31,49,1,B,1,1,0,,{}
INT_G000114,S3_P450Rdb,65,32,52,1,B,1,1,1,,{}
INT_G000114,S8_PlantP450DB,822,501,259,1,B,1,1,0,,{}
INT_G000115,S3_P450Rdb,66,32,37,1,B,1,1,1,,{}
INT_G000115,S8_PlantP450DB,823,501,2,1,B,1,1,0,,{}
INT_G000115,S9_PCPD,782,473,385,1,B,1,0,0,,{}
INT_G000116,S8_PlantP450DB,824,501,262,1,B,1,1,0,,{}
INT_G000117,S3_P450Rdb,64,32,51,1,B,1,1,1,,{}
INT_G000118,S3_P450Rdb,67,33,37,1,B,1,1,1,,{}
INT_G000118,S8_PlantP450DB,839,508,2,1,B,1,1,0,,{}
INT_G000118,S9_PCPD,826,487,385,1,B,1,0,0,,{}
INT_G000119,S3_P450Rdb,69,33,50,1,B,2,1,1,,{}
INT_G000120,S3_P450Rdb,68,33,49,1,B,1,1,1,,{}
INT_G000121,S3_P450Rdb,70,33,53,1,B,1,1,0,,{}
INT_G000122,S1_RCSB,13,5,13,1,A,1,0,0,8JNC,{}
INT_G000123,S1_RCSB,11,5,11,1,A,1,0,0,8JNC,{}
INT_G000124,S1_RCSB,12,5,12,1,A,1,0,0,8JNC,{}
INT_G000125,S3_P450Rdb,72,34,55,1,B,1,1,1,,{}
INT_G000126,S3_P450Rdb,71,34,54,1,B,1,1,1,,{}
INT_G000127,S9_PCPD,265,205,159,1,B,1,0,0,,{}
INT_G000128,S3_P450Rdb,73,35,36,1,B,1,1,1,,{}
INT_G000129,S3_P450Rdb,74,35,45,1,B,1,1,1,,{}
INT_G000130,S3_P450Rdb,75,35,46,1,B,1,1,1,,{}
INT_G000131,S9_PCPD,135,95,91,1,B,1,0,0,,{}
INT_G000132,S3_P450Rdb,76,35,47,1,B,1,1,1,,{}
INT_G000133,S8_PlantP450DB,344,219,120,1,B,1,1,0,,{}
INT_G000133,S8_PlantP450DB,346,220,120,1,B,1,1,0,,{}
INT_G000133,S9_PCPD,1043,675,460,1,B,1,0,0,,{}
INT_G000134,S3_P450Rdb,79,36,58,1,B,1,1,1,,{}
INT_G000135,S3_P450Rdb,78,36,57,1,B,1,1,1,,{}
INT_G000135,S8_PlantP450DB,345,219,121,1,B,1,1,0,,{}
INT_G000135,S8_PlantP450DB,347,220,121,1,B,1,1,0,,{}
INT_G000135,S9_PCPD,1042,675,502,1,B,1,0,0,,{}
INT_G000136,S3_P450Rdb,77,36,56,1,B,1,1,1,,{}
INT_G000137,S8_PlantP450DB,348,221,120,1,B,1,1,0,,{}
INT_G000138,S8_PlantP450DB,349,221,121,1,B,1,1,0,,{}
INT_G000139,S9_PCPD,1045,676,460,1,B,1,0,0,,{}
INT_G000140,S2_ESIBank,18,7,18,1,B,1,0,0,,"{""source_enzyme_index"": ""5116"", ""source_reaction_index"": ""9493""}"
INT_G000140,S3_P450Rdb,81,37,57,1,B,1,1,1,,{}
INT_G000140,S9_PCPD,1044,676,502,1,B,1,0,0,,{}
INT_G000141,S2_ESIBank,17,7,17,1,B,1,0,0,,"{""source_enzyme_index"": ""5116"", ""source_reaction_index"": ""9180""}"
INT_G000141,S3_P450Rdb,80,37,56,1,B,1,1,1,,{}
INT_G000142,S3_P450Rdb,82,38,59,1,B,2,1,1,,{}
INT_G000143,S9_PCPD,240,180,147,1,B,1,0,0,,{}
INT_G000144,S9_PCPD,272,212,164,1,B,1,0,0,,{}
INT_G000145,S9_PCPD,278,218,169,1,B,1,0,0,,{}
INT_G000146,S3_P450Rdb,83,39,60,1,B,1,1,1,,{}
INT_G000146,S9_PCPD,218,161,133,1,B,1,0,0,,{}
INT_G000147,S3_P450Rdb,84,39,61,1,B,1,1,1,,{}
INT_G000147,S9_PCPD,219,161,134,1,B,1,0,0,,{}
INT_G000148,S3_P450Rdb,85,39,62,1,B,1,1,1,,{}
INT_G000148,S9_PCPD,217,161,132,1,B,1,0,0,,{}
INT_G000149,S3_P450Rdb,87,40,64,1,B,1,1,1,,{}
INT_G000149,S9_PCPD,210,156,33,1,B,1,0,0,,{}
INT_G000150,S3_P450Rdb,88,40,39,1,B,1,1,1,,{}
INT_G000150,S9_PCPD,209,156,91,1,B,1,0,0,,{}
INT_G000151,S3_P450Rdb,86,40,63,1,B,1,1,1,,{}
INT_G000151,S9_PCPD,211,156,128,1,B,1,0,0,,{}
INT_G000152,S8_PlantP450DB,748,462,234,1,B,1,1,0,,{}
INT_G000153,S8_PlantP450DB,747,462,235,1,B,1,1,0,,{}
INT_G000154,S8_PlantP450DB,638,397,210,1,B,1,1,0,,{}
INT_G000154,S9_PCPD,1004,640,478,1,B,1,0,0,,{}
INT_G000155,S3_P450Rdb,89,41,65,1,B,1,1,0,,{}
INT_G000155,S9_PCPD,734,429,369,1,B,1,0,0,,{}
INT_G000156,S1_RCSB,14,6,14,1,A,1,0,0,8Q6Y,{}
INT_G000157,S3_P450Rdb,90,42,66,1,B,1,1,1,,{}
INT_G000158,S3_P450Rdb,91,43,67,1,B,1,1,0,,{}
INT_G000159,S3_P450Rdb,92,44,67,1,B,1,1,1,,{}
INT_G000160,S3_P450Rdb,94,45,66,1,B,1,1,1,,{}
INT_G000160,S8_PlantP450DB,789,479,171,1,B,1,1,0,,{}
INT_G000160,S9_PCPD,1156,777,37,1,B,1,0,0,,{}
INT_G000161,S3_P450Rdb,93,45,67,1,B,1,1,1,,{}
INT_G000162,S8_PlantP450DB,951,558,171,1,B,1,1,0,,{}
INT_G000163,S3_P450Rdb,95,46,67,1,B,2,1,1,,{}
INT_G000164,S9_PCPD,1198,808,467,1,B,1,0,0,,{}
INT_G000165,S8_PlantP450DB,801,485,257,1,B,1,1,0,,{}
INT_G000165,S9_PCPD,1166,787,553,1,B,1,0,0,,{}
INT_G000166,S3_P450Rdb,96,47,67,1,B,2,1,1,,{}
INT_G000167,S3_P450Rdb,97,47,68,1,B,1,1,1,,{}
INT_G000168,S3_P450Rdb,98,48,67,1,B,1,1,0,,{}
INT_G000169,S3_P450Rdb,99,49,69,1,B,1,1,0,,{}
INT_G000170,S9_PCPD,1029,663,495,1,B,1,0,0,,{}
INT_G000171,S8_PlantP450DB,643,399,115,1,B,1,1,0,,{}
INT_G000172,S8_PlantP450DB,329,207,116,1,B,1,1,0,,{}
INT_G000173,S8_PlantP450DB,328,207,115,1,B,1,1,0,,{}
INT_G000174,S3_P450Rdb,100,50,70,1,B,1,1,1,,{}
INT_G000174,S9_PCPD,1036,669,495,1,B,1,0,0,,{}
INT_G000175,S8_PlantP450DB,330,207,104,1,B,1,1,0,,{}
INT_G000176,S2_ESIBank,19,8,19,1,B,1,0,0,,"{""source_enzyme_index"": ""4960"", ""source_reaction_index"": ""8820""}"
INT_G000177,S2_ESIBank,23,8,23,1,B,1,0,0,,"{""source_enzyme_index"": ""4960"", ""source_reaction_index"": ""8788""}"
INT_G000178,S2_ESIBank,22,8,22,1,B,1,0,0,,"{""source_enzyme_index"": ""4960"", ""source_reaction_index"": ""8792""}"
INT_G000179,S2_ESIBank,20,8,20,1,B,1,0,0,,"{""source_enzyme_index"": ""4960"", ""source_reaction_index"": ""8800""}"
INT_G000180,S2_ESIBank,21,8,21,1,B,1,0,0,,"{""source_enzyme_index"": ""4960"", ""source_reaction_index"": ""8791""}"
INT_G000181,S2_ESIBank,24,9,24,1,B,1,0,0,,"{""source_enzyme_index"": ""5338"", ""source_reaction_index"": ""9509""}"
INT_G000182,S2_ESIBank,25,9,25,1,B,1,0,0,,"{""source_enzyme_index"": ""5338"", ""source_reaction_index"": ""9506""}"
INT_G000183,S2_ESIBank,28,10,28,1,B,1,0,0,,"{""source_enzyme_index"": ""5175"", ""source_reaction_index"": ""9257""}"
INT_G000184,S2_ESIBank,26,10,26,1,B,1,0,0,,"{""source_enzyme_index"": ""5175"", ""source_reaction_index"": ""9260""}"
INT_G000185,S3_P450Rdb,101,51,71,1,B,1,1,1,,{}
INT_G000185,S8_PlantP450DB,602,367,199,1,B,1,1,0,,{}
INT_G000185,S9_PCPD,741,435,85,1,B,1,0,0,,{}
INT_G000186,S2_ESIBank,27,10,27,1,B,1,0,0,,"{""source_enzyme_index"": ""5175"", ""source_reaction_index"": ""9258""}"
INT_G000187,S3_P450Rdb,104,52,74,1,B,1,1,1,,{}
INT_G000187,S9_PCPD,75,54,57,1,B,1,0,0,,{}
INT_G000188,S3_P450Rdb,102,52,72,1,B,1,1,1,,{}
INT_G000188,S9_PCPD,73,54,55,1,B,1,0,0,,{}
INT_G000189,S3_P450Rdb,105,52,75,1,B,1,1,1,,{}
INT_G000189,S9_PCPD,74,54,56,1,B,1,0,0,,{}
INT_G000190,S3_P450Rdb,103,52,73,1,B,1,1,1,,{}
INT_G000190,S9_PCPD,72,54,54,1,B,1,0,0,,{}
INT_G000191,S8_PlantP450DB,372,235,130,1,B,1,1,0,,{}
INT_G000191,S9_PCPD,1081,707,511,1,B,1,0,0,,{}
INT_G000192,S8_PlantP450DB,373,235,132,1,B,1,1,0,,{}
INT_G000193,S3_P450Rdb,106,53,76,1,B,2,1,1,,{}
INT_G000194,S3_P450Rdb,107,54,36,1,B,1,1,1,,{}
INT_G000195,S3_P450Rdb,108,54,45,1,B,1,1,1,,{}
INT_G000196,S3_P450Rdb,110,54,48,1,B,3,1,1,,{}
INT_G000197,S3_P450Rdb,109,54,46,1,B,2,1,1,,{}
INT_G000198,S9_PCPD,18,15,15,1,B,1,0,0,,{}
INT_G000199,S1_RCSB,15,7,15,1,A,1,0,0,5YSW,{}
INT_G000200,S3_P450Rdb,111,55,64,1,B,1,1,0,,{}
INT_G000200,S9_PCPD,39,34,33,1,B,1,0,0,,{}
INT_G000201,S1_RCSB,16,8,16,1,A,1,0,0,8FIC,{}
INT_G000202,S8_PlantP450DB,522,316,180,1,B,1,1,0,,{}
INT_G000203,S3_P450Rdb,112,56,77,1,B,1,1,0,,{}
INT_G000203,S8_PlantP450DB,62,53,33,1,B,1,1,0,,{}
INT_G000203,S9_PCPD,936,581,446,1,B,1,0,0,,{}
INT_G000204,S8_PlantP450DB,139,110,69,1,B,1,1,0,,{}
INT_G000205,S8_PlantP450DB,138,109,69,1,B,1,1,0,,{}
INT_G000206,S2_ESIBank,29,11,29,1,B,1,0,0,,"{""source_enzyme_index"": ""5264"", ""source_reaction_index"": ""9386""}"
INT_G000206,S3_P450Rdb,113,57,78,1,B,1,1,1,,{}
INT_G000207,S9_PCPD,1119,744,530,1,B,1,0,0,,{}
INT_G000208,S8_PlantP450DB,490,291,63,1,B,1,1,0,,{}
INT_G000209,S2_ESIBank,31,12,28,1,B,1,0,0,,"{""source_enzyme_index"": ""5176"", ""source_reaction_index"": ""9257""}"
INT_G000210,S2_ESIBank,32,12,26,1,B,1,0,0,,"{""source_enzyme_index"": ""5176"", ""source_reaction_index"": ""9259""}"
INT_G000211,S2_ESIBank,30,12,27,1,B,1,0,0,,"{""source_enzyme_index"": ""5176"", ""source_reaction_index"": ""9258""}"
INT_G000212,S3_P450Rdb,114,58,79,1,B,1,1,1,,{}
INT_G000212,S9_PCPD,340,275,213,1,B,1,0,0,,{}
INT_G000213,S3_P450Rdb,115,59,80,1,B,1,1,1,,{}
INT_G000213,S8_PlantP450DB,121,94,63,1,B,1,1,0,,{}
INT_G000213,S9_PCPD,898,545,425,1,B,1,0,0,,{}
INT_G000214,S2_ESIBank,33,13,30,1,B,1,0,0,,"{""source_enzyme_index"": ""5263"", ""source_reaction_index"": ""9385""}"
INT_G000214,S3_P450Rdb,116,60,81,1,B,1,1,1,,{}
INT_G000214,S9_PCPD,917,563,437,1,B,1,0,0,,{}
INT_G000215,S3_P450Rdb,117,61,82,1,B,1,1,1,,{}
INT_G000216,S2_ESIBank,35,14,32,1,B,1,0,0,,"{""source_enzyme_index"": ""5152"", ""source_reaction_index"": ""9232""}"
INT_G000217,S2_ESIBank,36,14,33,1,B,1,0,0,,"{""source_enzyme_index"": ""5152"", ""source_reaction_index"": ""9242""}"
INT_G000218,S2_ESIBank,34,14,31,1,B,1,0,0,,"{""source_enzyme_index"": ""5152"", ""source_reaction_index"": ""9241""}"
INT_G000219,S2_ESIBank,37,14,34,1,B,1,0,0,,"{""source_enzyme_index"": ""5152"", ""source_reaction_index"": ""9239""}"
INT_G000220,S9_PCPD,323,258,200,1,B,1,0,0,,{}
INT_G000221,S3_P450Rdb,118,62,83,1,B,1,1,1,,{}
INT_G000222,S8_PlantP450DB,673,414,224,1,B,1,1,0,,{}
INT_G000223,S2_ESIBank,38,15,35,1,B,1,0,0,,"{""source_enzyme_index"": ""5115"", ""source_reaction_index"": ""9495""}"
INT_G000223,S3_P450Rdb,120,63,84,1,B,1,1,1,,{}
INT_G000223,S9_PCPD,1047,677,460,1,B,1,0,0,,{}
INT_G000224,S2_ESIBank,39,15,18,1,B,1,0,0,,"{""source_enzyme_index"": ""5115"", ""source_reaction_index"": ""9493""}"
INT_G000224,S3_P450Rdb,119,63,57,1,B,1,1,1,,{}
INT_G000224,S9_PCPD,1046,677,502,1,B,1,0,0,,{}
INT_G000225,S2_ESIBank,40,15,17,1,B,1,0,0,,"{""source_enzyme_index"": ""5115"", ""source_reaction_index"": ""9180""}"
INT_G000226,S3_P450Rdb,121,64,85,1,B,1,1,1,,{}
INT_G000227,S9_PCPD,1051,681,504,1,B,1,0,0,,{}
INT_G000228,S3_P450Rdb,123,65,86,1,B,1,1,1,,{}
INT_G000229,S9_PCPD,897,544,424,1,B,1,0,0,,{}
INT_G000230,S3_P450Rdb,122,65,56,1,B,1,1,1,,{}
INT_G000231,S3_P450Rdb,124,65,87,1,B,1,1,1,,{}
INT_G000232,S3_P450Rdb,125,66,88,1,B,1,1,1,,{}
INT_G000233,S8_PlantP450DB,678,419,222,1,B,1,1,0,,{}
INT_G000233,S9_PCPD,975,617,391,1,B,1,0,0,,{}
INT_G000234,S3_P450Rdb,126,67,37,1,B,1,1,1,,{}
INT_G000234,S8_PlantP450DB,852,515,2,1,B,1,1,0,,{}
INT_G000234,S9_PCPD,841,494,385,1,B,1,0,0,,{}
INT_G000235,S2_ESIBank,43,16,32,1,B,1,0,0,,"{""source_enzyme_index"": ""5165"", ""source_reaction_index"": ""9232""}"
INT_G000236,S2_ESIBank,41,16,33,1,B,1,0,0,,"{""source_enzyme_index"": ""5165"", ""source_reaction_index"": ""9242""}"
INT_G000237,S2_ESIBank,42,16,34,1,B,1,0,0,,"{""source_enzyme_index"": ""5165"", ""source_reaction_index"": ""9239""}"
INT_G000238,S2_ESIBank,44,17,36,1,B,1,0,0,,"{""source_enzyme_index"": ""5674"", ""source_reaction_index"": ""9980""}"
INT_G000239,S3_P450Rdb,127,68,89,1,B,1,1,1,,{}
INT_G000239,S8_PlantP450DB,335,211,117,1,B,1,1,0,,{}
INT_G000239,S9_PCPD,1038,671,168,1,B,1,0,0,,{}
INT_G000240,S8_PlantP450DB,334,210,117,1,B,1,1,0,,{}
INT_G000241,S8_PlantP450DB,843,511,259,1,B,1,1,0,,{}
INT_G000242,S3_P450Rdb,129,69,90,1,B,1,1,1,,{}
INT_G000242,S9_PCPD,832,490,388,1,B,1,0,0,,{}
