substrate_idx,raw_smiles,rdkit_parse_ok,rdkit_canonical_smiles,rdkit_isomeric_smiles,rdkit_inchikey,cid,cid_status,final_substrate_id,fallback_id,cid_collision_group,pubchem_query_method,pubchem_return_count,notes,in_train,in_val,in_test,in_any_split
45,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,True,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,AIONOLUJZLIMTK-UHFFFAOYSA-N,3593,hit,CID3593,NO_CID_e471a8c0e4ca,,hit,1,,1,1,1,1
46,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,True,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,AJLFOPYRIVGYMJ-INTXDZFKSA-N,64715,hit,CID64715,NO_CID_767122c324bc,,hit,1,,1,1,1,1
47,COCC1N=C(C)OC1c1ccccc1,True,COCC1N=C(C)OC1c1ccccc1,COCC1N=C(C)OC1c1ccccc1,AKFIXTAIQHJWAU-UHFFFAOYSA-N,103584,hit,CID103584,NO_CID_4de7674100f9,,hit,1,,1,1,1,1
48,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,True,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,AKIHYQWCLCDMMI-UHFFFAOYSA-N,440362,hit,CID440362,NO_CID_ef676c4f25c1,,hit,1,,1,1,1,1
49,Cc1c(CC(N)C=O)c2c(F)cccc2n1C,True,Cc1c(CC(N)C=O)c2c(F)cccc2n1C,Cc1c(CC(N)C=O)c2c(F)cccc2n1C,AKSIPZOYAQUSLM-UHFFFAOYSA-N,,cid0_no_match,NO_CID_76b6087a6c8d,NO_CID_76b6087a6c8d,,cid0_no_match,0,,1,1,1,1
50,O=C(O)c1cc2ccccc2cc1O,True,O=C(O)c1cc2ccccc2cc1O,O=C(O)c1cc2ccccc2cc1O,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,7104,hit,CID7104,NO_CID_ed2aa3550ee4,,hit,1,,1,1,1,1
51,Cc1ccccc1-c1ccccc1,True,Cc1ccccc1-c1ccccc1,Cc1ccccc1-c1ccccc1,ALLIZEAXNXSFGD-UHFFFAOYSA-N,12563,hit,CID12563,NO_CID_bbd3741cc030,,hit,1,,1,1,1,1
52,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,True,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,ALZAZMCIBRHMFF-UHFFFAOYSA-N,485077,hit,CID485077,NO_CID_192c0ac2a890,,hit,1,,1,1,1,1
53,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@H]12,True,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-OZIIXKNCSA-N,10548420,hit,CID10548420,NO_CID_d9e31dcd54c9,,hit,1,,1,1,1,1
54,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,True,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-UOUCRYGSSA-N,87691,hit,CID87691,NO_CID_a69e75423b8a,,hit,1,,1,1,1,1
55,CC(C)C=O,True,CC(C)C=O,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,6561,hit,CID6561,NO_CID_2d110dfb367a,,hit,1,,1,1,1,1
56,Cc1cc(O)cc(O)c1C(=O)O,True,Cc1cc(O)cc(O)c1C(=O)O,Cc1cc(O)cc(O)c1C(=O)O,AMKYESDOVDKZKV-UHFFFAOYSA-N,68072,hit,CID68072,NO_CID_da1d3d7bc467,,hit,1,,1,1,0,1
57,COc1cccc2c1cc(CC(N)C(=O)O)n2C,True,COc1cccc2c1cc(CC(N)C(=O)O)n2C,COc1cccc2c1cc(CC(N)C(=O)O)n2C,AMPOJHMBNDGPIU-UHFFFAOYSA-N,,cid0_no_match,NO_CID_290db7cc2739,NO_CID_290db7cc2739,,cid0_no_match,0,,1,1,1,1
58,NCCCNCCCC(C(=O)/C=C/c1ccc(O)cc1)N(C(=O)/C=C/c1ccc(O)cc1)C(=O)/C=C/c1ccc(O)cc1,True,NCCCNCCCC(C(=O)C=Cc1ccc(O)cc1)N(C(=O)C=Cc1ccc(O)cc1)C(=O)C=Cc1ccc(O)cc1,NCCCNCCCC(C(=O)/C=C/c1ccc(O)cc1)N(C(=O)/C=C/c1ccc(O)cc1)C(=O)/C=C/c1ccc(O)cc1,ANNWHZVJHRKQKH-AUCPOXKISA-N,129669148,hit,CID129669148,NO_CID_3fbf0f278ce5,,hit,1,,1,1,1,1
59,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,True,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,ANVAOWXLWRTKGA-JLTXGRSLSA-N,4369188,hit,CID4369188,NO_CID_5dfbabbcbcee,,hit,1,,1,1,0,1
60,CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,True,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,ANVAOWXLWRTKGA-NTXLUARGSA-N,6419725,hit,CID6419725,NO_CID_eabe7b2cdf5c,,hit,1,,1,1,1,1
61,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC=O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,True,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC=O)CC(O)CC1O,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC=O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,AOVGFTJYESGAEA-NKLFQLIUSA-N,17756746,hit,CID17756746,NO_CID_1c188c5f3833,,hit,1,,1,1,1,1
62,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CCC(C[C@H]12)C3(C)C,True,C=C1C(OC(C)=O)CCC2(C)CCC3=C(C)CCC(CC12)C3(C)C,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CCC(C[C@H]12)C3(C)C,APIZAZFFQBVSJA-UXGKSEPASA-N,,cid0_no_match,NO_CID_912c68869f48,NO_CID_912c68869f48,,cid0_no_match,0,,1,1,1,1
63,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,True,C=C1C(OC(C)=O)CCC2(C)CCC3=C(C)CCC(CC12)C3(C)C,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,APIZAZFFQBVSJA-ZJDLJICXSA-N,443486,hit,CID443486,NO_CID_46a6960e3c98,,hit,1,,1,1,1,1
64,NCCc1c[nH]c2ccccc12,True,NCCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,1150,hit,CID1150,NO_CID_b194f85489b4,,hit,1,,1,1,1,1
65,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,True,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-SQXURCFHSA-N,141180300,hit,CID141180300,NO_CID_31939320234c,,hit,1,,1,1,1,1
66,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-TVRYRFOISA-N,3080603,hit,CID3080603,NO_CID_bff271a20735,,hit,1,,1,1,1,1
67,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,True,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,APYVEUGLZHAHDJ-UHFFFAOYSA-N,5118590,hit,CID5118590,NO_CID_4853f2c6c275,,hit,1,,1,1,1,1
68,CC(C)C1=C2C3CCC(CO)=CC(O)C3(C)CCC2(C)CC1,True,CC(C)C1=C2C3CCC(CO)=CC(O)C3(C)CCC2(C)CC1,CC(C)C1=C2C3CCC(CO)=CC(O)C3(C)CCC2(C)CC1,ARKJITGRSNWNOF-UHFFFAOYSA-N,,cid0_no_match,NO_CID_f7d6cd9b4c43,NO_CID_f7d6cd9b4c43,,cid0_no_match,0,,1,1,1,1
69,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,True,CCC1OC(=O)C(C)C(OC(=O)CCN(C)C)C(C)CC(C)C(=O)C=CC1C,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ARTBSYNHBBHIBV-HSYQSNAQSA-N,71664575,hit,CID71664575,NO_CID_7461550f5ead,,hit,1,,1,1,1,1
