global_enzyme_id,canonical_uniprot_id,source_category,structure_source,status,has_heme,alphafill_id,template_pdb,sequence_identity,global_rmsd,local_rmsd,clash_score,alphafill_json_path,alphafill_cif_path,existing_pdb_path,needs_colabfold,notes,alphafold_pdb_path,heme_transplant_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z,aligned_ca_count,quality_tier,template_source
ENZ_G000011,A0A067L1K9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A067L1K9-F1,ENZ_G000518,0.7210,4.28,,,,,,0,"tier3, rmsd=4.28, identity=0.721, n_ca=466",data\structures\alphafold\pdb\AF-A0A067L1K9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A067L1K9-F1_heme.pdb,3.369,-2.256,2.452,466,tier3,pcpd_pdb
ENZ_G000012,A0A067L546,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP71D495.pdb,0,,,,,,,,,
ENZ_G000013,A0A067LCX8,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP726A20.pdb,0,,,,,,,,,
ENZ_G000014,A0A067ZUX1,alphafill_candidate,alphafold_heme_transplant,no_template,0,A0A067ZUX1-F1,ENZ_G000155,0.149,45.22,,,,,,0,No template with identity >= 0.25,data\structures\alphafold\pdb\AF-A0A067ZUX1-F1.pdb,data\structures\heme_transplant\pdb\ENZ_G000014_heme.pdb,4.063,5.705,-6.218,,,
ENZ_G000015,A0A068Q605,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A068Q605-F1,5YLW,0.290023,3.23487,1.43091,0.394649,data\structures\alphafill\json\A0A068Q605-F1.json,data\structures\alphafill\cif\A0A068Q605-F1.cif,,0,,,,,,,,,
ENZ_G000016,A0A068Q609,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP71AN24.pdb,0,,,,,,,,,
ENZ_G000017,A0A068Q7V0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A068Q7V0-F1,ENZ_G001439,0.6399,2.20,4.71277,0.468489,data\structures\alphafill\json\A0A068Q7V0-F1.json,data\structures\alphafill\cif\A0A068Q7V0-F1.cif,,0,"tier2, rmsd=2.20, identity=0.640, n_ca=486",,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A068Q7V0-F1_heme.pdb,2.321,-5.424,-0.777,486,tier2,pcpd_pdb
ENZ_G000018,A0A072UPL5,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A072UPL5-F1,ENZ_G001351,0.8446,2.19,,,,,,0,"tier2, rmsd=2.19, identity=0.845, n_ca=489",data\structures\alphafold\pdb\AF-A0A072UPL5-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A072UPL5-F1_heme.pdb,3.677,-0.972,3.055,489,tier2,pcpd_pdb
ENZ_G000019,A0A072V9E9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A072V9E9-F1,ENZ_G001009,0.9481,1.13,,,,,,0,"tier1, rmsd=1.13, identity=0.948, n_ca=520",data\structures\alphafold\pdb\AF-A0A072V9E9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A072V9E9-F1_heme.pdb,1.809,-1.564,4.177,520,tier1,alphafill_cif
ENZ_G000020,A0A075TMP8,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A075TMP8-F1,1PQ2,0.303279,3.61936,0.677483,0.802877,data\structures\alphafill\json\A0A075TMP8-F1.json,data\structures\alphafill\cif\A0A075TMP8-F1.cif,,0,,,,,,,,,
ENZ_G000021,A0A075TRL5,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A075TRL5-F1,4GQS,0.333333,2.31318,2.16473,0.79197,data\structures\alphafill\json\A0A075TRL5-F1.json,data\structures\alphafill\cif\A0A075TRL5-F1.cif,,0,,,,,,,,,
ENZ_G000022,A0A076MY51,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/5NCB,0,,,,,,,,,
ENZ_G000023,A0A076U5L2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A076U5L2-F1,ENZ_G001057,0.9958,2.17,,,,,,0,"tier2, rmsd=2.17, identity=0.996, n_ca=481",data\structures\alphafold\pdb\AF-A0A076U5L2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A076U5L2-F1_heme.pdb,3.847,-3.643,1.050,481,tier2,alphafill_cif
ENZ_G000024,A0A077KEB8,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/6J83,0,,,,,,,,,
ENZ_G000025,A0A087X1C5,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A087X1C5-F1,3QM4,0.882479,1.40752,0.508334,0.128942,data\structures\alphafill\json\A0A087X1C5-F1.json,data\structures\alphafill\cif\A0A087X1C5-F1.cif,,0,,,,,,,,,
ENZ_G000026,A0A088FL33,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/7V43,0,,,,,,,,,
ENZ_G000027,A0A088LHH3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LHH3-F1,ENZ_G001555,0.8407,1.67,,,,,,0,"tier1, rmsd=1.67, identity=0.841, n_ca=477",data\structures\alphafold\pdb\AF-A0A088LHH3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHH3-F1_heme.pdb,5.482,-0.352,1.594,477,tier1,pcpd_pdb
ENZ_G000028,A0A088LHH7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LHH7-F1,ENZ_G001555,0.8771,1.77,,,,,,0,"tier1, rmsd=1.77, identity=0.877, n_ca=480",data\structures\alphafold\pdb\AF-A0A088LHH7-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHH7-F1_heme.pdb,5.336,-2.953,1.242,480,tier1,pcpd_pdb
ENZ_G000029,A0A088LHV2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LHV2-F1,ENZ_G001007,0.9023,1.65,,,,,,0,"tier1, rmsd=1.65, identity=0.902, n_ca=481",data\structures\alphafold\pdb\AF-A0A088LHV2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LHV2-F1_heme.pdb,5.236,-2.394,1.754,481,tier1,pcpd_pdb
ENZ_G000030,A0A088LIS6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LIS6-F1,ENZ_G001007,0.8973,1.78,,,,,,0,"tier1, rmsd=1.78, identity=0.897, n_ca=477",data\structures\alphafold\pdb\AF-A0A088LIS6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LIS6-F1_heme.pdb,4.857,-1.182,1.538,477,tier1,pcpd_pdb
ENZ_G000031,A0A088LM09,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LM09-F1,ENZ_G001007,0.9062,1.88,,,,,,0,"tier1, rmsd=1.88, identity=0.906, n_ca=480",data\structures\alphafold\pdb\AF-A0A088LM09-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LM09-F1_heme.pdb,5.080,-1.978,1.662,480,tier1,pcpd_pdb
ENZ_G000032,A0A088LUP1,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A088LUP1-F1,ENZ_G001007,0.8973,1.80,,,,,,0,"tier1, rmsd=1.80, identity=0.897, n_ca=477",data\structures\alphafold\pdb\AF-A0A088LUP1-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A088LUP1-F1_heme.pdb,4.884,-0.363,1.703,477,tier1,pcpd_pdb
ENZ_G000033,A0A090ATL9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A090ATL9-F1,ENZ_G000180,0.8288,1.71,,,,,,0,"tier1, rmsd=1.71, identity=0.829, n_ca=444",data\structures\alphafold\pdb\AF-A0A090ATL9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A090ATL9-F1_heme.pdb,3.740,0.386,2.545,444,tier1,pcpd_pdb
ENZ_G000034,A0A090YLD3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A090YLD3-F1,ENZ_G000724,0.7895,1.13,,,,,,0,"tier1, rmsd=1.13, identity=0.789, n_ca=247",data\structures\alphafold\pdb\AF-A0A090YLD3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A090YLD3-F1_heme.pdb,11.869,-7.619,12.899,247,tier1,alphafill_cif
ENZ_G000035,A0A097HUX0,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A097HUX0-F1,3K9V,0.357294,2.67076,0.625661,0.37133,data\structures\alphafill\json\A0A097HUX0-F1.json,data\structures\alphafill\cif\A0A097HUX0-F1.cif,,0,,,,,,,,,
ENZ_G000036,A0A097PUC0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A097PUC0-F1,ENZ_G000288,0.5532,2.50,,,,,,0,"tier2, rmsd=2.50, identity=0.553, n_ca=470",data\structures\alphafold\pdb\AF-A0A097PUC0-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A097PUC0-F1_heme.pdb,-1.602,5.867,-0.338,470,tier2,pcpd_pdb
ENZ_G000037,A0A097PUC4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A097PUC4-F1,ENZ_G000288,0.5489,2.45,,,,,,0,"tier2, rmsd=2.45, identity=0.549, n_ca=470",data\structures\alphafold\pdb\AF-A0A097PUC4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A097PUC4-F1_heme.pdb,-1.995,5.543,-0.130,470,tier2,pcpd_pdb
ENZ_G000038,A0A098D1J7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A098D1J7-F1,ENZ_G001052,0.4362,3.15,0.676123,0.18117,data\structures\alphafill\json\A0A098D1J7-F1.json,data\structures\alphafill\cif\A0A098D1J7-F1.cif,,0,"tier3, rmsd=3.15, identity=0.436, n_ca=525",,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A098D1J7-F1_heme.pdb,5.045,-1.877,2.483,525,tier3,alphafill_cif
ENZ_G000039,A0A098DJ84,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A098DJ84-F1,ENZ_G000898,0.5067,3.50,,,,,,0,"tier3, rmsd=3.50, identity=0.507, n_ca=523",data\structures\alphafold\pdb\AF-A0A098DJ84-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A098DJ84-F1_heme.pdb,4.452,2.028,1.889,523,tier3,alphafill_cif
ENZ_G000040,A0A0A0K2U8,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0A0K2U8-F1,ENZ_G001599,0.5870,1.75,,,,,,0,"tier1, rmsd=1.75, identity=0.587, n_ca=460",data\structures\alphafold\pdb\AF-A0A0A0K2U8-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A0K2U8-F1_heme.pdb,4.443,-2.195,5.191,460,tier1,pcpd_pdb
ENZ_G000041,A0A0A0LHC2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0A0LHC2-F1,ENZ_G001267,0.4399,4.85,,,,,,0,"tier3, rmsd=4.85, identity=0.440, n_ca=416",data\structures\alphafold\pdb\AF-A0A0A0LHC2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A0LHC2-F1_heme.pdb,1.744,-2.893,2.592,416,tier3,pcpd_pdb
ENZ_G000042,A0A0A0NSZ7,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/6L3A,0,,,,,,,,,
ENZ_G000043,A0A0A2J1Z6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0A2J1Z6-F1,ENZ_G000644,0.4901,2.89,,,,,,0,"tier2, rmsd=2.89, identity=0.490, n_ca=455",data\structures\alphafold\pdb\AF-A0A0A2J1Z6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A2J1Z6-F1_heme.pdb,-15.009,-0.265,7.193,455,tier2,experimental_pdb
ENZ_G000044,A0A0A2JY25,alphafill_candidate,alphafill,no_template,0,A0A0A2JY25-F1,8EOH,0.275229,8.12886,7.61911,0.488793,data\structures\alphafill\json\A0A0A2JY25-F1.json,data\structures\alphafill\cif\A0A0A2JY25-F1.cif,,0,No template with identity >= 0.25,,,,,,,,
ENZ_G000045,A0A0A7DLM4,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP76F45.pdb,0,,,,,,,,,
ENZ_G000046,A0A0A8KYF2,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP97C27.pdb,0,,,,,,,,,
ENZ_G000047,A0A0B0D9P4,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/8VWK,0,,,,,,,,,
ENZ_G000048,A0A0B4KZX8,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP87D16.pdb,0,,,,,,,,,
ENZ_G000049,A0A0B4L1W4,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP716A14.pdb,0,,,,,,,,,
ENZ_G000050,A0A0B4L1W8,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP716A75.pdb,0,,,,,,,,,
ENZ_G000051,A0A0B4ZV78,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/8JNC,0,,,,,,,,,
ENZ_G000052,A0A0B5KYT4,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A0B5KYT4-F1,1U13,0.282353,4.50678,1.20365,0.174432,data\structures\alphafill\json\A0A0B5KYT4-F1.json,data\structures\alphafill\cif\A0A0B5KYT4-F1.cif,,0,,,,,,,,,
ENZ_G000053,A0A0C2W6G6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0C2W6G6-F1,ENZ_G000246,0.4516,3.30,,,,,,0,"tier3, rmsd=3.30, identity=0.452, n_ca=516",data\structures\alphafold\pdb\AF-A0A0C2W6G6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C2W6G6-F1_heme.pdb,-0.228,6.670,0.566,516,tier3,alphafill_cif
ENZ_G000054,A0A0C3HJL3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0C3HJL3-F1,ENZ_G000644,0.5033,3.18,,,,,,0,"tier3, rmsd=3.18, identity=0.503, n_ca=455",data\structures\alphafold\pdb\AF-A0A0C3HJL3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C3HJL3-F1_heme.pdb,11.209,-0.431,-11.069,455,tier3,experimental_pdb
ENZ_G000055,A0A0C5Q4Y6,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP76AH22.pdb,0,,,,,,,,,
ENZ_G000056,A0A0C5QEW3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0C5QEW3-F1,ENZ_G000055,0.9254,1.33,,,,,,0,"tier1, rmsd=1.33, identity=0.925, n_ca=469",data\structures\alphafold\pdb\AF-A0A0C5QEW3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C5QEW3-F1_heme.pdb,2.928,-0.728,2.014,469,tier1,pcpd_pdb
ENZ_G000057,A0A0C5QRZ2,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP76AH24Sf.pdb,0,,,,,,,,,
ENZ_G000058,A0A0C6DUU3,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A0C6DUU3-F1,7KVK,0.267442,4.5351,1.45962,0.361665,data\structures\alphafill\json\A0A0C6DUU3-F1.json,data\structures\alphafill\cif\A0A0C6DUU3-F1.cif,,0,,,,,,,,,
ENZ_G000059,A0A0D1DMJ7,alphafill_candidate,alphafill,heme_transplant_failed,0,A0A0D1DMJ7-F1,7WZL,0.269397,5.6125,1.87142,0.277061,data\structures\alphafill\json\A0A0D1DMJ7-F1.json,data\structures\alphafill\cif\A0A0D1DMJ7-F1.cif,,0,All 10 templates gave tier4; best rmsd=6.69,,,,,,,,
ENZ_G000060,A0A0D1DT62,alphafill_candidate,alphafill,downloaded_with_heme,1,A0A0D1DT62-F1,7SV2,0.299578,4.57524,1.33471,0.234436,data\structures\alphafill\json\A0A0D1DT62-F1.json,data\structures\alphafill\cif\A0A0D1DT62-F1.cif,,0,,,,,,,,,
ENZ_G000061,A0A0D2XLX8,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0D2XLX8-F1,ENZ_G000441,0.6371,1.94,,,,,,0,"tier1, rmsd=1.94, identity=0.637, n_ca=507",data\structures\alphafold\pdb\AF-A0A0D2XLX8-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D2XLX8-F1_heme.pdb,5.003,-3.076,3.395,507,tier1,alphafill_cif
ENZ_G000062,A0A0D2YE57,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0D2YE57-F1,ENZ_G000318,0.6143,3.92,,,,,,0,"tier3, rmsd=3.92, identity=0.614, n_ca=503",data\structures\alphafold\pdb\AF-A0A0D2YE57-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D2YE57-F1_heme.pdb,1.937,-0.209,3.967,503,tier3,alphafill_cif
ENZ_G000063,A0A0D4L589,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0D4L589-F1,ENZ_G001599,0.5044,2.34,,,,,,0,"tier2, rmsd=2.34, identity=0.504, n_ca=456",data\structures\alphafold\pdb\AF-A0A0D4L589-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D4L589-F1_heme.pdb,-1.427,-7.076,1.392,456,tier2,pcpd_pdb
ENZ_G000064,A0A0E3SY51,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP736A163.pdb,0,,,,,,,,,
ENZ_G000065,A0A0E3VN01,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0E3VN01-F1,ENZ_G000909,0.8190,0.56,,,,,,0,"tier1, rmsd=0.56, identity=0.819, n_ca=453",data\structures\alphafold\pdb\AF-A0A0E3VN01-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0E3VN01-F1_heme.pdb,2.819,0.445,1.098,453,tier1,alphafill_cif
ENZ_G000066,A0A0F4JF04,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/8Q6Y,0,,,,,,,,,
ENZ_G000067,A0A0F6PLP0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A0F6PLP0-F1,ENZ_G000338,0.8316,1.98,,,,,,0,"tier1, rmsd=1.98, identity=0.832, n_ca=481",data\structures\alphafold\pdb\AF-A0A0F6PLP0-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PLP0-F1_heme.pdb,4.106,-0.897,2.671,481,tier1,alphafill_cif
