reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,reaction_smiles,pmids
ESI_9258,12,27,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9257,12,28,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9259,12,26,C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3,C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3.-.O,C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3.-.O=O>>C=C1C[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3.-.O,
ESI_9385,13,30,COc1ccc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc1OC,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(O)c1OC.-.O,COc1ccc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc1OC.-.O=O>>COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(O)c1OC.-.O,
ESI_9241,14,31,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12.-.O=O>>O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,
ESI_9232,14,32,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21.-.O,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21.-.O=O>>O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21.-.O,
ESI_9242,14,33,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12.-.O=O>>O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,
ESI_9239,14,34,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O.-.O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O.-.O=O>>O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O.-.O,
ESI_9495,15,35,CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1,CC(C)C1=CC(=O)C2=C(CCC3C(C)(C)CCC[C@]23C)C1.-.O,CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1.-.O=O>>CC(C)C1=CC(=O)C2=C(CCC3C(C)(C)CCC[C@]23C)C1.-.O,
ESI_9493,15,18,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C.-.O=O>>CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,
ESI_9180,15,17,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O=O>>CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O,
ESI_9242,16,33,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12.-.O=O>>O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.-.O,
ESI_9239,16,34,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O.-.O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O.-.O=O>>O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O.-.O,
ESI_9232,16,32,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21.-.O,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21.-.O=O>>O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21.-.O,
ESI_9980,17,36,OC1=N[C@@H](Cc2ccc(O)cc2)C(O)=N[C@H]1Cc1ccc(O)cc1,OC1=N[C@H]2Cc3ccc(O)c(c3)-c3cc(ccc3O)C[C@@H]1N=C2O.-.O,OC1=N[C@@H](Cc2ccc(O)cc2)C(O)=N[C@H]1Cc1ccc(O)cc1.-.O=O>>OC1=N[C@H]2Cc3ccc(O)c(c3)-c3cc(ccc3O)C[C@@H]1N=C2O.-.O,
ESI_9184,18,37,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O.-.O,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O=O>>CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O.-.O,
ESI_9185,18,17,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)C1CC2=O.-.O,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O=O>>CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)C1CC2=O.-.O,
ESI_9187,19,38,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,CC(C)c1cc2c(c(O)c1O)[C@@]1(CO)CCCC(C)(C)[C@@H]1CC2=O.-.O,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O.-.O=O>>CC(C)c1cc2c(c(O)c1O)[C@@]1(CO)CCCC(C)(C)[C@@H]1CC2=O.-.O,
ESI_9186,19,37,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CC(C)c1cc2c(c(O)c1O)[C@@]1(CO)CCCC(C)(C)[C@@H]1CC2.-.O,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2.-.O=O>>CC(C)c1cc2c(c(O)c1O)[C@@]1(CO)CCCC(C)(C)[C@@H]1CC2.-.O,
ESI_9933,20,39,COc1cc2c(cc1O)[C@@H](Cc1ccc(O)cc1)NCC2,-.O,COc1cc2c(cc1O)[C@@H](Cc1ccc(O)cc1)NCC2.-.O=O>>-.O,
ESI_9936,20,40,COc1cc2c(cc1O)[C@H](Cc1ccc(O)cc1)NCC2,-.O,COc1cc2c(cc1O)[C@H](Cc1ccc(O)cc1)NCC2.-.O=O>>-.O,
ESI_9938,20,41,COc1ccc(CN(C)CCc2ccc(O)cc2)cc1O,-.O,COc1ccc(CN(C)CCc2ccc(O)cc2)cc1O.-.O=O>>-.O,
ESI_9937,20,42,COc1ccc(CNCCc2ccc(O)cc2)cc1O,COc1cc2c(cc1O)CN1CC[C@@]23C=CC(=O)C[C@H]13.-.O,COc1ccc(CNCCc2ccc(O)cc2)cc1O.-.O=O>>COc1cc2c(cc1O)CN1CC[C@@]23C=CC(=O)C[C@H]13.-.O,
ESI_9369,21,16,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1.-.O,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O=O>>CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1.-.O,
ESI_9375,21,43,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1,CC1(C)CC[C@]2(C=O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1.-.O=O>>CC1(C)CC[C@]2(C=O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,
ESI_10114,22,44,CC(=O)[C@@]12OC1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]12C.-.O,CC(=O)[C@@]12OC1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C.-.O=O>>CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]12C.-.O,
ESI_9174,23,45,C=C[C@@](C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C.C=CC(C)=O.-.O,C=C[C@@](C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C.-.O=O>>C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C.C=CC(C)=O.-.O,
ESI_9175,23,46,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C/C=C(\C)CCC=C(C)C.C=CC(C)=O.-.O,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C.-.O=O>>C=C/C=C(\C)CCC=C(C)C.C=CC(C)=O.-.O,
ESI_9176,23,47,C=CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C.-.C=CC(C)=O.O,C=CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C.-.O=O>>C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C.-.C=CC(C)=O.O,
ESI_9471,24,48,C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C,C=C1[C@@H](O)CC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C.O.-,C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C.O=O.->>C=C1[C@@H](O)CC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C.O.-,
ESI_9472,24,49,C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1,C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C.O.-,C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1.O=O.->>C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C.O.-,
ESI_9179,25,46,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C/C=C(\C)CCC=C(C)C.-.C=CC(C)=O.O,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C.-.O=O>>C=C/C=C(\C)CCC=C(C)C.-.C=CC(C)=O.O,
ESI_9359,26,50,CC1(C)CC[C@]2(C)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CC1(C)CC[C@]2(C(=O)O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,CC1(C)CC[C@]2(C)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O=O>>CC1(C)CC[C@]2(C(=O)O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,
ESI_9358,26,16,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O=O>>CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.-.O,
ESI_9204,27,51,Cc1cccc(CC#N)c1,Cc1cccc([C@@H](O)C#N)c1.-.O,Cc1cccc(CC#N)c1.-.O=O>>Cc1cccc([C@@H](O)C#N)c1.-.O,
