id,name,our_labels,verdict,correct_labels,source,notes
CMP_G001476,pladienolide B,"Terpenoid,Polyketide",WRONG,Polyketide,"Wikipedia; PubMed biosynthesis; Oxford Academic","Pladienolide B is a 12-membered MACROLIDE POLYKETIDE from Streptomyces (type I PKS, 11 modules). NOT a terpenoid"
CMP_G001556,alpha-cyclopiazonate,"Alkaloid,Amino_acid",WRONG,Alkaloid,"Wikipedia CPA; ACS Biochemistry; PMC biosynthesis","alpha-Cyclopiazonic acid is a prenylated INDOLE ALKALOID (pentacyclic tetramic acid). Biosynthesized from tryptophan+acetyl-CoA+DMAPP via PKS-NRPS. While derived from tryptophan, it is a fully cyclized alkaloid, not an amino acid derivative"
CMP_G001613,primary fluorescent chlorophyll catabolite,"Alkaloid,Amino_acid",WRONG,Other,"PubChem CID 23657843; ChEBI:47951; PMC tetrapyrrole","pFCC is a LINEAR TETRAPYRROLE from chlorophyll degradation. Not an alkaloid (no basic N in classic sense) and not an amino acid. Should be Other (tetrapyrrole)"
CMP_G001733,2-amino-3-(4-hydroxy-1-methylindol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,Amino_acid,structural analysis,"4-hydroxy-1-methyltryptophan. Intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G001818,Cucurbitadienol,Steroid,WRONG,Terpenoid,"PubChem CID 14543446; ScienceDirect cucurbitane","Cucurbitadienol is a cucurbitane-type TRITERPENOID (C30). Precursor to cucurbitacins. Not a steroid (retains 30 carbons)"
CMP_G001833,,[diketopiperazine bis-tyrosine],"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid","structural analysis; DKP literature","SMILES shows cyclic dipeptide (diketopiperazine) from two tyrosines. DKPs are classified as both alkaloids and amino acid derivatives"
CMP_G001840,7-Chloro-1-methyltryptophan,"Alkaloid,Amino_acid",CORRECT,Amino_acid,structural analysis,"7-chloro-1-methyltryptophan. Intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G001847,2-amino-3-(4-fluoro-1-methylindol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,Amino_acid,structural analysis,"4-fluoro-1-methyltryptophan. Intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G001987,Ibuprofen methyl ester,Terpenoid,WRONG,Other,"PubChem CID 109101; Wikipedia ibuprofen","Ibuprofen methyl ester is a SYNTHETIC DRUG derivative (arylpropionic acid NSAID). NOT a terpenoid or any natural product class. Should be Other"
CMP_G002001,"(3E,5S)-polyketide-tetramic acid hybrid","Terpenoid,Polyketide",WRONG,Polyketide,"structural analysis; tetramic acid literature","SMILES shows 3-acyltetramic acid with polyketide chain (polyene) + tyrosine-derived ring. PKS-NRPS hybrid product. Not a terpenoid (no isoprene units)"
CMP_G000422,,[4-(furan-2-yl)benzoic acid],Other,CORRECT,Other,"PubChem CID 5138791","Simple aromatic carboxylic acid with furan ring. No natural product class fits. Other is correct"
CMP_G000078,Propane,Other,CORRECT,Other,"PubChem CID 6334","Simple C3 alkane. Not a natural product class compound. Other is correct"
CMP_G001010,heptanoic acid,Other,WRONG,Fatty_acid,"PubChem CID 8094; ChEBI:45571; Wikipedia enanthic acid","Heptanoic acid IS a medium-chain fatty acid (C7). Should be Fatty_acid, not Other"
CMP_G000905,,[4-(ethylthio)benzoic acid],Other,CORRECT,Other,"PubChem CID 83231","Simple aromatic carboxylic acid with ethylthio substituent. No natural product class. Other is correct"
