global_compound_id,canonical_name,canonical_smiles,overall_confidence,multilabel_vector,multilabel_reason,evidence_counts,label_confidence,Steroid,Terpenoid,Alkaloid,Amino_acid,Fatty_acid,Phenylpropanoid,Polyketide,Other
CMP_G000389,Betaenone A,CCC(C)C1C2(C)C(=O)/C(=C\O)C(O)(C3CC(C)(O)CC(C)C32)C1(C)O,low,"[0, 1, 0, 0, 0, 0, 1]",Terpenoid=ClassyFire terpenoid; Polyketide=NPC polyketide: cyclic polyketides,"{""Terpenoid"": 1, ""Polyketide"": 1}","{""Terpenoid"": ""low"", ""Polyketide"": ""high""}",0,1,0,0,0,0,1,0
CMP_G000539,,CC[C@@H]1C[C@@H]2C[C@@H]3[C@H]4C/C=C\C(=O)NCC[C@H](O)[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4CC(=O)[C@H]3[C@@H]2[C@H]1C)C5=O,low,"[0, 1, 0, 1, 0, 0, 1]",Terpenoid=ClassyFire terpenoid; Amino_acid=peptide (2 amide bonds) + NPC support; Polyketide=NPC polyketide: macrolides,"{""Terpenoid"": 1, ""Amino_acid"": 1, ""Polyketide"": 1}","{""Terpenoid"": ""low"", ""Amino_acid"": ""high"", ""Polyketide"": ""high""}",0,1,0,1,0,0,1,0
CMP_G000570,geranyl acetate,CC(=O)OC/C=C(\C)CCC=C(C)C,low,"[0, 1, 0, 0, 1, 0, 0]",Terpenoid=NPC terpenoid superclass: monoterpenoids; Fatty_acid=ClassyFire fatty acid (no chain confirmation),"{""Terpenoid"": 1, ""Fatty_acid"": 1}","{""Terpenoid"": ""high"", ""Fatty_acid"": ""low""}",0,1,0,0,1,0,0,0
CMP_G000631,L-Isoleucine-(+)-7-Isojasmonate,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(=O)N[C@H](C(=O)[O-])[C@@H](C)CC,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G000718,L-Tyr-L-Tyr,N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G000763,"3,7-dimethyloct-6-enyl acetate",CC(=O)OCCC(C)CCC=C(C)C,low,"[0, 1, 0, 0, 1, 0, 0]",Terpenoid=NPC terpenoid superclass: monoterpenoids; Fatty_acid=ClassyFire fatty acid (no chain confirmation),"{""Terpenoid"": 1, ""Fatty_acid"": 1}","{""Terpenoid"": ""high"", ""Fatty_acid"": ""low""}",0,1,0,0,1,0,0,0
CMP_G000765,"1H-Indole-3-propanoic acid, alpha-amino-6-hydroxy-1-methyl- (ACI)",Cn1cc(CC(N)C(=O)O)c2ccc(O)cc21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G000782,,CN[C@H](C(=O)N[C@H](CO)Cc1csc2ccccc12)C(C)C,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G000883,,CN[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G001133,,CC(C)=C[C@H](O)C/C(C)=C/CC/C(C)=C/Cc1c(C)[nH]c2ccccc2c1=O,low,"[0, 1, 1, 0, 0, 0, 0]",Terpenoid=ClassyFire terpenoid; Alkaloid=known alkaloid scaffold without AA backbone,"{""Terpenoid"": 1, ""Alkaloid"": 1}","{""Terpenoid"": ""low"", ""Alkaloid"": ""high""}",0,1,1,0,0,0,0,0
CMP_G001163,Cycloartenol,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,low,"[1, 0, 0, 0, 0, 0, 0]",Steroid=ClassyFire steroid,"{""Steroid"": 1}","{""Steroid"": ""low""}",1,0,0,0,0,0,0,0
CMP_G001174,NMVT,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,low,"[0, 0, 0, 1, 0, 0, 0]",Amino_acid=amino-acid derivative + NPC support,"{""Amino_acid"": 1}","{""Amino_acid"": ""low""}",0,0,0,1,0,0,0,0
CMP_G001245,2-amino-3-(5-chloro-1-methylindol-3-yl)propanoic acid,Cn1cc(CC(N)C(=O)O)c2cc(Cl)ccc21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G001341,2-amino-3-(7-fluoro-1-methylindol-3-yl)propanoic acid,Cn1cc(CC(N)C(=O)O)c2cccc(F)c21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G001442,tetramic acid,O=C1C=C(O)CN1,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=NPC alkaloid + ring N (multi-label with AA); Amino_acid=amino-acid derivative + NPC support,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""high"", ""Amino_acid"": ""low""}",0,0,1,1,0,0,0,0
CMP_G001451,p-coumaroyltyramine,O=C(/C=C/c1ccc(O)cc1)NCCc1ccc(O)cc1,low,"[0, 0, 0, 1, 0, 1, 0]",Amino_acid=amino-acid derivative + NPC support; Phenylpropanoid=phenylpropanoid/flavonoid/coumarin scaffold,"{""Amino_acid"": 1, ""Phenylpropanoid"": 1}","{""Amino_acid"": ""low"", ""Phenylpropanoid"": ""high""}",0,0,0,1,0,1,0,0
CMP_G001476,pladienolide B,CCC(O)C(C)C1OC1CC(C)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)C=CC1C,low,"[0, 1, 0, 0, 0, 0, 1]",Terpenoid=ClassyFire terpenoid; Polyketide=macrocyclic lactone (type I PKS indicator),"{""Terpenoid"": 1, ""Polyketide"": 1}","{""Terpenoid"": ""low"", ""Polyketide"": ""high""}",0,1,0,0,0,0,1,0
CMP_G001556,alpha-cyclopiazonate,CC(=O)C1=C([O-])[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=NPC alkaloid + known scaffold (multi-label with AA); Amino_acid=amino-acid derivative + NPC support,"{""Alkaloid"": 2, ""Amino_acid"": 1}","{""Alkaloid"": ""high"", ""Amino_acid"": ""low""}",0,0,1,1,0,0,0,0
CMP_G001613,primary fluorescent chlorophyll catabolite,C=CC1=C(C)C(CC2=N/C(=C3\c4[nH]c(Cc5[nH]c(C=O)c(C)c5CC)c(C)c4C(=O)[C@@H]3C(=O)OC)[C@@H](CCC(=O)[O-])[C@@H]2C)NC1=O,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=NPC alkaloid + ring N (multi-label with AA); Amino_acid=amino-acid derivative + NPC support,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""high"", ""Amino_acid"": ""low""}",0,0,1,1,0,0,0,0
CMP_G001733,2-amino-3-(4-hydroxy-1-methylindol-3-yl)propanoic acid,Cn1cc(CC(N)C(=O)O)c2c(O)cccc21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G001818,Cucurbitadienol,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)CC[C@]12C,low,"[1, 0, 0, 0, 0, 0, 0]",Steroid=ClassyFire steroid,"{""Steroid"": 1}","{""Steroid"": ""low""}",1,0,0,0,0,0,0,0
CMP_G001833,,O=C1N[C@@H](Cc2ccc(O)cc2)CN[C@H]1Cc1ccc(O)cc1,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=NPC alkaloid + ring N (multi-label with AA); Amino_acid=amino-acid derivative + NPC support,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""high"", ""Amino_acid"": ""low""}",0,0,1,1,0,0,0,0
CMP_G001840,7-Chloro-1-methyltryptophan,Cn1cc(CC(N)C(=O)O)c2cccc(Cl)c21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G001847,2-amino-3-(4-fluoro-1-methylindol-3-yl)propanoic acid,Cn1cc(CC(N)C(=O)O)c2c(F)cccc21,low,"[0, 0, 1, 1, 0, 0, 0]",Alkaloid=ClassyFire alkaloid + ring N (multi-label with AA); Amino_acid=intact alpha-amino-acid backbone,"{""Alkaloid"": 1, ""Amino_acid"": 1}","{""Alkaloid"": ""low"", ""Amino_acid"": ""high""}",0,0,1,1,0,0,0,0
CMP_G001987,Ibuprofen methyl ester,COC(=O)C(C)c1ccc(CC(C)C)cc1,low,"[0, 1, 0, 0, 0, 0, 0]",Terpenoid=ClassyFire terpenoid,"{""Terpenoid"": 1}","{""Terpenoid"": ""low""}",0,1,0,0,0,0,0,0
CMP_G002001,"(3E,5S)-3-[(2E,4E,8S,10E,12Z)-1-hydroxy-4,8-dimethyltetradeca-2,4,10,12-tetraen-1-ylidene]-5-[(4-hydroxyphenyl)methyl]pyrrolidine-2,4-dione",C/C=C\C=C\C[C@@H](C)CC/C=C(C)/C=C/C([O-])=C1\C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,low,"[0, 1, 0, 0, 0, 0, 1]",Terpenoid=ClassyFire terpenoid; Polyketide=NPC polyketide: linear polyketides,"{""Terpenoid"": 1, ""Polyketide"": 1}","{""Terpenoid"": ""low"", ""Polyketide"": ""high""}",0,1,0,0,0,0,1,0
CMP_G000422,,O=C(O)c1ccc(-c2ccco2)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000078,"Propane (8CI, 9CI, ACI)",CCC,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001010,heptanoic acid,CCCCCCC(=O)O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000905,,CCSc1ccc(C(=O)O)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000839,,COc1cccc(OC)c1O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000546,AOS,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000397,,O=C(O)c1ccc(-c2ccsc2)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G002116,,Cc1ccccc1C(=O)[O-],other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000300,"3-Amino-2,2-dimethylpropanoic acid",CC(C)(CN)C(=O)O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001661,"2,3-dimethylcyclopent-2-enone",CC1=C(C)C(=O)CC1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000100,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000090,Benzo(Alpha)Pyrene,c1cc2ccc3c4ccc5cc4c(c1)c2c53,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000331,1-Methoxy-4-(methylthio)benzene,COc1ccc(SC)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000825,1-Chloro-4-(methylthio)benzene,CSc1ccc(Cl)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000860,(-)-Norcamphor,O=C1CC2CCC1C2,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001985,Ethyl-1-dbenzene,CCc1ccccc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000079,,CCCc1ccc(C(=O)O)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000746,"1,3,7-trihydroxyxanthone",O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001623,2-Naphthoic acid,O=C(O)c1ccc2ccccc2c1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000828,Methyl 4-(2-fluoro-2-methylpropyl)-alpha-methylbenzeneacetate,COC(=O)C(C)c1ccc(CC(C)(C)F)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001731,,O=[N+]([O-])CCc1ccc(O)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001019,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000013,A 2��-Unsubstituted Isoflavone,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000640,,C/C=C/CCC(C)O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001298,,O=C(O)c1ccc(C2CCCCC2)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000627,,Cc1ccccc1Cl,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000823,clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001286,,CSc1cccc(C(=O)O)c1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001422,4-(Methylthio)benzonitrile,CSc1ccc(C#N)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000341,,CCOc1cccc(C(=O)O)c1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001355,(methylthio)alkanaldoxime,C[S],other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001306,,[NH4+],other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000966,"Cyclotridecyl 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranoside",CC1CC(N(C)C)C(O)C(OC2CCCCCCCCCCCC2)O1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000153,,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001795,2-(1-Methylethyl)benzenesulfonyl azide,CC(C)c1ccccc1S(=O)(=O)N=[N+]=[N-],other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G002096,1-bromo-3-ethylbenzene,CCc1cccc(Br)c1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000482,5-methylorsellinate,Cc1c([O-])cc(O)c(C(=O)O)c1C,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001420,prenylhydroquinone,CC(C)=CCc1cc(O)ccc1O,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G000262,,CCc1ccc(OP(=O)(O)O)cc1,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001097,,O=C([O-])c1ccccc1F,other,"[0, 0, 0, 0, 0, 0, 0]",,{},{},0,0,0,0,0,0,0,1
CMP_G001322,"(1S)-1,23-Dihydroxy-24,25,26,27-Tetranorcalciol",C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G002049,5-Dehydroepisterol,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000676,(24R)-Hydroxycholesterol,CC(C)[C@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000252,"16Alpha,17Alpha-Dihydroxyprogesterone",CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000169,"(1S)-1,25-Dihydroxy-24-Oxocalciol",C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCC(=O)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000779,(25R)-3Beta-Hydroxy-5-Cholesten-26-Al,C[C@H](CCC[C@@H](C)C=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G001025,Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000271,,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000788,Calcidiol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000332,ent-isokaurene,CC1=C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=6-6-6-5 fused ring topology,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G001374,,C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G000985,Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G001618,dihydroniloticin,CC(CC(O)C1OC1(C)C)C1CCC2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3CCC12C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=6-6-6-5 fused ring topology,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
CMP_G001327,strychnine,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,high,"[1, 0, 1, 0, 0, 0, 0]",Steroid=6-6-6-5 fused ring topology; Alkaloid=known alkaloid scaffold without AA backbone,"{""Steroid"": 1, ""Alkaloid"": 1}","{""Steroid"": ""high"", ""Alkaloid"": ""high""}",1,0,1,0,0,0,0,0
CMP_G000516,tetrahydroalstonine,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,high,"[1, 0, 1, 0, 0, 0, 0]",Steroid=6-6-6-5 fused ring topology; Alkaloid=known alkaloid scaffold without AA backbone,"{""Steroid"": 1, ""Alkaloid"": 1}","{""Steroid"": ""high"", ""Alkaloid"": ""high""}",1,0,1,0,0,0,0,0
CMP_G001342,6alpha-hydroxytyphasterol,CC(C)C(C)C(O)C(O)C(C)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,high,"[1, 0, 0, 0, 0, 0, 0]",Steroid=NPClassifier steroid,"{""Steroid"": 1}","{""Steroid"": ""high""}",1,0,0,0,0,0,0,0
