split,sample_id,dock_index,status,entry_id,n_pairs,rmsd,n_heme_atoms,n_fe_atoms,old_n_protein,new_n_protein,error
train,70931,31295,ok,9YK4,466,1.3659,43,1,427,470,
train,71498,518865,ok,6XZ9,472,0.9625,43,1,353,396,
train,71749,252092,ok,3DL9,464,0.3268,86,2,431,517,
train,72053,327557,ok,3LD6,445,0.5553,43,1,303,346,
train,73085,280417,ok,8FDA,467,3.2137,73,1,341,414,
train,73913,219267,ok,8FDA,467,3.2137,73,1,283,356,
train,74138,430706,ok,3K9Y,462,0.7332,43,1,384,427,
train,75442,422185,ok,6XZ9,472,0.9625,43,1,435,478,
train,76254,230478,ok,8X1W,439,0.8490,43,1,192,235,
train,76588,205366,ok,3DL9,464,0.3268,86,2,271,357,
train,77026,104773,ok,3LD6,445,0.5553,43,1,409,452,
train,77541,317049,ok,3LD6,445,0.5553,43,1,178,221,
train,78327,141746,ok,6L8H,466,0.3122,43,1,141,184,
train,78601,283810,ok,3BE0,397,0.4806,43,1,410,453,
train,79073,334362,ok,7CB9,466,1.6071,43,1,356,399,
train,79211,353515,ok,8FDA,467,3.2137,73,1,366,439,
train,79531,269309,ok,3DL9,464,0.3268,86,2,293,379,
train,79641,184268,ok,9NNO,435,0.8306,43,1,348,391,
train,80545,220692,ok,9YK4,466,1.3659,43,1,355,398,
train,81160,210186,ok,8FDA,467,3.2137,73,1,391,464,
train,83753,330982,ok,8FDA,467,3.2137,73,1,295,368,
train,83836,264733,ok,3K9Y,462,0.7332,43,1,389,432,
train,84445,242806,ok,9NNO,435,0.8306,43,1,164,207,
train,85639,363372,ok,3DL9,464,0.3268,86,2,309,395,
train,85911,120006,ok,8X1W,439,0.8490,43,1,302,345,
train,86056,525707,ok,7DVO,399,0.5516,48,2,174,222,
train,86258,173946,ok,3MZS,470,1.0695,43,1,287,330,
train,86503,142854,ok,7DVO,399,0.5516,48,2,502,550,
train,87887,257751,ok,8FDA,467,3.2137,73,1,346,419,
train,88539,346340,ok,3BE0,397,0.4806,43,1,292,335,
train,89667,359870,ok,3DL9,464,0.3268,86,2,322,408,
train,89910,207109,ok,8FDA,467,3.2137,73,1,260,333,
train,90183,150326,ok,9NNO,435,0.8306,43,1,216,259,
train,90187,158847,ok,9YK4,466,1.3659,43,1,277,320,
train,90244,235167,ok,3V8D,476,1.6511,43,1,389,432,
train,90330,352348,ok,7DVO,399,0.5516,48,2,478,526,
train,91625,294794,ok,5IKI,399,1.1922,43,1,289,332,
train,92727,320658,ok,4GQS,461,1.6585,43,1,291,334,
train,95531,164404,ok,3QZ1,445,1.8400,43,1,223,266,
train,95645,299115,ok,3QZ1,445,1.8400,43,1,526,569,
train,95689,201341,ok,8FDA,467,3.2137,73,1,258,331,
train,95710,270993,ok,5IKI,399,1.1922,43,1,294,337,
train,96806,247081,ok,7X2Q,466,0.7024,43,1,311,354,
train,97685,148806,ok,9YK4,466,1.3659,43,1,405,448,
train,97709,188165,ok,8FDA,467,3.2137,73,1,318,391,
train,98888,229956,ok,3QZ1,445,1.8400,43,1,363,406,
train,99525,175019,ok,3LD6,445,0.5553,43,1,358,401,
train,100013,223938,ok,3DL9,464,0.3268,86,2,278,364,
train,101059,355609,ok,3BE0,397,0.4806,43,1,274,317,
train,101840,274072,ok,8X1W,439,0.8490,43,1,527,570,
train,101958,201026,ok,9NNO,435,0.8306,43,1,236,279,
train,101975,169670,ok,9YK4,466,1.3659,43,1,486,529,
train,102274,139152,ok,5IKI,399,1.1922,43,1,278,321,
train,102539,154646,ok,3K9Y,462,0.7332,43,1,236,279,
train,104442,150960,ok,5IKI,399,1.1922,43,1,436,479,
train,104910,190595,ok,7X2Q,466,0.7024,43,1,567,610,
train,105162,428029,ok,8FDA,467,3.2137,73,1,305,378,
train,105803,362712,ok,3BE0,397,0.4806,43,1,387,430,
train,105962,299720,ok,8FDA,467,3.2137,73,1,351,424,
train,106675,291056,ok,3MZS,470,1.0695,43,1,241,284,
train,107778,115339,ok,5IKI,399,1.1922,43,1,237,280,
train,107961,371004,ok,9NNO,435,0.8306,43,1,281,324,
train,108443,322110,ok,3LD6,445,0.5553,43,1,534,577,
train,108661,365624,ok,8FDA,467,3.2137,73,1,387,460,
train,109458,365577,ok,3BE0,397,0.4806,43,1,291,334,
train,109631,419985,ok,8FDA,467,3.2137,73,1,508,581,
train,110535,364428,ok,3QZ1,445,1.8400,43,1,302,345,
train,110858,189197,ok,4GQS,461,1.6585,43,1,513,556,
train,112154,297302,ok,6XZ9,472,0.9625,43,1,312,355,
train,113716,329684,ok,3LD6,445,0.5553,43,1,268,311,
train,113999,246454,ok,3DL9,464,0.3268,86,2,124,210,
train,114553,217223,ok,9NNO,435,0.8306,43,1,422,465,
train,115195,314095,ok,6L8H,466,0.3122,43,1,251,294,
train,115662,356593,ok,3MZS,470,1.0695,43,1,469,512,
train,116337,487264,ok,3DL9,464,0.3268,86,2,411,497,
train,117478,169092,ok,3LD6,445,0.5553,43,1,413,456,
train,117738,387833,ok,3QZ1,445,1.8400,43,1,336,379,
train,118985,434558,ok,3DL9,464,0.3268,86,2,389,475,
train,120537,121239,ok,8FDA,467,3.2137,73,1,339,412,
train,120971,527594,ok,4GQS,461,1.6585,43,1,322,365,
train,123271,409051,ok,3BE0,397,0.4806,43,1,218,261,
train,124827,174848,ok,8EOH,454,1.1831,49,1,240,289,
train,125479,172752,ok,5IKI,399,1.1922,43,1,592,635,
train,125482,232814,ok,3K9Y,462,0.7332,43,1,322,365,
train,125745,403510,ok,8FDA,467,3.2137,73,1,362,435,
train,126137,411571,ok,3DL9,464,0.3268,86,2,693,779,
train,126340,363294,ok,7X2Q,466,0.7024,43,1,317,360,
train,126919,221042,ok,3QZ1,445,1.8400,43,1,272,315,
train,126923,247524,ok,5IKI,399,1.1922,43,1,280,323,
train,126924,368483,ok,8EOH,454,1.1831,49,1,154,203,
train,127705,330374,ok,3K9Y,462,0.7332,43,1,300,343,
train,127917,381599,ok,3LD6,445,0.5553,43,1,337,380,
train,128212,145944,ok,3LD6,445,0.5553,43,1,141,184,
train,128496,404690,ok,3BE0,397,0.4806,43,1,398,441,
train,128628,113411,ok,7CB9,466,1.6071,43,1,386,429,
train,128960,304141,ok,5IKI,399,1.1922,43,1,304,347,
train,130267,293947,ok,9NNO,435,0.8306,43,1,258,301,
train,132501,339589,ok,3DL9,464,0.3268,86,2,294,380,
train,133022,290713,ok,3K9Y,462,0.7332,43,1,262,305,
train,133297,357854,ok,3QZ1,445,1.8400,43,1,380,423,
train,133617,301582,ok,5IKI,399,1.1922,43,1,377,420,
train,133736,366370,ok,3QZ1,445,1.8400,43,1,240,283,
train,133992,336463,ok,8FDA,467,3.2137,73,1,353,426,
train,134045,153508,ok,3QZ1,445,1.8400,43,1,257,300,
train,134955,395540,ok,9YK4,466,1.3659,43,1,381,424,
train,135412,395856,ok,3LD6,445,0.5553,43,1,187,230,
train,135418,429949,ok,3V8D,476,1.6511,43,1,290,333,
train,135508,149629,ok,3K9Y,462,0.7332,43,1,343,386,
train,135651,205313,ok,9O35,397,1.9095,43,1,273,316,
train,135800,331001,ok,5IKI,399,1.1922,43,1,375,418,
train,135841,231769,ok,8FDA,467,3.2137,73,1,336,409,
train,136008,338268,ok,6XZ9,472,0.9625,43,1,316,359,
train,137920,59471,ok,5JL9,452,0.4942,43,1,287,330,
train,138624,535467,ok,3DL9,464,0.3268,86,2,499,585,
train,138663,387618,ok,8FDA,467,3.2137,73,1,505,578,
train,139287,423186,ok,8FDA,467,3.2137,73,1,456,529,
train,139997,173477,ok,7X2Q,466,0.7024,43,1,360,403,
train,140709,422822,ok,3LD6,445,0.5553,43,1,310,353,
train,140820,420131,ok,8FDA,467,3.2137,73,1,595,668,
train,141734,436225,ok,8FDA,467,3.2137,73,1,500,573,
train,142277,195655,ok,3BE0,397,0.4806,43,1,310,353,
train,143790,331585,ok,3LD6,445,0.5553,43,1,346,389,
train,144071,285272,ok,3K9Y,462,0.7332,43,1,387,430,
train,144617,40212,ok,3V8D,476,1.6511,43,1,408,451,
train,144892,356047,ok,3L4D,445,0.9021,43,1,372,415,
train,145132,181264,ok,9YK4,466,1.3659,43,1,379,422,
train,145350,369382,ok,9NNO,435,0.8306,43,1,275,318,
train,145358,220577,ok,9YK4,466,1.3659,43,1,184,227,
train,145685,67590,ok,3QZ1,445,1.8400,43,1,347,390,
train,145822,235839,ok,3BE0,397,0.4806,43,1,296,339,
train,146708,424472,ok,3LD6,445,0.5553,43,1,378,421,
train,146885,144802,ok,6XZ9,472,0.9625,43,1,282,325,
train,147194,106736,ok,3K9Y,462,0.7332,43,1,230,273,
train,148199,265056,ok,5IKI,399,1.1922,43,1,602,645,
train,148962,172082,ok,3K9Y,462,0.7332,43,1,381,424,
train,150980,259039,ok,8FDA,467,3.2137,73,1,266,339,
train,151956,181360,ok,8FDA,467,3.2137,73,1,336,409,
train,152381,234448,ok,8FDA,467,3.2137,73,1,207,280,
train,152578,100135,ok,6XZ9,472,0.9625,43,1,310,353,
train,152710,194506,ok,9YK4,466,1.3659,43,1,612,655,
train,152815,289450,ok,3K9Y,462,0.7332,43,1,133,176,
train,153611,328234,ok,9YK4,466,1.3659,43,1,500,543,
train,154037,264360,ok,9YK4,466,1.3659,43,1,292,335,
train,156371,418107,ok,3BE0,397,0.4806,43,1,449,492,
train,158422,425092,ok,3K9Y,462,0.7332,43,1,342,385,
train,158876,184821,ok,8FDA,467,3.2137,73,1,311,384,
train,159099,303151,ok,8FDA,467,3.2137,73,1,326,399,
train,159313,163678,ok,8FDA,467,3.2137,73,1,549,622,
train,159332,219582,ok,3QZ1,445,1.8400,43,1,302,345,
train,159994,166577,ok,9YK4,466,1.3659,43,1,213,256,
train,160167,165400,ok,8FDA,467,3.2137,73,1,543,616,
train,160316,471633,ok,4GQS,461,1.6585,43,1,264,307,
train,160474,321341,ok,8FDA,467,3.2137,73,1,269,342,
train,160863,399755,ok,8FDA,467,3.2137,73,1,386,459,
train,160965,408371,ok,8FDA,467,3.2137,73,1,481,554,
train,161008,432133,ok,3BE0,397,0.4806,43,1,327,370,
train,161242,252043,ok,3L4D,445,0.9021,43,1,171,214,
train,162572,303958,ok,5IKI,399,1.1922,43,1,464,507,
train,163607,292072,ok,9O35,397,1.9095,43,1,396,439,
train,163635,185679,ok,3K9Y,462,0.7332,43,1,324,367,
train,163762,168507,ok,3QZ1,445,1.8400,43,1,480,523,
train,163893,403099,ok,9YK4,466,1.3659,43,1,465,508,
train,163917,175480,ok,3LD6,445,0.5553,43,1,314,357,
train,164677,366019,ok,9YK4,466,1.3659,43,1,288,331,
train,164949,419026,ok,3LD6,445,0.5553,43,1,371,414,
train,165243,373147,ok,8X1W,439,0.8490,43,1,402,445,
train,166795,237183,ok,3LD6,445,0.5553,43,1,266,309,
train,167261,388430,ok,8X1W,439,0.8490,43,1,196,239,
train,167534,258315,ok,3K9Y,462,0.7332,43,1,282,325,
train,168691,105388,ok,9YK4,466,1.3659,43,1,417,460,
train,169146,337236,ok,8FDA,467,3.2137,73,1,207,280,
train,169275,190635,ok,8FDA,467,3.2137,73,1,286,359,
train,169520,533632,ok,7DVO,399,0.5516,48,2,159,207,
train,170453,248570,ok,3V8D,476,1.6511,43,1,219,262,
train,170534,181571,ok,8FDA,467,3.2137,73,1,287,360,
train,170702,342485,ok,7CB9,466,1.6071,43,1,260,303,
train,170932,382676,ok,9O35,397,1.9095,43,1,594,637,
train,171177,310672,ok,3DL9,464,0.3268,86,2,336,422,
train,171372,280103,ok,5JL9,452,0.4942,43,1,191,234,
train,171535,324340,ok,9O35,397,1.9095,43,1,429,472,
train,172051,126058,ok,7X2Q,466,0.7024,43,1,193,236,
train,173513,200688,ok,3QZ1,445,1.8400,43,1,401,444,
train,174287,271785,ok,3QZ1,445,1.8400,43,1,435,478,
train,174942,242957,ok,3QZ1,445,1.8400,43,1,283,326,
train,175466,414313,ok,8FDA,467,3.2137,73,1,403,476,
train,176107,401949,ok,9YK4,466,1.3659,43,1,274,317,
train,176127,419133,ok,3MZS,470,1.0695,43,1,297,340,
train,176166,247214,ok,7CB9,466,1.6071,43,1,301,344,
train,176616,256576,ok,3K9Y,462,0.7332,43,1,250,293,
train,176627,115587,ok,3V8D,476,1.6511,43,1,188,231,
train,177414,526448,ok,3K9Y,462,0.7332,43,1,466,509,
train,177550,62382,ok,8FDA,467,3.2137,73,1,404,477,
train,177733,252973,ok,6L8H,466,0.3122,43,1,178,221,
train,178170,522854,ok,6XZ9,472,0.9625,43,1,368,411,
train,178788,247401,ok,3DL9,464,0.3268,86,2,268,354,
train,179308,263621,ok,8FDA,467,3.2137,73,1,244,317,
train,179909,156584,ok,7X2Q,466,0.7024,43,1,495,538,
train,180935,130180,ok,6L8H,466,0.3122,43,1,79,122,
train,181086,127256,ok,7X2Q,466,0.7024,43,1,389,432,
train,181618,314007,ok,3LD6,445,0.5553,43,1,440,483,
train,181643,202863,ok,7CB9,466,1.6071,43,1,616,659,
train,182411,306028,ok,3DL9,464,0.3268,86,2,354,440,
train,183782,150496,ok,9NNO,435,0.8306,43,1,394,437,
train,184683,412745,ok,3DL9,464,0.3268,86,2,367,453,
train,184819,378645,ok,3LD6,445,0.5553,43,1,343,386,
train,185788,413221,ok,3V8D,476,1.6511,43,1,416,459,
train,186402,357694,ok,6L8H,466,0.3122,43,1,186,229,
train,187073,302970,ok,7CB9,466,1.6071,43,1,450,493,
train,187687,206622,ok,3QZ1,445,1.8400,43,1,297,340,
train,188313,317789,ok,3K9Y,462,0.7332,43,1,282,325,
train,188669,150031,ok,9YK4,466,1.3659,43,1,264,307,
train,189091,198593,ok,6XZ9,472,0.9625,43,1,400,443,
train,189482,251051,ok,9YK4,466,1.3659,43,1,241,284,
train,189885,333722,ok,9NNO,435,0.8306,43,1,406,449,
train,190044,283572,ok,8FDA,467,3.2137,73,1,255,328,
train,190332,251065,ok,3QZ1,445,1.8400,43,1,296,339,
train,190709,341995,ok,8EOH,454,1.1831,49,1,328,377,
train,191263,414222,ok,8FDA,467,3.2137,73,1,376,449,
train,191540,220568,ok,8FDA,467,3.2137,73,1,312,385,
train,191563,130245,ok,8FDA,467,3.2137,73,1,353,426,
train,191805,221311,ok,9NNO,435,0.8306,43,1,507,550,
train,194508,185925,ok,6XZ9,472,0.9625,43,1,292,335,
train,195818,246377,ok,9YK4,466,1.3659,43,1,229,272,
train,195938,379227,ok,9YK4,466,1.3659,43,1,277,320,
train,196197,538888,ok,3DL9,464,0.3268,86,2,484,570,
train,196479,188071,ok,9YK4,466,1.3659,43,1,242,285,
train,197929,147616,ok,8FDA,467,3.2137,73,1,438,511,
train,198440,153475,ok,8FDA,467,3.2137,73,1,687,760,
train,198570,234092,ok,6L8H,466,0.3122,43,1,150,193,
train,198956,123833,ok,8FDA,467,3.2137,73,1,281,354,
train,199106,286666,ok,5IKI,399,1.1922,43,1,239,282,
train,199464,359699,ok,5IKI,399,1.1922,43,1,319,362,
train,200281,520089,ok,8EOH,454,1.1831,49,1,412,461,
train,201199,391126,ok,8FDA,467,3.2137,73,1,376,449,
train,202435,256601,ok,9YK4,466,1.3659,43,1,172,215,
train,202625,31328,ok,9O35,397,1.9095,43,1,545,588,
train,202962,184237,ok,3K9Y,462,0.7332,43,1,407,450,
train,203753,146739,ok,3QZ1,445,1.8400,43,1,532,575,
train,204332,396793,ok,3DL9,464,0.3268,86,2,463,549,
train,204498,175946,ok,5IKI,399,1.1922,43,1,365,408,
train,204910,401852,ok,8FDA,467,3.2137,73,1,263,336,
train,205061,187823,ok,7X2Q,466,0.7024,43,1,570,613,
train,205077,422991,ok,3LD6,445,0.5553,43,1,397,440,
train,206685,326097,ok,8X1W,439,0.8490,43,1,190,233,
train,206727,152731,ok,8FDA,467,3.2137,73,1,428,501,
train,209096,127737,ok,7DVO,399,0.5516,48,2,405,453,
train,209124,319923,ok,9O35,397,1.9095,43,1,475,518,
train,209700,175322,ok,3LD6,445,0.5553,43,1,693,736,
train,210510,203317,ok,7X2Q,466,0.7024,43,1,271,314,
train,210964,322692,ok,8FDA,467,3.2137,73,1,319,392,
train,212308,296229,ok,8FDA,467,3.2137,73,1,481,554,
train,212380,135000,ok,3LD6,445,0.5553,43,1,199,242,
train,212599,143836,ok,3QZ1,445,1.8400,43,1,432,475,
train,212747,263225,ok,3MZS,470,1.0695,43,1,180,223,
train,212842,121923,ok,8FDA,467,3.2137,73,1,351,424,
train,214212,372323,ok,8FDA,467,3.2137,73,1,245,318,
train,214405,202493,ok,8FDA,467,3.2137,73,1,277,350,
train,214533,427143,ok,3V8D,476,1.6511,43,1,409,452,
train,214717,206843,ok,9YK4,466,1.3659,43,1,278,321,
train,214885,339569,ok,8FDA,467,3.2137,73,1,285,358,
train,215197,308993,ok,7X2Q,466,0.7024,43,1,276,319,
train,215250,293521,ok,8FDA,467,3.2137,73,1,303,376,
train,215387,181530,ok,8FDA,467,3.2137,73,1,286,359,
train,217429,153517,ok,6XZ9,472,0.9625,43,1,163,206,
train,217909,371713,ok,6L8H,466,0.3122,43,1,247,290,
train,218069,157281,ok,8FDA,467,3.2137,73,1,226,299,
train,218587,377746,ok,3DL9,464,0.3268,86,2,344,430,
train,218846,539287,ok,3K9Y,462,0.7332,43,1,259,302,
train,219944,257385,ok,3BE0,397,0.4806,43,1,418,461,
train,220769,240340,ok,8FDA,467,3.2137,73,1,407,480,
train,221213,380832,ok,8X1W,439,0.8490,43,1,356,399,
train,221492,127564,ok,3MZS,470,1.0695,43,1,256,299,
train,221924,250518,ok,3BE0,397,0.4806,43,1,226,269,
train,222029,132832,ok,3K9Y,462,0.7332,43,1,366,409,
train,223380,344576,ok,9NNO,435,0.8306,43,1,367,410,
train,223710,170306,ok,6L8H,466,0.3122,43,1,245,288,
train,224032,309493,ok,9NNO,435,0.8306,43,1,521,564,
train,224301,423447,ok,7X2Q,466,0.7024,43,1,459,502,
train,225377,306527,ok,5IKI,399,1.1922,43,1,420,463,
