uniprot_id,protein_families,cc_cofactor,xref_interpro,is_p450_by_family,is_p450_by_interpro,has_heme
A0A024TME0,"Iron-containing alcohol dehydrogenase family, Hydroxyacid-oxoacid transhydrogenase subfamily",,IPR001670;IPR056798;IPR039697;IPR042157;,False,False,False
A0A031GAH7,Glycosyltransferase 2 family,,IPR039528;IPR001173;IPR029044;,False,False,False
A0A031GQ41,,,,False,False,False
A0A031H5N9,,,,False,False,False
A0A031HCH9,,,,False,False,False
A0A031IBX9,,,,False,False,False
A0A031IFV4,,,,False,False,False
A0A031ISU3,,,,False,False,False
A0A031WG21,Trans-sulfuration enzymes family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|RuleBase:RU362118};",IPR000277;IPR006235;IPR015424;IPR015421;IPR015422;,False,False,False
A0A031WI18,Peptidase C15 family,,IPR000816;IPR016125;IPR036440;IPR029762;IPR033694;IPR033693;,False,False,False
A0A031WIJ4,,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|PIRSR:PIRSR603739-50};",IPR013785;IPR030801;IPR025895;IPR003739;IPR007197;,False,False,False
A0A037Y4P7,"IUNH family, RihB subfamily",COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000256|HAMAP-Rule:MF_01433}; Note=Binds 1 Ca(2+) ion per monomer. {ECO:0000256|HAMAP-Rule:MF_01433};,IPR015910;IPR001910;IPR023186;IPR022977;IPR036452;,False,False,False
A0A037YC44,,,IPR012736;IPR004006;IPR050861;,False,False,False
A0A037YIF5,,,IPR050417;IPR036237;IPR013022;,False,False,False
A0A037YQ92,MurCDEF family,,IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;,False,False,False
A0A044QR48,,,,False,False,False
A0A044RAH9,,,,False,False,False
A0A044UVS7,,,,False,False,False
A0A045GS52,CofE family,COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000256|HAMAP-Rule:MF_01259}; Note=Monovalent cation. The ion could be potassium. {ECO:0000256|HAMAP-Rule:MF_01259}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_01259}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|HAMAP-Rule:MF_01259}; Note=Binds 2 divalent metal cations per subunit. The ions could be magnesium and/or manganese. {ECO:0000256|HAMAP-Rule:MF_01259};,IPR008225;IPR002847;IPR019943;IPR023661;IPR029479;IPR000415;,False,False,False
A0A045GU47,,,IPR046346;IPR036291;IPR041121;IPR013708;IPR010110;IPR022893;,False,False,False
A0A045H426,"Mandelate racemase/muconate lactonizing enzyme family, MenC type 1 subfamily",COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000256|HAMAP-Rule:MF_00470};,IPR036849;IPR029065;IPR013342;IPR010196;,False,False,False
A0A045H823,PTH family,,IPR001328;IPR018171;IPR036416;,False,False,False
A0A045H9F7,"DTDP-4-dehydrorhamnose 3,5-epimerase family",,IPR000888;IPR014710;IPR011051;,False,False,False
A0A045H9Y7,Cytidine and deoxycytidylate deaminase family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947};,IPR002125;IPR050202;IPR016193;,False,False,False
A0A045HH81,Peptidase M20A family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947};,IPR001261;IPR036264;IPR002933;IPR011650;IPR050072;,False,False,False
A0A045HJ91,Guanylate kinase family,,IPR008145;IPR008144;IPR017665;IPR020590;IPR027417;,False,False,False
A0A045HUW8,,,IPR036563;IPR003448;,False,False,False
A0A045I208,MshB deacetylase family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|HAMAP-Rule:MF_01696}; Note=Binds 1 zinc ion per subunit. {ECO:0000256|HAMAP-Rule:MF_01696};,IPR003737;IPR024078;IPR017810;,False,False,False
A0A045I686,"IspD/TarI cytidylyltransferase family, IspD subfamily",,IPR001228;IPR034683;IPR050088;IPR018294;IPR029044;,False,False,False
A0A045I794,"Carbohydrate kinase PfkB family, Ribokinase subfamily","COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_01987}; Note=Requires a divalent cation, most likely magnesium in vivo, as an electrophilic catalyst to aid phosphoryl group transfer. It is the chelate of the metal and the nucleotide that is the actual substrate. {ECO:0000256|HAMAP-Rule:MF_01987};",IPR011611;IPR002139;IPR011877;IPR029056;,False,False,False
A0A045I7Z3,Glycosyltransferase 20 family,,IPR001830;,False,False,False
A0A045I818,Alanine racemase family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|HAMAP-Rule:MF_01201, ECO:0000256|PIRSR:PIRSR600821-50};",IPR000821;IPR009006;IPR011079;IPR001608;IPR020622;IPR029066;,False,False,False
A0A045I9H4,CofC family,,IPR002835;IPR029044;,False,False,False
A0A045IB42,,,IPR023631;IPR036928;IPR052739;,False,False,False
A0A045IFZ9,"Peptidase M24A family, Methionine aminopeptidase type 1 subfamily","COFACTOR: Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000256|HAMAP-Rule:MF_01974}; Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|HAMAP-Rule:MF_01974}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|HAMAP-Rule:MF_01974}; Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000256|HAMAP-Rule:MF_01974}; Note=Binds 2 divalent metal cations per subunit. Has a high-affinity and a low affinity metal-binding site. The true nature of the physiological cofactor is under debate. The enzyme is active with cobalt, zinc, manganese or divalent iron ions. Most likely, methionine aminopeptidases function as mononuclear Fe(2+)-metalloproteases under physiological conditions, and the catalytically relevant metal-binding site has been assigned to the histidine-containing high-affinity site. {ECO:0000256|HAMAP-Rule:MF_01974}; COFACTOR: Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000256|ARBA:ARBA00001954}; COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|ARBA:ARBA00001936};",IPR036005;IPR000994;IPR001714;IPR002467;,False,False,False
A0A045IHC6,,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947};,IPR028427;IPR002579;IPR011057;,False,False,False
A0A045IIB8,,,IPR052908;IPR039383;IPR011146;IPR036265;,False,False,False
A0A045ILA8,IspF family,COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000256|HAMAP-Rule:MF_00107}; Note=Binds 1 divalent metal cation per subunit. {ECO:0000256|HAMAP-Rule:MF_00107};,IPR003526;IPR020555;IPR036571;,False,False,False
A0A045IRD6,,,IPR003593;IPR003439;IPR017871;IPR027417;IPR005670;,False,False,False
A0A045ITM4,"Malate synthase family, GlcB subfamily","COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|ARBA:ARBA00001946, ECO:0000256|HAMAP-Rule:MF_00641};",IPR044856;IPR011076;IPR001465;IPR006253;IPR048355;IPR048356;IPR046363;IPR048357;,False,False,False
A0A045IV95,,,IPR050073;IPR013785;IPR000891;,False,False,False
A0A045IZ15,CoA-transferase III family,,IPR050509;IPR003673;IPR044855;IPR023606;,False,False,False
A0A045J0M8,Ferrochelatase family,,IPR001015;IPR019772;IPR033644;IPR033659;,False,False,False
A0A045J163,TrpC family,,IPR013785;IPR045186;IPR013798;IPR001468;IPR011060;,False,False,False
A0A045J1F8,DMRL synthase family,,IPR034964;IPR002180;IPR036467;,False,False,False
A0A045J221,Glycosyltransferase 2 family,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|ARBA:ARBA00001946}; COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|ARBA:ARBA00001936};,IPR001173;IPR050256;IPR029044;,False,False,False
A0A045J322,Glucose-1-phosphate thymidylyltransferase family,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|ARBA:ARBA00001946};,IPR005907;IPR005835;IPR029044;,False,False,False
A0A045J3V5,Aspartate/glutamate racemases family,,IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;,False,False,False
A0A045J507,PPC synthetase family; HFCD (homo-oligomeric flavin containing Cys decarboxylase) superfamily,COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000256|HAMAP-Rule:MF_02225}; Note=Binds 1 FMN per subunit. {ECO:0000256|HAMAP-Rule:MF_02225}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_02225};,IPR035929;IPR005252;IPR007085;IPR036551;IPR003382;,False,False,False
A0A045J6N7,SHMT family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|HAMAP-Rule:MF_00051, ECO:0000256|PIRSR:PIRSR000412-50};",IPR015424;IPR015421;IPR015422;IPR001085;IPR049943;IPR019798;IPR039429;,False,False,False
A0A045J7U7,"NAD(P)-dependent epimerase/dehydratase family, dTDP-glucose dehydratase subfamily","COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU004473};",IPR005888;IPR016040;IPR036291;,False,False,False
A0A045J8S1,UDP-galactopyranose/dTDP-fucopyranose mutase family,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|ARBA:ARBA00001974};,IPR004379;IPR015899;,False,False,False
A0A045J8T7,Beta-class carbonic anhydrase family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|PIRSR:PIRSR601765-1}; Note=Binds 1 zinc ion per subunit. {ECO:0000256|PIRSR:PIRSR601765-1};,IPR001765;IPR015892;IPR036874;,False,False,False
A0A045J912,,,IPR051922;IPR002508;IPR002477;IPR036365;IPR036366;,False,False,False
A0A045JBH3,UDPGP type 2 family,,IPR005771;IPR005835;IPR029044;,False,False,False
A0A045JEL1,Bacterial CoaD family,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_00151};,IPR004821;IPR001980;IPR014729;,False,False,False
A0A045JKA8,Short-chain dehydrogenases/reductases (SDR) family,,IPR036291;IPR020904;IPR002347;,False,False,False
A0A045JNE2,AP endonuclease 2 family,COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|HAMAP-Rule:MF_00152}; Note=Binds 3 Zn(2+) ions. {ECO:0000256|HAMAP-Rule:MF_00152};,IPR001719;IPR018246;IPR036237;IPR013022;,False,False,False
A0A045JP72,Ribonucleoside diphosphate reductase small chain family,"COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000256|PIRNR:PIRNR000355, ECO:0000256|PIRSR:PIRSR000355-2}; Note=Binds 2 iron ions per subunit. {ECO:0000256|PIRNR:PIRNR000355, ECO:0000256|PIRSR:PIRSR000355-2};",IPR009078;IPR012348;IPR026494;IPR033909;IPR030475;IPR000358;,False,False,False
A0A045JPY0,Class-IV pyridoxal-phosphate-dependent aminotransferase family,"COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|RuleBase:RU004516};",IPR001544;IPR018300;IPR036038;IPR005786;IPR043132;IPR043131;IPR033939;,False,False,False
A0A045JQ71,Carbohydrate kinase PfkB family,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|ARBA:ARBA00001946};,IPR002173;IPR050306;IPR011611;IPR029056;,False,False,False
A0A045JQL6,PRA-PH family,,IPR008179;IPR021130;,False,False,False
A0A045JSI2,"Cytidylate kinase family, Type 1 subfamily",,IPR003136;IPR011994;IPR027417;,False,False,False
A0A045JSW1,Polypeptide deformylase family,COFACTOR: Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000256|HAMAP-Rule:MF_00163}; Note=Binds 1 Fe(2+) ion. {ECO:0000256|HAMAP-Rule:MF_00163};,IPR023635;IPR036821;,False,False,False
A0A045JU73,,,,False,False,False
A0A045K0H7,"P-Pant transferase superfamily, AcpS family",COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_00101};,IPR008278;IPR037143;IPR002582;IPR004568;,False,False,False
A0A045K0M4,Chorismate synthase family,"COFACTOR: Name=FMNH2; Xref=ChEBI:CHEBI:57618; Evidence={ECO:0000256|HAMAP-Rule:MF_00300, ECO:0000256|RuleBase:RU000605}; Note=Reduced FMN (FMNH(2)). {ECO:0000256|HAMAP-Rule:MF_00300, ECO:0000256|RuleBase:RU000605};",IPR000453;IPR035904;IPR020541;,False,False,False
A0A045K7K8,"MshB deacetylase family, Mca subfamily",COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|HAMAP-Rule:MF_01482}; Note=Binds 1 zinc ion per subunit. {ECO:0000256|HAMAP-Rule:MF_01482};,IPR003737;IPR024078;IPR017811;,False,False,False
A0A045KCM8,"Cysteine synthase/cystathionine beta-synthase family, Cds1 subfamily","COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933, ECO:0000256|HAMAP-Rule:MF_00868};",IPR047586;IPR050214;IPR001926;IPR036052;,False,False,False
A0A045KD73,Aspartate-semialdehyde dehydrogenase family,,IPR000319;IPR012080;IPR005986;IPR036291;IPR000534;IPR012280;,False,False,False
A0A045KE62,Pantothenate synthetase family,,IPR003721;IPR042176;IPR014729;,False,False,False
A0A045KJ92,ArgJ family,,IPR002813;IPR016117;IPR042195;,False,False,False
A0A059AFP1,"Glycosyltransferase 1 family, Plant sucrose synthase subfamily",,IPR001296;IPR000368;IPR012820;IPR056736;IPR056735;,False,False,False
A0A059U6L3,"RuBisCO large chain family, Type I subfamily","COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_01338, ECO:0000256|RuleBase:RU000302}; Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000256|HAMAP-Rule:MF_01338, ECO:0000256|RuleBase:RU000302};",IPR033966;IPR020878;IPR000685;IPR036376;IPR017443;IPR036422;IPR020888;,False,False,False
A0A059UAD7,Glycosyl hydrolase 1 family,,IPR001360;IPR033132;IPR017853;,False,False,False
A0A059UAM0,Tyrosinase family,COFACTOR: Name=Cu(2+); Xref=ChEBI:CHEBI:29036; Evidence={ECO:0000256|PIRSR:PIRSR000290-1}; Note=Binds 2 copper ions per subunit. {ECO:0000256|PIRSR:PIRSR000290-1};,IPR008922;IPR016213;IPR022740;IPR022739;IPR050316;IPR002227;,False,False,False
A0A059UEY0,NADH:flavin oxidoreductase/NADH oxidase family,,IPR013785;IPR051799;IPR001155;,False,False,False
A0A059UUQ5,Class-I pyridoxal-phosphate-dependent aminotransferase family,COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933};,IPR051926;IPR004839;IPR015424;IPR015421;IPR015422;,False,False,False
A0A059UXH5,Ferredoxin--NADP reductase type 1 family,,IPR008333;IPR017927;IPR001709;IPR033892;IPR039261;IPR051930;IPR001433;IPR017938;,False,False,False
A0A059UXS1,,,,False,False,False
A0A059UYT8,,,,False,False,False
A0A059V2M0,,,,False,False,False
A0A059VAZ3,Peptidase S16 family,,IPR003593;IPR003959;IPR027543;IPR004815;IPR054594;IPR008269;IPR027065;IPR003111;IPR046336;IPR027417;IPR008268;IPR015947;IPR020568;IPR014721;,False,False,False
A0A059VNZ5,,COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000256|ARBA:ARBA00001966};,IPR016101;IPR010047;IPR004137;IPR016099;IPR011254;,False,False,False
A0A059WCN6,Peptidase S1 family,,IPR050430;IPR009003;IPR043504;IPR001314;IPR001254;,False,False,False
A0A059WV44,,,,False,False,False
A0A059XAL9,,,,False,False,False
A0A060A0F7,"Prokaryotic AdoMetDC family, Type 1 subfamily",COFACTOR: Name=pyruvate; Xref=ChEBI:CHEBI:15361; Evidence={ECO:0000256|HAMAP-Rule:MF_00464}; Note=Binds 1 pyruvoyl group covalently per subunit. {ECO:0000256|HAMAP-Rule:MF_00464};,IPR042286;IPR003826;IPR042284;IPR016067;IPR017716;,False,False,False
A0A060A630,Peptidase M17 family,,IPR011356;IPR043472;IPR000819;IPR023042;IPR008283;,False,False,False
A0A060BHT5,,,,False,False,False
A0A060D5W7,Thymidylate synthase family; Dihydrofolate reductase family,,IPR024072;IPR012262;IPR017925;IPR001796;IPR045097;IPR023451;IPR036926;IPR000398;IPR020940;,False,False,False
A0A060DAC6,Glycosyl hydrolase 13 family,COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000256|ARBA:ARBA00001913};,IPR013776;IPR015237;IPR006047;IPR013780;IPR017853;,False,False,False
A0A060GZD2,Trehalose phosphatase family; Glycosyltransferase 20 family,,IPR001830;IPR036412;IPR006379;IPR023214;IPR003337;,False,False,False
A0A060INS8,Peptidase C1 family,,IPR038765;IPR025661;IPR000169;IPR025660;IPR013128;IPR000668;IPR039417;IPR013201;,False,False,False
A0A060KZ16,NAD-dependent glycerol-3-phosphate dehydrogenase family,,IPR008927;IPR013328;IPR006168;IPR006109;IPR017751;IPR011128;IPR036291;,False,False,False
A0A060L990,,COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000256|ARBA:ARBA00001962};,IPR000907;IPR013819;IPR036226;IPR020834;IPR020833;,False,False,False
A0A060N1W6,Class-II pyridine nucleotide-disulfide oxidoreductase family,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|RuleBase:RU003881}; Note=Binds 1 FAD per subunit. {ECO:0000256|RuleBase:RU003881};,IPR036188;IPR023753;IPR050097;IPR008255;IPR005982;,False,False,False
A0A060P1M7,Glycosyl hydrolase 1 family,,IPR001360;IPR018120;IPR017853;,False,False,False
A0A060PFW1,Allene oxide cyclase family,,IPR009410;IPR044859;IPR034871;,False,False,False
A0A060PLD2,Glycosyltransferase 23 family,,IPR045573;IPR035653;IPR027350;IPR036028;,False,False,False
A0A060PLD9,Glycosyl hydrolase 1 family,,IPR001360;IPR033132;IPR017853;,False,False,False
A0A060PQX5,Class-I pyridoxal-phosphate-dependent aminotransferase family,COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933};,IPR004839;IPR050859;IPR015424;IPR015421;IPR015422;,False,False,False
A0A060S684,Type-B carboxylesterase/lipase family,,IPR029058;IPR002018;IPR019826;IPR050309;,False,False,False
A0A060T3S6,"AB hydrolase superfamily, Lipase family",,IPR029058;IPR050805;IPR002921;,False,False,False
A0A060T9W1,Activator 1 small subunits family,,IPR003593;IPR003959;IPR008921;IPR050238;IPR027417;IPR013748;IPR047854;,False,False,False
A0A060TAG5,,,IPR032710;IPR037401;,False,False,False
A0A060TCI3,Zinc-containing alcohol dehydrogenase family,"COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947, ECO:0000256|RuleBase:RU361277};",IPR013149;IPR013154;IPR002328;IPR020843;IPR011032;IPR036291;IPR045306;,False,False,False
A0A060TEA0,Glycosyl hydrolase 3 family,,IPR044993;IPR026891;IPR002772;IPR036881;IPR001764;IPR036962;IPR017853;IPR013783;,False,False,False
A0A060VIX9,,,IPR043129;IPR000600;IPR053583;,False,False,False
