enzyme,ecnumber,uniprot_id
304,1.14.14.B9,A0A8F9X168
305,1.14.14.11,Q8BVP2
306,1.14.14.82,Q9BYZ2
313,1.14.14.108,A0A3S3PCK8
314,1.14.14.83,Q7M1E1
319,1.14.14.1,A0A0A6UWX7
321,1.14.15.18,O32765
324,1.14.14.73,Q9GT92
325,1.14.14.98,A0A1V2UHD9
331,1.14.14.25,P13743
332,1.14.14.154,Q4PRK9
333,1.14.15.4,A0A4Y1ZCV8
363,1.14.14.86,P14295
378,1.14.14.86,Q27797
385,1.14.14.33,K9KDJ1
388,1.14.14.92,A0A165RGQ2
390,1.14.14.11,A0A8F9B8I3
395,1.14.14.20,C5MRP3
399,1.14.14.20,Q59642
407,1.14.14.95,A0A6N3AMH8
408,1.14.14.65,A0A3S7GW34
410,1.14.15.16,A0A0G2K1W9
413,1.14.14.145,A0A4Y1ZC01
415,1.14.14.139,P26298
417,1.14.14.17,A0A485HEN2
426,1.14.14.114,Q02338
427,1.14.14.137,P29147
428,1.14.14.80,Q02337
430,1.14.14.36,A0A2C2UU13
433,1.14.14.145,A0A4P8JP47
440,1.14.14.55,A0A655J7B2
441,1.14.14.20,A0A068N7H9
445,1.14.14.80,A0A8G2VA65
447,1.14.14.133,Q2HJD7
451,1.14.14.95,A0A558GDV5
453,1.14.14.87,A0A0K9QJ83
454,1.14.14.107,Q8W2E3
455,1.14.14.87,O24594
460,1.14.14.45,P14891
463,1.14.14.84,P48022
464,1.14.14.150,A0A6J0LZK2
466,1.14.14.51,A0A0E3MHL5
471,1.14.14.5,A0A0A6ZA41
474,1.14.14.155,E5RPJ5
476,1.14.14.114,P04035
478,1.14.14.154,W6APW1
482,1.14.14.86,A0A0M3NVD2
484,1.14.14.158,F6I0P8
491,1.14.14.45,P51639
503,1.14.14.21,Q99714
504,1.14.14.9,O70351
506,1.14.14.18,A0A088E8B9
508,1.14.14.12,P00348
509,1.14.14.151,O02691
510,1.14.14.87,A0A653FDN7
512,1.14.14.21,A0A367PNT5
516,1.14.14.24,Q9API9
522,1.14.15.5,A0A096F047
523,1.14.15.4,A0A8F8F7X3
524,1.14.14.11,V7CM34
529,1.14.14.32,P14152
530,1.14.14.80,P10584
531,1.14.15.16,D5A741
533,1.14.15.16,O88989
534,1.14.14.11,P11708
536,1.14.14.80,Q32LG3
537,1.14.14.12,A0A3B6UBB9
538,1.14.15.16,A0A150MGC6
541,1.14.14.45,A0A124BXI0
545,1.14.14.164,Q08062
548,1.14.14.32,O82399
550,1.14.14.21,A0A323UFC5
551,1.14.14.20,A0A1R0MK46
555,1.14.14.21,A2E124
556,1.14.14.89,A0A0Q0ULL7
557,1.14.15.8,F1L8Z9
560,1.14.14.137,B9RD45
561,1.14.14.154,A0A7X9MWW1
564,1.14.14.154,A0A8H6BZU1
565,1.14.15.4,P80539
566,1.14.14.154,P80459
570,1.14.14.11,A0A1E7MZ09
571,1.14.14.29,O24047
573,1.14.14.86,A0A199VNI1
574,1.14.14.126,Q4Q7X6
576,1.14.14.90,A0A1X0K6Q3
578,1.14.14.32,A0A7M7PEH1
588,1.14.14.80,A0A084EXX3
591,1.14.14.21,P19981
594,1.14.14.17,P0C890
596,1.14.14.98,A0A2N9YB93
602,1.14.14.86,B8R5H3
610,1.14.14.33,A0A2K9YNC3
612,1.14.14.80,A0A088E7G3
613,1.14.15.16,A0A4R1Z3K1
614,1.14.14.25,Q90YZ8
615,1.14.14.18,O15769
620,1.14.14.82,A0A827UT73
621,1.14.14.73,A0A0G2K502
626,1.14.14.B13,A0A7G2J006
627,1.14.14.17,P23368
631,1.14.14.37,A9LIN4
633,1.14.14.25,P51661
634,1.14.14.87,P16232
635,1.14.14.164,Q6R0J2
636,1.14.14.99,P80365
637,1.14.14.87,Q6QLL4
641,1.14.14.80,A1ZAF6
642,1.14.14.B11,P06801
644,1.14.15.16,P48163
647,1.14.14.157,P16243
649,1.14.14.148,Q8H1E2
650,1.14.14.32,A0A072ZJG6
656,1.14.14.21,P22178
663,1.14.14.165,Q8SAT4
666,1.14.14.21,Q93ZK8
669,1.14.14.92,Q92060
674,1.14.14.174,A0A3L0WZI4
675,1.14.14.16,O43837
676,1.14.14.1,O81796
687,1.14.14.1,Q6R6M7
689,1.14.14.30,B2ZAA4
690,1.14.15.13,Q8L0X8
694,1.14.14.102,A0A480M6E4
695,1.14.14.9,A0A8H4BY63
698,1.14.14.B11,A0A178W7K0
700,1.14.14.11,A0A0T9VIJ0
701,1.14.14.9,A0A7K3Q7J0
703,1.14.14.94,A0A2V2XGR5
704,1.14.14.139,A0A7C2SDI6
712,1.14.14.154,A0A3L6EBR4
713,1.14.14.91,A0A446ZH72
716,1.14.14.25,A0A1R4GAB0
721,1.14.14.33,A0A3Q2TB67
725,1.14.15.9,A0A1L2B3P7
728,1.14.14.160,A0A099T115
730,1.14.14.26,A0A4V5MUT8
738,1.14.14.48,A0AR16
743,1.14.14.17,P52209
744,1.14.14.32,P00349
746,1.14.14.9,G4WJX3
748,1.14.15.16,A0A1S3USC5
751,1.14.14.74,P37754
752,1.14.14.154,P85968
760,1.14.14.18,A0A1S3YVQ3
775,1.14.14.45,P41576
789,1.14.14.90,A0A0E3KAN7
790,1.14.14.57,A0A7W4NG19
791,1.14.14.11,P39482
793,1.14.14.113,A0A8B5NDT0
796,1.14.15.8,Q9F2A6
797,1.14.15.4,A0A124MIL0
798,1.14.14.21,C5IFU0
799,1.14.14.91,I1ZAV7
804,1.14.14.82,A0A5E7EU27
805,1.14.14.94,A0A8I3Q8F7
806,1.14.15.30,P11413
807,1.14.15.16,A0A8D1PSQ8
809,1.14.14.22,P05370
811,1.14.14.154,A0A8F9SV17
815,1.14.14.48,A6XIG0
817,1.14.14.24,A0A854B2R5
819,1.14.14.16,Q557D2
822,1.14.14.20,A0A3S9KBG0
831,1.14.14.82,A0A8H4BXM1
833,1.14.14.33,A0A8B5BD78
844,1.14.15.7,P17516
845,1.14.14.102,P23457
846,1.14.14.37,P80702
848,1.14.15.18,Q91WR5
851,1.14.14.80,A0A097ZMZ1
852,1.14.14.149,Q6QA32
854,1.14.14.22,P19871
855,1.14.14.137,O54939
856,1.14.15.3,Q93Y47
858,1.14.14.73,B9ZZZ6
859,1.14.14.81,L8B2H6
862,1.14.15.7,Q28960
864,1.14.14.79,Q8UVJ2
867,1.14.14.58,Q9SLN8
875,1.14.14.137,A0A4P7L6Y5
876,1.14.14.26,A0A1K0JMH0
877,1.14.14.18,P70385
878,1.14.14.11,Q92506
883,1.14.14.133,Q9XT00
889,1.14.14.159,P37058
890,1.14.14.23,O08355
891,1.14.14.21,Q83VI5
892,1.14.14.17,R9UHL6
896,1.14.14.11,A0A2X1GF13
897,1.14.14.150,A0A149UF61
898,1.14.14.24,A0A5B9AQC3
900,1.14.14.126,A0A7H4MKC4
904,1.14.14.137,Q8H0L8
907,1.14.14.126,P47727
909,1.14.14.9,A0JC04
911,1.14.14.154,Q9ZNN8
912,1.14.14.16,M4N626
913,1.14.14.134,A0A1V3VZU9
916,1.14.14.1,Q9UBQ7
917,1.14.15.4,F4I907
920,1.14.15.9,A0A1J1EMK1
923,1.14.14.17,Q9LE33
946,1.14.14.79,A0A0R0HW29
949,1.14.14.82,A0A837KBS6
952,1.14.14.91,Q56268
953,1.14.14.107,A0A8I2B7H9
955,1.14.14.162,A0A510HRN9
960,1.14.14.137,A0A512TKL1
966,1.14.14.134,A0A654EQQ6
967,1.14.14.127,A0A827L5F2
968,1.14.15.16,A0A7J2U692
971,1.14.14.1,A0A062WII2
974,1.14.14.1,Q01292
975,1.14.14.18,A0A0B0E726
976,1.14.14.1,A0A7I8ATM1
977,1.14.14.137,A0A3B6A2T6
979,1.14.14.145,Q84F39
982,1.14.14.114,A0A4D4LT67
986,1.14.14.B11,A0A3N9F7D7
989,1.14.14.33,Q59096
990,1.14.14.82,P39849
992,1.14.14.29,W6CX26
994,1.14.14.1,V9HZX4
996,1.14.14.81,Q51945
997,1.14.15.16,A0A376TPY3
1000,1.14.14.1,A8R0N0
1003,1.14.14.80,B1N5E3
1008,1.14.15.16,A0A3E2N036
1011,1.14.14.137,A0A3B6TR15
1017,1.14.14.71,A0A5F9DF54
1020,1.14.14.32,P40925
1022,1.14.14.82,A0A5E5R6B0
1024,1.14.14.21,A0A0K9R9F0
1026,1.14.15.13,Q965D6
1027,1.14.14.9,P27583
1028,1.14.14.154,A0A655CGE4
1029,1.14.14.154,Q8N4T8
1036,1.14.14.87,Q6GV12
1039,1.14.14.161,Q06136
1040,1.14.14.19,F4JZN6
1041,1.14.14.86,Q9R4M4
1042,1.14.14.154,A0A6N8QJ51
1044,1.14.14.87,A0A832WJZ4
1045,1.14.14.81,Q8MIR0
1049,1.14.14.87,Q8K3F7
1050,1.14.14.9,Q7TQA3
1051,1.14.14.83,O14756
1055,1.14.14.126,P55006
1057,1.14.14.82,Q76KC2
1058,1.14.14.51,A0A7M3AS97
1060,1.14.14.60,Q04828
1063,1.14.14.158,A0A8G3LD09
1067,1.14.14.58,A0A703C6B6
1070,1.14.14.32,Q46769
1071,1.14.15.16,A0A3R7G250
1078,1.14.14.B11,P0C0Y4
1081,1.14.14.150,E2QQF3
1085,1.14.14.176,P15428
1087,1.14.14.92,Q8MJY8
1089,1.14.14.1,O08699
1092,1.14.14.44,P26439
1093,1.14.14.137,Q9N119
1095,1.14.14.147,P22072
1096,1.14.14.16,P14893
1099,1.14.14.126,P28845
1100,1.14.15.3,Q7M3I4
1101,1.14.14.33,Q8HZJ8
1103,1.14.14.154,P51975
1105,1.14.14.86,P35430
1107,1.14.14.80,P51652
1109,1.14.14.57,Q1XAA8
1110,1.14.14.84,B2RYK3
1112,1.14.14.176,Q9UEC5
1116,1.14.14.115,Q91XH5
1118,1.14.15.18,A0A140T8B1
1121,1.14.14.32,F7BPB8
1125,1.14.14.41,A0A3W4D3W5
1127,1.14.14.22,G9FRD7
1129,1.14.14.120,Q8JIS3
1133,1.14.14.80,A0A377N2G7
1139,1.14.15.16,A0A8F8HF62
1141,1.14.14.21,C0BWQ2
1142,1.14.14.55,Q9TV69
1143,1.14.14.9,Q148L6
1144,1.14.14.115,Q9TV68
1145,1.14.15.18,A0A558GFB8
1147,1.14.14.82,Q9TV70
1149,1.14.14.163,Q9TQS6
1150,1.14.14.74,A0A0E4B3N6
1151,1.14.14.82,Q2KNL6
1152,1.14.14.58,B2NI94
1155,1.14.14.82,P16152
1157,1.14.14.9,Q8WNV7
1158,1.14.14.1,Q7LZH9
1159,1.14.14.84,A0A8I3PV18
1160,1.14.14.87,Q8VID1
1162,1.14.15.16,Q9C4B3
1163,1.14.14.137,A0A0E4AX59
1164,1.14.14.33,G3IF40
1165,1.14.14.12,A0A286XNN6
1166,1.14.14.51,Q9VWP2
1168,1.14.14.154,P15121
1171,1.14.14.B9,Q2TJA5
1174,1.14.14.91,Q3SZD7
1176,1.14.14.9,Q2VCF5
1177,1.14.14.83,A0A8F9SW18
1178,1.14.14.1,Q9CAI3
1179,1.14.15.16,B6U7D8
1181,1.14.14.21,A0A2Z5D8A5
1182,1.14.14.81,T1SEV0
1183,1.14.14.80,A0A072UJB3
1184,1.14.14.82,D7PGW0
1186,1.14.14.48,Q08GP3
1187,1.14.14.9,A0A0F7L305
1189,1.14.14.153,U3TDQ6
1193,1.14.14.139,Q1HGA8
1194,1.14.14.91,I1HY48
1199,1.14.14.91,E2DIF5
1200,1.14.14.137,D0EY65
1205,1.14.14.145,A0A8F5SIS3
1206,1.14.14.78,E5DD06
1207,1.14.15.8,A0A1B3EB36
1209,1.14.14.160,P28475
1212,1.14.14.10,A0A483BT05
1214,1.14.14.51,A0A7M2M8R1
1215,1.14.15.7,A0A0C1Q6R1
1216,1.14.14.114,Q0G9F1
1217,1.14.14.33,A0A7W3I491
1218,1.14.14.137,A0A174BVG8
1219,1.14.15.16,A0A5E7LMX5
1220,1.14.14.91,A0A2K4WZZ0
1221,1.14.15.4,Q8T6T2
1222,1.14.14.17,A0A0F1LE85
1223,1.14.14.1,P12268
1225,1.14.14.79,Q5ZLI1
1226,1.14.14.115,P12269
1228,1.14.14.11,P50096
1236,1.14.14.56,Q4VRV8
1237,1.14.14.56,O00086
1242,1.14.14.92,A0A6L8MX07
1245,1.14.15.4,A0A841HAT6
1246,1.14.14.36,A0A2X1QGN3
1247,1.14.14.1,A0A496E7T3
1248,1.14.14.1,A0A381IW18
1249,1.14.14.159,A0A0Q0WZN6
1250,1.14.14.24,A0A0B2XWN5
1252,1.14.14.16,F1DBB2
1255,1.14.15.13,A0A8G2VWN0
1257,1.14.14.81,X5F9H2
1259,1.14.15.7,A0A8F8U4E1
1260,1.14.14.33,Q2TUW2
1265,1.14.14.160,I3WTS0
1266,1.14.14.82,L7QI79
1267,1.14.14.158,U5PUZ1
1268,1.14.14.91,Q96457
1269,1.14.14.9,P50162
1271,1.14.14.3,H9BQR7
1279,1.14.14.49,D1MI43
1281,1.14.14.94,B2X050
1283,1.14.14.82,P52895
1284,1.14.14.82,O54909
1285,1.14.14.74,P40939
1286,1.14.14.137,Q64428
1288,1.14.14.11,A0A1A0DCM5
1290,1.14.14.78,A0A1D8RK43
1293,1.14.14.154,D2WKD9
1294,1.14.14.23,P82810
1295,1.14.14.29,Q02198
1297,1.14.14.44,A0A3G2K823
1299,1.14.14.108,Q9S787
1300,1.14.14.29,A5Z0G1
1301,1.14.14.32,P51110
1302,1.14.14.36,A0A2Z5XEV7
1309,1.14.14.45,Q41158
1310,1.14.14.92,P51107
1311,1.14.15.4,Q84L22
1318,1.14.14.20,A0A0C6ENR6
1319,1.14.14.94,W5VJJ6
1325,1.14.14.16,P50164
1329,1.14.15.4,Q65CJ7
1330,1.14.14.25,A0A0A7RFJ3
1333,1.14.14.21,M1H6F7
1334,1.14.14.154,F1T2J9
1336,1.14.14.29,A0A097ZMY7
1337,1.14.14.149,J7MBS9
1339,1.14.14.91,P31005
1344,1.14.14.120,Q071N0
1348,1.14.14.11,Q38707
1350,1.14.14.22,A0A842YR60
1356,1.14.14.32,P82125
1357,1.14.14.127,Q2I8V6
1358,1.14.14.1,A0A1E5M630
1362,1.14.14.82,A0A655AT58
1367,1.14.14.154,A0A5S9YH47
1372,1.14.14.94,Q6R3F4
1373,1.14.14.113,P56937
1375,1.14.14.137,Q62904
1376,1.14.14.11,R7AF73
1378,1.14.14.126,Q9BDW7
1380,1.14.14.82,D3JU54
1382,1.14.14.82,A0A5F1PY02
1391,1.14.14.1,A0A6L7CCK2
1395,1.14.14.48,A0A1M0D0N9
1396,1.14.14.115,A0A3Q7H2B2
1398,1.14.14.65,Q6IMN8
1401,1.14.14.80,B6T6Q8
1402,1.14.15.16,Q2VIM7
1403,1.14.14.21,A0A7G2FI25
1406,1.14.14.60,P45382
1410,1.14.14.33,A0A8H8UMC9
1411,1.14.14.18,A0A3Q1LSZ6
1414,1.14.14.130,Q38RA7
1417,1.14.14.32,A0A1B2JF17
1418,1.14.14.17,A0A7Y7JLS7
1422,1.14.14.30,A0A3E0CDG1
1430,1.14.14.154,Q0PCF4
1431,1.14.14.83,Q58LW6
1434,1.14.14.173,A0A2X1PCQ9
1436,1.14.14.17,Q0QLF5
1438,1.14.14.16,Q9QYF1
1439,1.14.14.149,O75911
1440,1.14.14.80,Q7JYX2
1442,1.14.15.18,Q8KQL2
1443,1.14.15.9,A0A1I6XB32
1444,1.14.15.16,A0A832T4H6
1445,1.14.14.22,A0A7C5L4Z8
1448,1.14.14.152,A0A5B8J1I7
1450,1.14.14.79,P80094
1452,1.14.14.92,A0A653FHV6
1454,1.14.15.8,P87039
1455,1.14.15.16,Q6Y0Z3
1456,1.14.14.126,E5G6H3
1457,1.14.14.24,Q9P430
1459,1.14.14.32,A0A3S7N729
1461,1.14.15.18,A0A0S2PJH8
1463,1.14.14.24,S4WCW2
1464,1.14.14.21,W5RZ21
1465,1.14.14.154,A0A455KZK8
1467,1.14.14.154,Q75T27
1468,1.14.14.168,O75452
1469,1.14.14.41,Q27979
1470,1.14.14.22,O55240
1474,1.14.14.80,Q6BDJ2
1477,1.14.14.16,A0A1B2U6S7
1479,1.14.14.33,A0A1B2U6T4
1480,1.14.14.59,D0VWT0
1483,1.14.14.80,B8RCD2
1485,1.14.14.45,Q8RJB2
1486,1.14.14.82,A0A0H4SN47
1489,1.14.14.137,F1SWA0
1490,1.14.14.137,P09347
1499,1.14.14.11,A0A8F9JNY2
1504,1.14.14.51,E5F146
1506,1.14.14.80,P17584
1512,1.14.15.18,A0A8B6AR50
1515,1.14.15.4,Q2MFU6
1516,1.14.14.14,G4WJD3
1517,1.14.14.154,T2HVB4
1519,1.14.14.16,O93715
1521,1.14.14.43,A0A1B2F298
1524,1.14.14.1,P95700
1529,1.14.14.16,A0A7J9PU79
1531,1.14.14.22,A0A558GF96
1535,1.14.14.91,B3TMR8
1537,1.14.14.145,Q8KWT4
1543,1.14.15.16,P0CY54
1547,1.14.14.24,Q48154
1551,1.14.14.74,I3PLR3
1552,1.14.15.7,Q67ZE1
1554,1.14.14.91,A0A545BBS8
1555,1.14.14.167,A0A545BBR2
1556,1.14.14.1,P12293
1560,1.14.14.35,Q4AE23
1564,1.14.14.75,P13006
1565,1.14.14.82,P81156
1566,1.14.14.32,Q70FC9
1567,1.14.15.16,K9L4P7
1570,1.14.14.20,D9ZFI1
1571,1.14.14.11,P93762
1573,1.14.14.11,H9NJ52
1574,1.14.14.32,P22637
1575,1.14.14.81,V9Q617
1577,1.14.14.32,A0A5P4JPP1
1585,1.14.14.133,Q93H76
1590,1.14.14.90,A0A3S4PHH6
1591,1.14.14.29,O94219
1592,1.14.14.9,Q9P928
1593,1.14.14.1,B4F334
1594,1.14.14.86,B4F335
1595,1.14.14.126,I7FDJ2
1596,1.14.14.120,E5CZV8
1597,1.14.14.86,A0A145Y386
1598,1.14.14.77,P10867
1601,1.14.14.117,A0A8D1NG63
1609,1.14.14.58,Q7ZA32
1611,1.14.14.29,Q6UG02
1613,1.14.14.B9,A0A0P0HFV3
1614,1.14.14.173,P79076
1619,1.14.15.13,Q9AJD6
1620,1.14.14.17,A0A1B2JBK5
1621,1.14.14.58,A8DPS4
1622,1.14.14.149,A5LGE5
1626,1.14.14.154,Q9NYQ3
1627,1.14.14.107,Q24JJ8
1628,1.14.14.58,Q9NYQ2
1633,1.14.14.154,I1KRU6
1637,1.14.14.137,A0A653FLW8
1639,1.14.14.137,Q9VY01
1643,1.14.14.41,Q7X2H8
1644,1.14.14.82,A0A024FB95
1645,1.14.14.11,B5WWZ8
1646,1.14.14.94,Q94BP3
1647,1.14.14.83,L7VFV2
1648,1.14.14.114,Q6QIR5
1653,1.14.14.80,A0A2N6UCB4
1658,1.14.15.7,P56216
1659,1.14.14.12,D7UQ40
1660,1.14.15.30,Q53U15
1663,1.14.14.160,D5KB61
1665,1.14.14.145,A0A376X587
1666,1.14.14.167,A0A5E7J6I0
1667,1.14.14.73,P13650
1668,1.14.14.149,A0A142LQT6
1670,1.14.15.16,A0A2L0FB66
1671,1.14.14.107,I7A144
1672,1.14.14.114,A0A2J7YMC3
1673,1.14.14.29,A0A379Z5K7
1674,1.14.14.126,A0A4X1VQU2
1675,1.14.14.80,A0A3A6S3T0
1680,1.14.14.18,A0A1U7Q2E8
1685,1.14.14.73,A0A8I0W3L9
1686,1.14.14.16,A0A0L0PV06
1687,1.14.14.73,A0A8B4R8Q1
1690,1.14.14.94,Q335V9
1692,1.14.15.13,Q93RE9
1693,1.14.14.107,P28036
1694,1.14.14.84,A0A446ZJ57
1699,1.14.14.21,A0A8G7VXN5
1701,1.14.14.1,A0A090JQ48
1702,1.14.14.21,M1VMF7
1705,1.14.14.16,Q46444
1706,1.14.14.80,Q8GR64
1707,1.14.14.121,A0A1H4YD56
1715,1.14.14.41,A0A1V3WQJ7
1718,1.14.14.24,A0A857LY84
1721,1.14.14.41,Q9X758
1722,1.14.14.1,A0A329Q5K7
1729,1.14.14.165,Q9H9P8
1730,1.14.14.11,A0A379JAA9
1731,1.14.14.106,A0A4P0V4R2
1734,1.14.14.145,O34214
1737,1.14.15.16,Q6PW77
1741,1.14.14.82,A0A8H1K995
1742,1.14.14.90,A9XK88
1744,1.14.14.82,Q875J3
1745,1.14.14.114,E7D6B9
1746,1.14.14.81,E7D6C4
1749,1.14.14.5,E7D6C1
1759,1.14.14.154,A0A142LQT7
1761,1.14.14.51,M9MJR9
1762,1.14.14.158,A0A425D6R6
1766,1.14.14.9,Q4QQW3
1770,1.14.15.16,Q3L1D1
1771,1.14.14.175,Q0R4L2
1772,1.14.14.73,V5NC32
1773,1.14.14.B13,V5NDL4
1774,1.14.14.86,Q9R4Y1
1775,1.14.14.150,P20932
1776,1.14.15.4,P32953
1779,1.14.14.147,P05465
1784,1.14.14.11,A0A161CAI1
1785,1.14.14.91,P51647
1786,1.14.14.154,P48644
1787,1.14.14.41,Q8W033
1788,1.14.15.16,P30837
1789,1.14.14.107,A0A376RPC2
1790,1.14.14.82,A0A1W6VW78
1791,1.14.14.126,A0A2R4NF69
1792,1.14.15.18,P51977
1794,1.14.14.82,P47740
1795,1.14.14.149,Q8MI17
1796,1.14.14.86,Q29228
1798,1.14.14.80,A0A643JAF0
1799,1.14.14.148,A0A1D3RJV9
1800,1.14.14.94,P12762
1801,1.14.14.5,Q19A30
1803,1.14.14.1,Q802W2
1805,1.14.14.86,Q9FPK6
1806,1.14.14.80,Q402C7
1809,1.14.14.133,K9N4H5
1814,1.14.14.86,Q540D7
1815,1.14.14.23,A0A4P0TBQ6
1818,1.14.14.1,Q8GAK7
1819,1.14.14.154,A0A446ZJB3
1821,1.14.14.83,P47895
1822,1.14.14.44,P11884
1825,1.14.14.1,Q80VQ0
1826,1.14.14.149,A0A1K0J4C6
1827,1.14.14.21,A0A150BLG9
1828,1.14.14.95,Q84DC3
1829,1.14.14.91,Q5XI42
1830,1.14.14.154,Q9S795
1835,1.14.14.1,O04895
1836,1.14.14.33,P49419
1837,1.14.14.32,Q64057
1838,1.14.14.167,P17202
1839,1.14.14.33,A0A093DXU4
1840,1.14.14.1,A0A6M5K8J2
1842,1.14.14.48,A0A075T6J5
1845,1.14.14.29,C8CBI9
1852,1.14.15.16,Q9SNX8
1853,1.14.14.1,Q8LK61
1855,1.14.14.120,Q1WIQ6
1860,1.14.14.B11,A0A6N3EL63
1861,1.14.14.9,A0A381IW12
1866,1.14.14.31,Q2HQR3
1870,1.14.14.45,Q5RLY6
1871,1.14.14.60,Q716S8
1872,1.14.14.33,A5JT11
1873,1.14.14.24,A0A0H3W5K4
1874,1.14.14.81,A0A8H9PNE0
1876,1.14.15.13,A0A826R384
1878,1.14.14.151,A0A2S9SI86
1879,1.14.14.71,A0A0T7KTG4
