enzyme,ecnumber,uniprot_id,source
302,1.14.14.11,A0A8D4ULJ9,brenda
305,1.14.14.11,Q8BVP2,brenda
306,1.14.14.82,Q9BYZ2,brenda
314,1.14.14.83,Q7M1E1,brenda
319,1.14.14.1,A0A0A6UWX7,brenda
321,1.14.15.18,O32765,brenda
324,1.14.14.73,Q9GT92,brenda
325,1.14.14.98,A0A1V2UHD9,brenda
332,1.14.14.154,Q4PRK9,brenda
333,1.14.14.133,A0A4Y1ZCV8,brenda
388,1.14.14.92,A0A165RGQ2,brenda
395,1.14.14.20,C5MRP3,brenda
399,1.14.14.20,Q59642,brenda
407,1.14.14.95,A0A6N3AMH8,brenda
408,1.14.14.65,A0A3S7GW34,brenda
417,1.14.14.17,A0A485HEN2,brenda
426,1.14.14.114,Q02338,brenda
427,1.14.14.137,P29147,brenda
428,1.14.14.80,Q02337,brenda
433,1.14.14.145,A0A4P8JP47,brenda
441,1.14.14.20,A0A068N7H9,brenda
445,1.14.14.80,A0A8G2VA65,brenda
447,1.14.14.133,Q2HJD7,brenda
453,1.14.14.87,A0A0K9QJ83,brenda
454,1.14.14.107,Q8W2E3,brenda
455,1.14.14.80,O24594,brenda
460,1.14.14.45,P14891,brenda
463,1.14.14.84,P48022,brenda
464,1.14.14.150,A0A6J0LZK2,brenda
466,1.14.14.29,A0A0E3MHL5,brenda
471,1.14.14.5,A0A0A6ZA41,brenda
474,1.14.14.155,E5RPJ5,brenda
476,1.14.14.114,P04035,brenda
484,1.14.14.158,F6I0P8,brenda
491,1.14.14.145,P51639,brenda
503,1.14.14.77,Q99714,brenda
504,1.14.14.9,O70351,brenda
506,1.14.14.18,A0A088E8B9,brenda
508,1.14.14.12,P00348,brenda
509,1.14.14.151,O02691,brenda
510,1.14.14.126,A0A653FDN7,brenda
512,1.14.14.21,A0A367PNT5,brenda
516,1.14.14.24,Q9API9,brenda
522,1.14.15.5,A0A096F047,brenda
523,1.14.15.4,A0A8F8F7X3,brenda
524,1.14.14.11,V7CM34,brenda
529,1.14.14.32,P14152,brenda
533,1.14.15.16,O88989,brenda
534,1.14.14.141,P11708,brenda
536,1.14.14.24,Q32LG3,brenda
537,1.14.14.12,A0A3B6UBB9,brenda
538,1.14.14.1,A0A150MGC6,brenda
548,1.14.14.32,O82399,brenda
550,1.14.14.114,A0A323UFC5,brenda
551,1.14.14.20,A0A1R0MK46,brenda
555,1.14.14.21,A2E124,brenda
556,1.14.14.51,A0A0Q0ULL7,brenda
560,1.14.14.137,B9RD45,brenda
561,1.14.14.154,A0A7X9MWW1,brenda
564,1.14.14.154,A0A8H6BZU1,brenda
566,1.14.14.11,P80459,brenda
570,1.14.14.11,A0A1E7MZ09,brenda
574,1.14.14.126,Q4Q7X6,brenda
578,1.14.14.102,A0A7M7PEH1,brenda
591,1.14.14.21,P19981,brenda
594,1.14.14.17,P0C890,brenda
596,1.14.14.98,A0A2N9YB93,brenda
602,1.14.14.87,B8R5H3,brenda
610,1.14.14.33,A0A2K9YNC3,brenda
612,1.14.14.80,A0A088E7G3,brenda
613,1.14.15.16,A0A4R1Z3K1,brenda
614,1.14.14.25,Q90YZ8,brenda
615,1.14.14.18,O15769,brenda
620,1.14.14.82,A0A827UT73,brenda
621,1.14.14.23,A0A0G2K502,brenda
627,1.14.14.17,P23368,brenda
631,1.14.14.37,A9LIN4,brenda
633,1.14.14.32,P51661,brenda
634,1.14.14.87,P16232,brenda
635,1.14.14.164,Q6R0J2,brenda
636,1.14.14.133,P80365,brenda
637,1.14.14.137,Q6QLL4,brenda
641,1.14.14.80,A1ZAF6,brenda
642,1.14.14.B11,P06801,brenda
647,1.14.14.157,P16243,brenda
649,1.14.15.6,Q8H1E2,brenda
650,1.14.14.32,A0A072ZJG6,brenda
656,1.14.14.21,P22178,brenda
663,1.14.14.165,Q8SAT4,brenda
666,1.14.14.21,Q93ZK8,brenda
669,1.14.14.92,Q92060,brenda
675,1.14.14.48,O43837,brenda
676,1.14.14.1,O81796,brenda
690,1.14.15.13,Q8L0X8,brenda
694,1.14.14.102,A0A480M6E4,brenda
695,1.14.14.9,A0A8H4BY63,brenda
698,1.14.14.B11,A0A178W7K0,brenda
703,1.14.14.94,A0A2V2XGR5,brenda
704,1.14.14.139,A0A7C2SDI6,brenda
712,1.14.14.65,A0A3L6EBR4,brenda
713,1.14.14.91,A0A446ZH72,brenda
716,1.14.14.25,A0A1R4GAB0,brenda
721,1.14.14.33,A0A3Q2TB67,brenda
725,1.14.15.9,A0A1L2B3P7,brenda
728,1.14.14.160,A0A099T115,brenda
730,1.14.14.26,A0A4V5MUT8,brenda
743,1.14.14.17,P52209,brenda
746,1.14.14.9,G4WJX3,brenda
748,1.14.15.16,A0A1S3USC5,brenda
751,1.14.14.74,P37754,brenda
760,1.14.14.18,A0A1S3YVQ3,brenda
775,1.14.14.45,P41576,brenda
789,1.14.14.90,A0A0E3KAN7,brenda
790,1.14.14.57,A0A7W4NG19,brenda
793,1.14.14.113,A0A8B5NDT0,brenda
796,1.14.15.8,Q9F2A6,brenda
797,1.14.15.4,A0A124MIL0,brenda
798,1.14.14.21,C5IFU0,brenda
799,1.14.14.91,I1ZAV7,brenda
804,1.14.14.82,A0A5E7EU27,brenda
805,1.14.14.94,A0A8I3Q8F7,brenda
806,1.14.15.30,P11413,brenda
807,1.14.14.18,A0A8D1PSQ8,brenda
819,1.14.14.16,Q557D2,brenda
822,1.14.14.20,A0A3S9KBG0,brenda
833,1.14.14.33,A0A8B5BD78,brenda
844,1.14.15.4,P17516,brenda
845,1.14.15.13,P23457,brenda
846,1.14.14.37,P80702,brenda
848,1.14.15.18,Q91WR5,brenda
851,1.14.14.80,A0A097ZMZ1,brenda
852,1.14.14.149,Q6QA32,brenda
854,1.14.14.92,P19871,brenda
855,1.14.14.137,O54939,brenda
856,1.14.15.3,Q93Y47,brenda
858,1.14.14.73,B9ZZZ6,brenda
859,1.14.14.81,L8B2H6,brenda
862,1.14.15.8,Q28960,brenda
864,1.14.14.79,Q8UVJ2,brenda
867,1.14.14.51,Q9SLN8,brenda
875,1.14.14.137,A0A4P7L6Y5,brenda
876,1.14.14.26,A0A1K0JMH0,brenda
878,1.14.14.82,Q92506,brenda
883,1.14.14.133,Q9XT00,brenda
889,1.14.14.121,P37058,brenda
890,1.14.14.23,O08355,brenda
891,1.14.14.21,Q83VI5,brenda
892,1.14.14.17,R9UHL6,brenda
896,1.14.14.11,A0A2X1GF13,brenda
897,1.14.14.150,A0A149UF61,brenda
900,1.14.14.1,A0A7H4MKC4,brenda
904,1.14.14.137,Q8H0L8,brenda
907,1.14.14.126,P47727,brenda
909,1.14.14.9,A0JC04,brenda
911,1.14.14.154,Q9ZNN8,brenda
912,1.14.14.16,M4N626,brenda
913,1.14.14.90,A0A1V3VZU9,brenda
916,1.14.14.21,Q9UBQ7,brenda
917,1.14.15.4,F4I907,brenda
920,1.14.14.5,A0A1J1EMK1,brenda
923,1.14.14.17,Q9LE33,brenda
946,1.14.14.79,A0A0R0HW29,brenda
949,1.14.14.82,A0A837KBS6,brenda
952,1.14.14.91,Q56268,brenda
953,1.14.14.107,A0A8I2B7H9,brenda
955,1.14.14.162,A0A510HRN9,brenda
960,1.14.14.137,A0A512TKL1,brenda
967,1.14.14.29,A0A827L5F2,brenda
968,1.14.15.16,A0A7J2U692,brenda
971,1.14.14.1,A0A062WII2,brenda
974,1.14.14.1,Q01292,brenda
975,1.14.14.18,A0A0B0E726,brenda
976,1.14.14.1,A0A7I8ATM1,brenda
977,1.14.14.137,A0A3B6A2T6,brenda
979,1.14.14.145,Q84F39,brenda
989,1.14.14.33,Q59096,brenda
990,1.14.15.3,P39849,brenda
992,1.14.14.80,W6CX26,brenda
994,1.14.14.1,V9HZX4,brenda
996,1.14.14.81,Q51945,brenda
1000,1.14.14.1,A8R0N0,brenda
1003,1.14.14.80,B1N5E3,brenda
1008,1.14.14.16,A0A3E2N036,brenda
1011,1.14.14.137,A0A3B6TR15,brenda
1017,1.14.14.71,A0A5F9DF54,brenda
1020,1.14.14.32,P40925,brenda
1022,1.14.14.82,A0A5E5R6B0,brenda
1024,1.14.14.21,A0A0K9R9F0,brenda
1026,1.14.15.13,Q965D6,brenda
1027,1.14.14.9,P27583,brenda
1029,1.14.14.154,Q8N4T8,brenda
1036,1.14.14.87,Q6GV12,brenda
1039,1.14.14.161,Q06136,brenda
1040,1.14.14.19,F4JZN6,brenda
1041,1.14.14.29,Q9R4M4,brenda
1042,1.14.14.154,A0A6N8QJ51,brenda
1044,1.14.14.158,A0A832WJZ4,brenda
1045,1.14.14.81,Q8MIR0,brenda
1050,1.14.14.9,Q7TQA3,brenda
1051,1.14.15.18,O14756,brenda
1055,1.14.14.126,P55006,brenda
1057,1.14.14.82,Q76KC2,brenda
1058,1.14.14.51,A0A7M3AS97,brenda
1060,1.14.14.154,Q04828,brenda
1067,1.14.14.58,A0A703C6B6,brenda
1070,1.14.14.32,Q46769,brenda
1071,1.14.15.16,A0A3R7G250,brenda
1078,1.14.14.B11,P0C0Y4,brenda
1081,1.14.14.150,E2QQF3,brenda
1085,1.14.14.176,P15428,brenda
1089,1.14.14.1,O08699,brenda
1092,1.14.14.11,P26439,brenda
1093,1.14.14.138,Q9N119,brenda
1095,1.14.14.147,P22072,brenda
1096,1.14.14.16,P14893,brenda
1099,1.14.14.126,P28845,brenda
1100,1.14.14.21,Q7M3I4,brenda
1101,1.14.14.33,Q8HZJ8,brenda
1103,1.14.14.154,P51975,brenda
1105,1.14.14.86,P35430,brenda
1107,1.14.14.19,P51652,brenda
1109,1.14.14.57,Q1XAA8,brenda
1110,1.14.14.84,B2RYK3,brenda
1112,1.14.14.176,Q9UEC5,brenda
1121,1.14.14.32,F7BPB8,brenda
1125,1.14.14.41,A0A3W4D3W5,brenda
1127,1.14.14.22,G9FRD7,brenda
1133,1.14.14.32,A0A377N2G7,brenda
1139,1.14.15.16,A0A8F8HF62,brenda
1142,1.14.14.23,Q9TV69,brenda
1143,1.14.14.9,Q148L6,brenda
1145,1.14.14.165,A0A558GFB8,brenda
1147,1.14.14.82,Q9TV70,brenda
1149,1.14.14.163,Q9TQS6,brenda
1150,1.14.14.74,A0A0E4B3N6,brenda
1151,1.14.14.55,Q2KNL6,brenda
1152,1.14.14.58,B2NI94,brenda
1155,1.14.15.7,P16152,brenda
1157,1.14.14.90,Q8WNV7,brenda
1158,1.14.14.1,Q7LZH9,brenda
1159,1.14.14.84,A0A8I3PV18,brenda
1160,1.14.14.87,Q8VID1,brenda
1162,1.14.15.16,Q9C4B3,brenda
1163,1.14.15.18,A0A0E4AX59,brenda
1164,1.14.14.33,G3IF40,brenda
1165,1.14.14.12,A0A286XNN6,brenda
1166,1.14.14.51,Q9VWP2,brenda
1168,1.14.14.154,P15121,brenda
1171,1.14.14.B9,Q2TJA5,brenda
1174,1.14.14.155,Q3SZD7,brenda
1176,1.14.14.9,Q2VCF5,brenda
1177,1.14.14.83,A0A8F9SW18,brenda
1178,1.14.14.1,Q9CAI3,brenda
1181,1.14.14.21,A0A2Z5D8A5,brenda
1182,1.14.14.81,T1SEV0,brenda
1183,1.14.14.80,A0A072UJB3,brenda
1184,1.14.14.82,D7PGW0,brenda
1186,1.14.14.48,Q08GP3,brenda
1187,1.14.14.9,A0A0F7L305,brenda
1189,1.14.14.153,U3TDQ6,brenda
1194,1.14.14.91,I1HY48,brenda
1199,1.14.15.18,E2DIF5,brenda
1200,1.14.14.137,D0EY65,brenda
1205,1.14.14.17,A0A8F5SIS3,brenda
1206,1.14.14.78,E5DD06,brenda
1207,1.14.15.8,A0A1B3EB36,brenda
1209,1.14.14.160,P28475,brenda
1212,1.14.14.10,A0A483BT05,brenda
1214,1.14.14.51,A0A7M2M8R1,brenda
1215,1.14.14.80,A0A0C1Q6R1,brenda
1216,1.14.14.114,Q0G9F1,brenda
1217,1.14.14.82,A0A7W3I491,brenda
1218,1.14.14.137,A0A174BVG8,brenda
1219,1.14.14.11,A0A5E7LMX5,brenda
1220,1.14.14.91,A0A2K4WZZ0,brenda
1221,1.14.14.165,Q8T6T2,brenda
1222,1.14.14.17,A0A0F1LE85,brenda
1223,1.14.14.1,P12268,brenda
1225,1.14.14.79,Q5ZLI1,brenda
1226,1.14.14.115,P12269,brenda
1236,1.14.14.56,Q4VRV8,brenda
1237,1.14.14.56,O00086,brenda
1246,1.14.14.36,A0A2X1QGN3,brenda
1247,1.14.14.32,A0A496E7T3,brenda
1248,1.14.14.1,A0A381IW18,brenda
1250,1.14.14.24,A0A0B2XWN5,brenda
1252,1.14.14.16,F1DBB2,brenda
1255,1.14.15.13,A0A8G2VWN0,brenda
1257,1.14.14.81,X5F9H2,brenda
1259,1.14.15.7,A0A8F8U4E1,brenda
1266,1.14.14.51,L7QI79,brenda
1267,1.14.14.158,U5PUZ1,brenda
1269,1.14.14.32,P50162,brenda
1271,1.14.14.3,H9BQR7,brenda
1279,1.14.14.49,D1MI43,brenda
1281,1.14.14.94,B2X050,brenda
1283,1.14.14.82,P52895,brenda
1284,1.14.14.155,O54909,brenda
1285,1.14.14.74,P40939,brenda
1286,1.14.14.137,Q64428,brenda
1288,1.14.14.11,A0A1A0DCM5,brenda
1290,1.14.14.78,A0A1D8RK43,brenda
1293,1.14.14.154,D2WKD9,brenda
1294,1.14.14.23,P82810,brenda
1295,1.14.14.29,Q02198,brenda
1297,1.14.14.80,A0A3G2K823,brenda
1299,1.14.15.8,Q9S787,brenda
1300,1.14.14.29,A5Z0G1,brenda
1301,1.14.14.11,P51110,brenda
1309,1.14.14.45,Q41158,brenda
1311,1.14.14.44,Q84L22,brenda
1318,1.14.14.20,A0A0C6ENR6,brenda
1319,1.14.14.94,W5VJJ6,brenda
1325,1.14.14.16,P50164,brenda
1329,1.14.15.4,Q65CJ7,brenda
1330,1.14.14.25,A0A0A7RFJ3,brenda
1333,1.14.14.21,M1H6F7,brenda
1334,1.14.14.154,F1T2J9,brenda
1336,1.14.14.154,A0A097ZMY7,brenda
1337,1.14.14.107,J7MBS9,brenda
1339,1.14.14.91,P31005,brenda
1344,1.14.14.120,Q071N0,brenda
1348,1.14.14.11,Q38707,brenda
1350,1.14.14.22,A0A842YR60,brenda
1356,1.14.14.32,P82125,brenda
1357,1.14.14.127,Q2I8V6,brenda
1358,1.14.14.1,A0A1E5M630,brenda
1362,1.14.14.21,A0A655AT58,brenda
1372,1.14.14.94,Q6R3F4,brenda
1376,1.14.14.11,R7AF73,brenda
1378,1.14.14.82,Q9BDW7,brenda
1380,1.14.14.83,D3JU54,brenda
1382,1.14.14.82,A0A5F1PY02,brenda
1395,1.14.14.174,A0A1M0D0N9,brenda
1396,1.14.14.115,A0A3Q7H2B2,brenda
1401,1.14.14.80,B6T6Q8,brenda
1402,1.14.14.24,Q2VIM7,brenda
1403,1.14.14.21,A0A7G2FI25,brenda
1406,1.14.14.60,P45382,brenda
1410,1.14.14.33,A0A8H8UMC9,brenda
1411,1.14.14.18,A0A3Q1LSZ6,brenda
1414,1.14.14.130,Q38RA7,brenda
1417,1.14.14.32,A0A1B2JF17,brenda
1418,1.14.14.17,A0A7Y7JLS7,brenda
1431,1.14.14.1,Q58LW6,brenda
1434,1.14.14.173,A0A2X1PCQ9,brenda
1436,1.14.14.17,Q0QLF5,brenda
1438,1.14.14.16,Q9QYF1,brenda
1439,1.14.14.32,O75911,brenda
1440,1.14.14.169,Q7JYX2,brenda
1442,1.14.15.18,Q8KQL2,brenda
1443,1.14.15.9,A0A1I6XB32,brenda
1444,1.14.15.16,A0A832T4H6,brenda
1445,1.14.14.1,A0A7C5L4Z8,brenda
1448,1.14.14.152,A0A5B8J1I7,brenda
1450,1.14.14.138,P80094,brenda
1452,1.14.14.92,A0A653FHV6,brenda
1454,1.14.15.8,P87039,brenda
1455,1.14.15.16,Q6Y0Z3,brenda
1456,1.14.14.126,E5G6H3,brenda
1461,1.14.15.18,A0A0S2PJH8,brenda
1463,1.14.14.24,S4WCW2,brenda
1464,1.14.14.21,W5RZ21,brenda
1465,1.14.14.154,A0A455KZK8,brenda
1467,1.14.14.154,Q75T27,brenda
1468,1.14.14.168,O75452,brenda
1469,1.14.14.41,Q27979,brenda
1477,1.14.14.16,A0A1B2U6S7,brenda
1479,1.14.14.33,A0A1B2U6T4,brenda
1480,1.14.14.59,D0VWT0,brenda
1483,1.14.14.80,B8RCD2,brenda
1485,1.14.14.45,Q8RJB2,brenda
1486,1.14.14.82,A0A0H4SN47,brenda
1489,1.14.14.137,F1SWA0,brenda
1490,1.14.14.137,P09347,brenda
1499,1.14.14.11,A0A8F9JNY2,brenda
1506,1.14.14.80,P17584,brenda
1512,1.14.15.18,A0A8B6AR50,brenda
1515,1.14.15.4,Q2MFU6,brenda
1516,1.14.14.23,G4WJD3,brenda
1517,1.14.14.20,T2HVB4,brenda
1519,1.14.14.16,O93715,brenda
1521,1.14.14.43,A0A1B2F298,brenda
1524,1.14.14.1,P95700,brenda
1531,1.14.14.22,A0A558GF96,brenda
1543,1.14.15.16,P0CY54,brenda
1551,1.14.14.74,I3PLR3,brenda
1552,1.14.14.1,Q67ZE1,brenda
1554,1.14.15.7,A0A545BBS8,brenda
1555,1.14.14.37,A0A545BBR2,brenda
1556,1.14.14.32,P12293,brenda
1560,1.14.14.35,Q4AE23,brenda
1564,1.14.14.11,P13006,brenda
1565,1.14.14.82,P81156,brenda
1566,1.14.14.114,Q70FC9,brenda
1567,1.14.15.16,K9L4P7,brenda
1570,1.14.14.84,D9ZFI1,brenda
1571,1.14.14.11,P93762,brenda
1574,1.14.14.32,P22637,brenda
1575,1.14.14.B9,V9Q617,brenda
1577,1.14.14.32,A0A5P4JPP1,brenda
1585,1.14.14.133,Q93H76,brenda
1591,1.14.14.16,O94219,brenda
1593,1.14.14.1,B4F334,brenda
1594,1.14.14.86,B4F335,brenda
1595,1.14.14.137,I7FDJ2,brenda
1597,1.14.14.114,A0A145Y386,brenda
1598,1.14.14.77,P10867,brenda
1601,1.14.14.117,A0A8D1NG63,brenda
1609,1.14.15.16,Q7ZA32,brenda
1611,1.14.14.17,Q6UG02,brenda
1613,1.14.14.B9,A0A0P0HFV3,brenda
1614,1.14.14.173,P79076,brenda
1619,1.14.15.13,Q9AJD6,brenda
1620,1.14.14.17,A0A1B2JBK5,brenda
1621,1.14.14.82,A8DPS4,brenda
1626,1.14.14.154,Q9NYQ3,brenda
1628,1.14.14.58,Q9NYQ2,brenda
1633,1.14.14.154,I1KRU6,brenda
1637,1.14.14.137,A0A653FLW8,brenda
1639,1.14.14.137,Q9VY01,brenda
1643,1.14.14.41,Q7X2H8,brenda
1644,1.14.14.82,A0A024FB95,brenda
1645,1.14.14.11,B5WWZ8,brenda
1646,1.14.14.94,Q94BP3,brenda
1647,1.14.14.32,L7VFV2,brenda
1648,1.14.14.137,Q6QIR5,brenda
1653,1.14.14.80,A0A2N6UCB4,brenda
1658,1.14.15.7,P56216,brenda
1659,1.14.14.12,D7UQ40,brenda
1660,1.14.15.30,Q53U15,brenda
1663,1.14.14.160,D5KB61,brenda
1665,1.14.15.16,A0A376X587,brenda
1666,1.14.14.80,A0A5E7J6I0,brenda
1667,1.14.14.73,P13650,brenda
1668,1.14.14.80,A0A142LQT6,brenda
1670,1.14.15.16,A0A2L0FB66,brenda
1671,1.14.14.107,I7A144,brenda
1672,1.14.14.114,A0A2J7YMC3,brenda
1673,1.14.14.29,A0A379Z5K7,brenda
1674,1.14.14.78,A0A4X1VQU2,brenda
1675,1.14.14.80,A0A3A6S3T0,brenda
1685,1.14.14.73,A0A8I0W3L9,brenda
1687,1.14.14.73,A0A8B4R8Q1,brenda
1690,1.14.14.94,Q335V9,brenda
1692,1.14.14.83,Q93RE9,brenda
1694,1.14.14.84,A0A446ZJ57,brenda
1699,1.14.14.21,A0A8G7VXN5,brenda
1701,1.14.14.1,A0A090JQ48,brenda
1702,1.14.14.92,M1VMF7,brenda
1705,1.14.14.33,Q46444,brenda
1706,1.14.14.80,Q8GR64,brenda
1707,1.14.14.121,A0A1H4YD56,brenda
1715,1.14.14.41,A0A1V3WQJ7,brenda
1718,1.14.14.24,A0A857LY84,brenda
1721,1.14.14.83,Q9X758,brenda
1722,1.14.14.1,A0A329Q5K7,brenda
1729,1.14.14.165,Q9H9P8,brenda
1730,1.14.14.11,A0A379JAA9,brenda
1731,1.14.14.106,A0A4P0V4R2,brenda
1737,1.14.14.82,Q6PW77,brenda
1741,1.14.14.82,A0A8H1K995,brenda
1742,1.14.14.29,A9XK88,brenda
1744,1.14.14.82,Q875J3,brenda
1746,1.14.14.86,E7D6C4,brenda
1749,1.14.14.5,E7D6C1,brenda
1759,1.14.14.154,A0A142LQT7,brenda
1762,1.14.14.158,A0A425D6R6,brenda
1770,1.14.14.32,Q3L1D1,brenda
1771,1.14.14.91,Q0R4L2,brenda
1772,1.14.14.73,V5NC32,brenda
1773,1.14.14.B13,V5NDL4,brenda
1774,1.14.14.162,Q9R4Y1,brenda
1775,1.14.14.81,P20932,brenda
1776,1.14.14.137,P32953,brenda
1779,1.14.14.95,P05465,brenda
1784,1.14.14.11,A0A161CAI1,brenda
1785,1.14.14.173,P51647,brenda
1786,1.14.14.154,P48644,brenda
1787,1.14.14.9,Q8W033,brenda
1788,1.14.14.92,P30837,brenda
1789,1.14.14.107,A0A376RPC2,brenda
1790,1.14.14.29,A0A1W6VW78,brenda
1791,1.14.14.141,A0A2R4NF69,brenda
1792,1.14.14.16,P51977,brenda
1794,1.14.14.82,P47740,brenda
1795,1.14.14.33,Q8MI17,brenda
1796,1.14.14.82,Q29228,brenda
1799,1.14.14.148,A0A1D3RJV9,brenda
1800,1.14.14.94,P12762,brenda
1801,1.14.14.5,Q19A30,brenda
1803,1.14.14.1,Q802W2,brenda
1806,1.14.14.80,Q402C7,brenda
1809,1.14.14.133,K9N4H5,brenda
1814,1.14.14.86,Q540D7,brenda
1815,1.14.14.50,A0A4P0TBQ6,brenda
1818,1.14.14.1,Q8GAK7,brenda
1819,1.14.14.154,A0A446ZJB3,brenda
1821,1.14.15.3,P47895,brenda
1822,1.14.14.89,P11884,brenda
1825,1.14.14.25,Q80VQ0,brenda
1826,1.14.14.17,A0A1K0J4C6,brenda
1827,1.14.14.21,A0A150BLG9,brenda
1828,1.14.14.73,Q84DC3,brenda
