enzyme_index,enzyme_input_id,global_enzyme_id,canonical_uniprot_id,receptor_status,enzyme_batch,has_heme,quality_tier,existing_pdb_path,alphafill_cif_path,heme_transplant_pdb_path,alphafold_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z
36,A0A097PUC4,ENZ_G000037,A0A097PUC4,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A097PUC4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A097PUC4-F1.pdb,-1.995,5.543,-0.13
37,A0A098D1J7,ENZ_G000038,A0A098D1J7,heme_transplanted,batch_1,1,tier3,,data\structures\alphafill\cif\A0A098D1J7-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A098D1J7-F1_heme.pdb,,5.045,-1.877,2.483
38,A0A098DJ84,ENZ_G000039,A0A098DJ84,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A098DJ84-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A098DJ84-F1.pdb,4.452,2.028,1.889
39,A0A0A0K2U8,ENZ_G000040,A0A0A0K2U8,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A0K2U8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0A0K2U8-F1.pdb,4.443,-2.195,5.191
40,A0A0A0LHC2,ENZ_G000041,A0A0A0LHC2,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A0LHC2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0A0LHC2-F1.pdb,1.744,-2.893,2.592
41,A0A0A0NSZ7,ENZ_G000042,A0A0A0NSZ7,experimental_pdb,batch_1,1,,s1_rcsb/6L3A,,,,14.883,1.224,21.399
42,A0A0A2J1Z6,ENZ_G000043,A0A0A2J1Z6,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0A2J1Z6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0A2J1Z6-F1.pdb,-15.009,-0.265,7.193
43,A0A0A2JY25,ENZ_G000044,A0A0A2JY25,no_template,batch_2,0,,,data\structures\alphafill\cif\A0A0A2JY25-F1.cif,,,1.829,0.283,-0.786
44,A0A0A7DLM4,ENZ_G000045,A0A0A7DLM4,pcpd_predicted,batch_1,1,,pcpd/CYP76F45.pdb,,,,55.404,-5.938,11.005
45,A0A0A8KYF2,ENZ_G000046,A0A0A8KYF2,pcpd_predicted,batch_1,1,,pcpd/CYP97C27.pdb,,,,56.164,-6.337,11.448
46,A0A0B0D9P4,ENZ_G000047,A0A0B0D9P4,experimental_pdb,batch_1,1,,s1_rcsb/8VWK,,,,-2.789,27.915,-14.905
47,A0A0B4KZX8,ENZ_G000048,A0A0B4KZX8,pcpd_predicted,batch_1,1,,pcpd/CYP87D16.pdb,,,,56.196,-9.375,12.041
48,A0A0B4L1W4,ENZ_G000049,A0A0B4L1W4,pcpd_predicted,batch_1,1,,pcpd/CYP716A14.pdb,,,,55.919,-7.104,10.51
49,A0A0B4L1W8,ENZ_G000050,A0A0B4L1W8,pcpd_predicted,batch_1,1,,pcpd/CYP716A75.pdb,,,,55.869,-6.72,10.38
50,A0A0B4ZV78,ENZ_G000051,A0A0B4ZV78,experimental_pdb,batch_1,1,,s1_rcsb/8JNC,,,,11.446,-3.368,23.433
51,A0A0B5KYT4,ENZ_G000052,A0A0B5KYT4,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A0B5KYT4-F1.cif,,,-9.352,-2.817,3.543
52,A0A0C2W6G6,ENZ_G000053,A0A0C2W6G6,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C2W6G6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0C2W6G6-F1.pdb,-0.228,6.67,0.566
53,A0A0C3HJL3,ENZ_G000054,A0A0C3HJL3,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C3HJL3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0C3HJL3-F1.pdb,11.209,-0.431,-11.069
54,A0A0C5Q4Y6,ENZ_G000055,A0A0C5Q4Y6,pcpd_predicted,batch_1,1,,pcpd/CYP76AH22.pdb,,,,56.485,-5.872,10.5
55,A0A0C5QEW3,ENZ_G000056,A0A0C5QEW3,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0C5QEW3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0C5QEW3-F1.pdb,2.928,-0.728,2.014
56,A0A0C5QRZ2,ENZ_G000057,A0A0C5QRZ2,pcpd_predicted,batch_1,1,,pcpd/CYP76AH24Sf.pdb,,,,56.359,-5.992,11.582
57,A0A0C6DUU3,ENZ_G000058,A0A0C6DUU3,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A0C6DUU3-F1.cif,,,2.117,-6.964,0.161
58,A0A0D1DMJ7,ENZ_G000059,A0A0D1DMJ7,heme_transplant_failed,batch_2,0,,,data\structures\alphafill\cif\A0A0D1DMJ7-F1.cif,,,0.976,-7.502,0.451
59,A0A0D1DT62,ENZ_G000060,A0A0D1DT62,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A0D1DT62-F1.cif,,,-3.68,2.697,-3.723
60,A0A0D2XLX8,ENZ_G000061,A0A0D2XLX8,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D2XLX8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0D2XLX8-F1.pdb,5.003,-3.076,3.395
61,A0A0D2YE57,ENZ_G000062,A0A0D2YE57,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D2YE57-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0D2YE57-F1.pdb,1.937,-0.209,3.967
62,A0A0D4L589,ENZ_G000063,A0A0D4L589,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0D4L589-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0D4L589-F1.pdb,-1.427,-7.076,1.392
63,A0A0E3SY51,ENZ_G000064,A0A0E3SY51,pcpd_predicted,batch_1,1,,pcpd/CYP736A163.pdb,,,,55.889,-6.758,11.395
64,A0A0E3VN01,ENZ_G000065,A0A0E3VN01,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0E3VN01-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0E3VN01-F1.pdb,2.819,0.445,1.098
65,A0A0F4JF04,ENZ_G000066,A0A0F4JF04,experimental_pdb,batch_1,1,,s1_rcsb/8Q6Y,,,,8.361,-0.477,3.705
66,A0A0F6PLP0,ENZ_G000067,A0A0F6PLP0,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PLP0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PLP0-F1.pdb,4.106,-0.897,2.671
67,A0A0F6PLP5,ENZ_G000068,A0A0F6PLP5,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PLP5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PLP5-F1.pdb,3.349,1.527,2.101
68,A0A0F6PMK0,ENZ_G000069,A0A0F6PMK0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PMK0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PMK0-F1.pdb,4.928,3.113,1.323
69,A0A0F6PML0,ENZ_G000070,A0A0F6PML0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PML0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PML0-F1.pdb,3.957,-1.415,2.678
70,A0A0F6PMN1,ENZ_G000071,A0A0F6PMN1,pcpd_predicted,batch_1,1,,pcpd/CYP94N1.pdb,,,,55.812,-6.511,11.013
71,A0A0F6PMN4,ENZ_G000072,A0A0F6PMN4,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PMN4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PMN4-F1.pdb,3.339,1.401,1.76
72,A0A0F6PMS4,ENZ_G000073,A0A0F6PMS4,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F6PMS4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F6PMS4-F1.pdb,3.399,1.676,1.716
73,A0A0F7KN88,ENZ_G000074,A0A0F7KN88,pcpd_predicted,batch_1,1,,pcpd/CYP750B1.pdb,,,,56.517,-6.726,11.647
74,A0A0F7KQD3,ENZ_G000075,A0A0F7KQD3,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0F7KQD3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0F7KQD3-F1.pdb,3.179,-4.215,1.73
75,A0A0F7KQD6,ENZ_G000076,A0A0F7KQD6,pcpd_predicted,batch_1,1,,pcpd/CYP76AA25.pdb,,,,55.154,-6.722,11.65
76,A0A0G2JXU4,ENZ_G000077,A0A0G2JXU4,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0G2JXU4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0G2JXU4-F1.pdb,2.33,-3.425,2.735
77,A0A0G2K9N5,ENZ_G000078,A0A0G2K9N5,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0G2K9N5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0G2K9N5-F1.pdb,3.274,-2.384,1.728
78,A0A0G2RKY1,ENZ_G000079,A0A0G2RKY1,pcpd_predicted,batch_1,1,,pcpd/CYP701A40.pdb,,,,55.397,-7.043,11.057
79,A0A0G3FKE8,ENZ_G000080,A0A0G3FKE8,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0G3FKE8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0G3FKE8-F1.pdb,-18.253,33.802,44.04
80,A0A0G3FKN9,ENZ_G000081,A0A0G3FKN9,pcpd_predicted,batch_1,1,,pcpd/CYP79A61.pdb,,,,56.042,-7.667,11.879
81,A0A0G4IRM5,ENZ_G000082,A0A0G4IRM5,no_template,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000082_heme.pdb,data\structures\alphafold\pdb\AF-A0A0G4IRM5-F1.pdb,5.118,15.106,4.112
82,A0A0G4P2K0,ENZ_G000083,A0A0G4P2K0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0G4P2K0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0G4P2K0-F1.pdb,-14.839,-0.868,4.937
83,A0A0H3CVZ6,ENZ_G000084,A0A0H3CVZ6,experimental_pdb,batch_1,1,,s1_rcsb/5YSW,,,,89.768,66.794,261.725
84,A0A0K6ITW2,ENZ_G000085,A0A0K6ITW2,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A0K6ITW2-F1.cif,,,9.514,2.402,-8.977
85,A0A0M2KDV0,ENZ_G000086,A0A0M2KDV0,experimental_pdb,batch_1,1,,s1_rcsb/8FIC,,,,11.303,-10.331,-25.63
86,A0A0M3R7J8,ENZ_G000087,A0A0M3R7J8,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0M3R7J8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0M3R7J8-F1.pdb,5.302,-2.745,2.093
87,A0A0M4U0E0,ENZ_G000088,A0A0M4U0E0,pcpd_predicted,batch_1,1,,pcpd/CYP71D443.pdb,,,,55.062,-5.916,11.736
88,A0A0M7RFK7,ENZ_G000089,A0A0M7RFK7,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0M7RFK7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0M7RFK7-F1.pdb,4.597,-2.353,2.479
89,A0A0M7RFL6,ENZ_G000090,A0A0M7RFL6,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0M7RFL6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0M7RFL6-F1.pdb,4.098,-3.19,1.934
90,A0A0N7F297,ENZ_G000091,A0A0N7F297,heme_transplanted,batch_1,1,tier2,,data\structures\alphafill\cif\A0A0N7F297-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0N7F297-F1_heme.pdb,,3.353,-0.552,6.298
91,A0A0N7H9X2,ENZ_G000092,A0A0N7H9X2,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A0N7H9X2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A0N7H9X2-F1.pdb,2.775,-3.113,2.288
