dock_index,b6_dock_index,pdb_id,enzyme_index,substrate_index,label
4068,174,5TZ1,54,29,0
4069,175,5TZ1,54,73,0
4070,176,5V5Z,50,33,0
4071,178,7RY8,186,31,0
4072,179,7RYA,191,33,0
4073,180,4LXJ,189,154,0
4074,181,8VK6,190,155,0
4075,182,8VK6,190,156,0
4076,191,3TBG,66,165,0
4077,192,3TBG,66,166,0
4078,193,3TBG,66,167,0
4079,194,3TBG,66,168,0
4080,197,2FDV,74,171,0
4081,199,2FDV,74,173,0
4082,200,2FDV,74,174,0
4083,205,2FDV,74,177,0
4084,209,5A5I,60,181,0
4085,210,5A5I,60,182,0
4086,211,5A5I,60,183,0
4087,212,5A5I,60,184,0
4088,217,3BEN,221,188,0
4089,219,4DTZ,276,189,0
4090,220,4DUE,266,190,0
4091,223,4ZF8,218,130,0
4092,224,6H1O,275,31,0
4093,225,6H1O,275,30,0
4094,229,6JLV,220,194,0
4095,230,6JLV,220,195,0
4096,231,6JLV,220,196,0
4097,232,6JLV,220,197,0
4098,233,6JLV,220,198,0
4099,234,6JLV,220,199,0
4100,235,6JLV,220,200,0
4101,236,6JLV,220,201,0
4102,237,6JLV,220,202,0
4103,238,6JLV,220,203,0
4104,239,6JLV,220,204,0
4105,243,6JLV,220,208,0
4106,245,7Y9J,8,210,0
4107,246,7Y9L,0,211,0
4108,248,7YDB,121,212,0
4109,249,7YDB,121,213,0
4110,252,7YDL,123,216,0
4111,257,6C94,46,221,0
4112,258,6M7X,89,222,0
4113,259,7E7F,98,130,0
4114,264,9KW2,206,228,0
4115,265,9KW2,206,229,0
4116,266,9KW2,206,230,0
4117,267,5UDA,67,95,0
4118,268,5UDA,67,231,0
4119,269,5UDA,67,232,0
4120,270,5UDA,67,115,0
4121,278,9MS2,94,237,0
4122,279,7LAD,107,238,0
4123,280,9MS2,94,239,0
4124,281,9MS2,94,96,0
4125,282,9MS2,94,240,0
4126,286,2XFH,112,244,0
4127,287,2XFH,112,96,0
4128,289,5JLC,43,33,0
4129,293,7P5T,29,249,0
4130,294,7P5T,29,250,0
4131,295,7P5T,29,251,0
4132,297,7P5T,29,252,0
4133,298,8S53,142,231,0
4134,299,2UVN,155,253,0
4135,300,2WHF,158,254,0
4136,301,2WHF,158,255,0
4137,302,5LI7,232,256,0
4138,303,5LI7,232,257,0
4139,304,5LI7,232,32,0
4140,306,2XC3,153,258,0
4141,308,3IW1,201,260,0
4142,309,7QKE,252,261,0
4143,310,7QKE,252,262,0
4144,311,7QWN,253,250,0
4145,312,7ZQR,254,263,0
4146,313,7ZQR,254,264,0
4147,314,7ZQR,254,265,0
4148,315,7ZQR,254,251,0
4149,316,7ZQR,254,249,0
4150,317,7ZQR,254,266,0
4151,318,7ZQR,254,267,0
4152,319,7ZQR,254,268,0
4153,320,7ZQR,254,269,0
4154,321,7ZQR,254,270,0
4155,322,7ZQR,254,271,0
4156,323,7ZQR,254,272,0
4157,329,6T0F,152,277,0
4158,330,7ZB9,151,278,0
4159,331,1N40,204,279,0
4160,332,1N40,204,30,0
4161,334,4IPS,264,280,0
4162,335,4IPS,264,281,0
4163,336,1N40,204,282,0
4164,337,1N40,204,283,0
4165,338,1N40,204,284,0
4166,339,1N40,204,285,0
4167,340,1N40,204,286,0
4168,342,1N40,204,288,0
4169,343,1N40,204,289,0
4170,344,1N40,204,290,0
4171,345,1N40,204,291,0
4172,346,1N40,204,292,0
4173,347,1N40,204,293,0
4174,348,1N40,204,294,0
4175,349,1N40,204,295,0
4176,350,1N40,204,296,0
4177,351,1N40,204,297,0
4178,352,1N40,204,298,0
4179,353,1N40,204,299,0
4180,354,1N40,204,300,0
4181,364,1N40,204,310,0
4182,365,1N40,204,311,0
4183,366,1N40,204,312,0
4184,369,1N40,204,315,0
4185,370,1N40,204,316,0
4186,371,1N40,204,317,0
4187,372,1H5Z,192,129,0
4188,373,1H5Z,192,30,0
4189,374,2CIB,194,318,0
4190,375,2CIB,194,319,0
4191,376,2CIB,194,320,0
4192,377,2CIB,194,321,0
4193,378,2CIB,194,322,0
4194,379,2W0A,193,323,0
4195,380,2CIB,194,324,0
4196,381,1EUP,5,325,0
4197,383,1JIP,289,228,0
4198,388,3B6H,87,330,0
4199,389,3PM0,83,140,0
4200,391,4EJI,73,151,0
4201,412,9DOE,163,348,0
4202,413,9DOE,163,349,0
4203,419,9DOE,163,355,0
4204,434,9DOE,163,369,0
4205,436,7TP5,162,373,0
4206,443,2WV2,53,30,0
4207,444,2X2N,52,29,0
4208,445,3GW9,39,87,0
4209,447,3TIK,40,382,0
4210,448,4BJK,78,383,0
4211,449,4G3J,11,384,0
4212,450,4G3J,11,385,0
4213,452,8RTV,260,57,0
4214,453,1F4T,251,129,0
4215,454,1F4T,251,387,0
4216,455,1F4T,251,95,0
4217,456,1F4T,251,388,0
4218,459,6ZI3,208,96,0
4219,472,3P3Z,37,397,0
4220,473,2WX2,51,30,0
4221,474,3K1O,42,398,0
4222,475,4CK8,1,399,0
4223,476,4CK8,1,400,0
4224,477,4C0C,81,401,0
4225,478,4C0C,81,402,0
4226,479,4C27,86,403,0
4227,480,4C27,86,404,0
4228,481,4CK8,1,405,0
4229,482,4CK8,1,406,0
4230,483,4CK8,1,407,0
4231,484,4COH,82,408,0
4232,485,4H6O,57,409,0
4233,486,4C0C,81,410,0
4234,487,4C0C,81,411,0
4235,488,4CK8,1,73,0
4236,493,5CWE,124,39,0
4237,501,3E5K,179,129,0
4238,503,3DSI,61,422,0
4239,504,3DSK,62,423,0
4240,506,1S1F,212,129,0
4241,511,1ODO,100,129,0
