enzyme_index,uniprots
5240,K7ZPJ9
5241,H1A988
5242,P0CT93
5243,H2DH16
5244,K4K542
5245,I7CT85
5246,L7TF20
5247,Q9Y7C8
5248,A0A1P8W705
5249,A0A3Q7HBJ5
5250,A0A1L7NXK5
5251,A0A1V1FHP8
5252,A0A161ABB0
5253,Q2MJ20
5254,F6H9N6
5255,I7C6E8
5256,D6WFY6
5257,A0A2C9DK12
5258,D6CJJ9
5259,A0A286LD89
5260,Q6R7M4
5261,C0SPF7
5262,Q9LNJ4
5263,A0A0N9HTU1
5264,A0A0N7F297
5265,Q8VQF6
5266,Q9XHC6
5267,Q9FH76
5268,R4X4I5
5269,W9SPF5
5270,U6NHS3
5271,F1T0M7
5272,K4CI52
5273,E3TB05
5274,Q64148
5275,O88962
5276,Q9UNU6
5277,Q7YRB2
5278,O02766
5279,Q6QNI4
5280,C0SJS4
5281,C0SJS2
5282,Q50EK6
5283,Q94IA6
5284,C0SJS3
5285,Q94FM7
5286,A0A3Q8QEF7
5287,F8S1I0
5288,A0A059WMF6
5289,X2JE85
5290,A6YIH8
5291,B5BSX1
5292,Q43257
5293,A2TEF2
5294,A0A655A8T0
5295,Q16850
5296,Q64654
5297,A0A6C0G9L7
5298,P14263
5299,M1KK91
5300,Q12664
5301,Q8K0C4
5302,Q4PJW3
5306,A8DBU6
5307,Q673E9
5308,P93846
5310,Q43255
5311,Q6TBX7
5312,A0A1L7NT18
5313,A0A0E4B3I0
5314,A0A1D6GQ67
5315,B4FVP3
5316,W8JIS5
5317,P93149
5318,I3PLR0
5319,Q9SZ46
5320,O49394
5321,I3PLR1
5322,I3V6B7
5323,F8S1H3
5324,A0A2H4DGV8
5325,F8S1H8
5326,A0A0B4KZX8
5328,A0A3Q9R4N5
5329,A0A6M3TXH1
5330,S4UX02
5331,Q6WG30
5335,P48422
5338,A0A0G2K9N5
5339,P15150
5341,P19099
5342,P51663
5343,Q8WND8
5345,B4DDJ0
5346,P00189
5354,Q06069
5357,Q64441
5358,Q07973
5359,Q09128
5361,O35084
5362,O15528
5363,O35132
5364,Q9XS57
5365,A0A097HUX0
5644,O64698
5645,Q1T7C2
5656,A0A140IL92
5657,A8CDR5
5658,Q9LW27
5665,U5NDT8
5666,Q50LH4
5667,B1NF19
5668,A0A240FWB4
5669,B5UAQ8
5670,A0A240FWB3
5671,P47195
5672,B1NF18
5673,I3QBP4
5674,A0A0T9WNE5
5675,L7T8H2
5676,L7T720
5677,Q33DY0
5678,Q33DX9
5679,C5X6I4
5680,E9KBR8
5681,Q9SSX5
5698,A0A396GRS7
5724,A0A173GQ95
5725,Q9VUF8
5726,H9MFM9
5727,Q2EMR3
5728,Q3LFR2
5760,P0DPA7
5761,C9K1X6
5762,C9K1X7
20869,D8S724
20874,D8QZ31
20876,Q2WE96
21272,B3LF83
21273,A7XY79
21274,A9SNA2
21276,Q93XR3
21277,P48417
21278,A0A0A0K2U8
21279,M4WFN0
21280,Q0H7R9
21281,A0A396JLC3
21282,Q39443
21283,G8XQN2
21284,Q9LLB0
21285,G4VV60
21351,Q9AVQ1
21352,Q9FPM6
21353,Q8W2N5
21390,P24557
21391,Q64429
23117,Q6LEN2
23118,A0A4X1UJZ0
23119,A0A3Q1MTF6
23120,Q62969
23122,Q2KIG5
23123,P49430
23124,Q9DBX6
