rhea_id,equation,ec_number,reaction_existence
47280,17beta-estradiol + reduced [NADPH--hemoprotein reductase] + O2 = 4-hydroxy-17beta-estradiol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),2.7.10.2,Inferred
10596,L-tyrosyl-[protein] + ATP = O-phospho-L-tyrosyl-[protein] + ADP + H(+),2.7.10.2,Inferred
42088,all-trans-retinal + reduced [NADPH--hemoprotein reductase] + O2 = all-trans-retinoate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+),2.7.10.2,Inferred
42092,all-trans-retinol + reduced [NADPH--hemoprotein reductase] + O2 = all-trans-retinal + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),2.7.10.2,Inferred
47208,estrone + reduced [NADPH--hemoprotein reductase] + O2 = 2-hydroxyestrone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),2.7.10.2,Inferred
47292,estrone + reduced [NADPH--hemoprotein reductase] + O2 = 4-hydroxyestrone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),2.7.10.2,Inferred
50244,17alpha-hydroxypregnenolone + reduced [NADPH--hemoprotein reductase] + O2 = 3beta-hydroxyandrost-5-en-17-one + acetate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+),1.14.14.19; 1.14.14.32,Inferred
65760,a C21-steroid + reduced [NADPH--hemoprotein reductase] + O2 = a 17alpha-hydroxy-C21-steroid + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.19; 1.14.14.32,Inferred
50236,pregnenolone + reduced [NADPH--hemoprotein reductase] + O2 = 17alpha-hydroxypregnenolone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.19; 1.14.14.32,Inferred
49856,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = (14S,15R)-epoxy-(5Z,8Z,11Z)-eicosatrienoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.1,Inferred
53224,"16alpha,17alpha-dihydroxypregnenolone + reduced [NADPH--hemoprotein reductase] + O2 = 3beta,16alpha-dihydroxy-androst-5-en-17-one + acetate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+)",1.14.14.19; 1.14.14.32,Inferred
53220,"16alpha,17alpha-dihydroxyprogesterone + reduced [NADPH--hemoprotein reductase] + O2 = 6beta,16alpha,17alpha-trihydroxyprogesterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.19; 1.14.14.32,Inferred
53216,"17alpha-hydroxyprogesterone + reduced [NADPH--hemoprotein reductase] + O2 = 16alpha,17alpha-dihydroxyprogesterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.19; 1.14.14.32,Inferred
14753,"17alpha-hydroxyprogesterone + reduced [NADPH--hemoprotein reductase] + O2 = androst-4-ene-3,17-dione + acetate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+)",1.14.14.19; 1.14.14.32,Inferred
47220,"3beta-hydroxyandrost-5-en-17-one + reduced [NADPH--hemoprotein reductase] + O2 = 3beta,16alpha-dihydroxy-androst-5-en-17-one + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.19; 1.14.14.32,Inferred
53228,"androst-4-ene-3,17-dione + reduced [NADPH--hemoprotein reductase] + O2 = 16alpha-hydroxyandrost-4-ene-3,17-dione + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.19; 1.14.14.32,Inferred
41812,(2E)-butenoyl-[ACP] + NADPH + H(+) = butanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41864,(2E)-decenoyl-[ACP] + NADPH + H(+) = decanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41880,(2E)-dodecenoyl-[ACP] + NADPH + H(+) = dodecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41912,(2E)-hexadecenoyl-[ACP] + NADPH + H(+) = hexadecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41832,(2E)-hexenoyl-[ACP] + NADPH + H(+) = hexanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41928,(2E)-octadecenoyl-[ACP] + NADPH + H(+) = octadecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41848,(2E)-octenoyl-[ACP] + NADPH + H(+) = octanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41896,(2E)-tetradecenoyl-[ACP] + NADPH + H(+) = tetradecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41808,(3R)-hydroxybutanoyl-[ACP] = (2E)-butenoyl-[ACP] + H2O,2.3.1.39,Inferred
41860,(3R)-hydroxydecanoyl-[ACP] = (2E)-decenoyl-[ACP] + H2O,2.3.1.39,Inferred
41876,(3R)-hydroxydodecanoyl-[ACP] = (2E)-dodecenoyl-[ACP] + H2O,2.3.1.39,Inferred
41908,(3R)-hydroxyhexadecanoyl-[ACP] = (2E)-hexadecenoyl-[ACP] + H2O,2.3.1.39,Inferred
41828,(3R)-hydroxyhexanoyl-[ACP] = (2E)-hexenoyl-[ACP] + H2O,2.3.1.39,Inferred
41924,(3R)-hydroxyoctadecanoyl-[ACP] = (2E)-octadecenoyl-[ACP] + H2O,2.3.1.39,Inferred
41844,(3R)-hydroxyoctanoyl-[ACP] = (2E)-octenoyl-[ACP] + H2O,2.3.1.39,Inferred
41892,(3R)-hydroxytetradecanoyl-[ACP] = (2E)-tetradecenoyl-[ACP] + H2O,2.3.1.39,Inferred
41804,3-oxobutanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxybutanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41856,3-oxodecanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxydecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41872,3-oxododecanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxydodecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41904,3-oxohexadecanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxyhexadecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41824,3-oxohexanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxyhexanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41920,3-oxooctadecanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxyoctadecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41840,3-oxooctanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxyoctanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
41888,3-oxotetradecanoyl-[ACP] + NADPH + H(+) = (3R)-hydroxytetradecanoyl-[ACP] + NADP(+),2.3.1.39,Inferred
23068,6 (S)-methylmalonyl-CoA + propanoyl-CoA + 6 NADPH + 12 H(+) = 6-deoxyerythronolide B + 6 CO2 + 6 NADP(+) + 7 CoA + H2O,2.3.1.39,Inferred
17397,a (3R)-hydroxyacyl-[ACP] + NADP(+) = a 3-oxoacyl-[ACP] + NADPH + H(+),2.3.1.39,Inferred
13097,a (3R)-hydroxyacyl-[ACP] = a (2E)-enoyl-[ACP] + H2O,2.3.1.39,Inferred
22564,"a 2,3-saturated acyl-[ACP] + NADP(+) = a (2E)-enoyl-[ACP] + NADPH + H(+)",2.3.1.39,Inferred
22836,a fatty acyl-[ACP] + malonyl-[ACP] + H(+) = a 3-oxoacyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41800,acetyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxobutanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41820,butanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxohexanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41868,decanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxododecanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41884,dodecanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxotetradecanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41932,hexadecanoyl-[ACP] + H2O = hexadecanoate + holo-[ACP] + H(+),2.3.1.39,Inferred
41916,hexadecanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxooctadecanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41836,hexanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxooctanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
41788,holo-[ACP] + acetyl-CoA = acetyl-[ACP] + CoA,2.3.1.39,Inferred
41852,octanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxodecanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
30123,tetradecanoyl-[ACP] + H2O = tetradecanoate + holo-[ACP] + H(+),2.3.1.39,Inferred
41900,tetradecanoyl-[ACP] + malonyl-[ACP] + H(+) = 3-oxohexadecanoyl-[ACP] + holo-[ACP] + CO2,2.3.1.39,Inferred
75439,eburicol + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = 14-demethyleburicol + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+),1.14.14.154,Inferred
75427,eburicol + reduced [NADPH--hemoprotein reductase] + O2 = 32-hydroxyeburicol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.154,Inferred
75431,32-hydroxyeburicol + reduced [NADPH--hemoprotein reductase] + O2 = 32-oxoeburicol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),1.14.14.154,Inferred
75435,32-oxoeburicol + reduced [NADPH--hemoprotein reductase] + O2 = 14-demethyleburicol + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+),1.14.14.154,Inferred
66592,"2'-deoxyribonucleotide-(2'-deoxyribose 5'-phosphate)-2'-deoxyribonucleotide-DNA = a 3'-end 2'-deoxyribonucleotide-(2,3-dehydro-2,3-deoxyribose 5'-phosphate)-DNA + a 5'-end 5'-phospho-2'-deoxyribonucle",3.2.2.-; 4.2.99.18,Inferred
19985,S-(hydroxymethyl)glutathione + NAD(+) = S-formylglutathione + NADH + H(+),3.2.2.-; 4.2.99.18,Inferred
19981,S-(hydroxymethyl)glutathione + NADP(+) = S-formylglutathione + NADPH + H(+),3.2.2.-; 4.2.99.18,Inferred
78371,S-nitrosoglutathione + NADH + H(+) = S-(hydroxysulfenamide)glutathione + NAD(+),3.2.2.-; 4.2.99.18,Inferred
10736,a primary alcohol + NAD(+) = an aldehyde + NADH + H(+),3.2.2.-; 4.2.99.18,Inferred
10740,a secondary alcohol + NAD(+) = a ketone + NADH + H(+),3.2.2.-; 4.2.99.18,Inferred
17989,L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+),1.14.14.154,Inferred
46608,L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+),1.14.14.154,Inferred
48856,"(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate + AH2 = (15S)-hydroxy-(5Z,8Z,11Z,13E)-eicosatetraenoate + A + H2O",1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
55556,a hydroperoxyeicosatetraenoate = an oxoeicosatetraenoate + H2O,1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
51984,all-trans-retinoate + reduced [NADPH--hemoprotein reductase] + O2 = all-trans-4-hydroxyretinoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
47256,"androst-4-ene-3,17-dione + reduced [NADPH--hemoprotein reductase] + O2 = 6beta-hydroxyandrost-4-ene-3,17-dione + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
47252,progesterone + reduced [NADPH--hemoprotein reductase] + O2 = 6beta-hydroxyprogesterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
48644,"prostaglandin H2 = (12S)-hydroxy-(5Z,8E,10E)-heptadecatrienoate + malonaldehyde",1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
17137,prostaglandin H2 = thromboxane A2,1.14.14.1; 4.2.1.152; 5.3.99.5,Inferred
23580,prostaglandin H2 = prostaglandin I2,5.3.99.4,Inferred
52124,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + reduced [NADPH--hemoprotein reductase] + O2 = (19S,20R)-epoxy-(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",,Inferred
49880,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = (11R,12S)-epoxy-(5Z,8Z,14Z)-eicosatrienoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",,Inferred
49884,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = (8R,9S)-epoxy-(5Z,11Z,14Z)-eicosatrienoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",,Inferred
39783,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + reduced [NADPH--hemoprotein reductase] + O2 = (17S,18R)-epoxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",,Inferred
53144,"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine + reduced [NADPH--hemoprotein reductase] + O2 = N-(11,12-epoxy-5Z,8Z,14Z-eicosatrienoyl)-ethanolamine + oxidized [NADPH--hemoprotein reductase] + H2O + ",,Inferred
53148,"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine + reduced [NADPH--hemoprotein reductase] + O2 = N-(14,15-epoxy-5Z,8Z,11Z-eicosatrienoyl)-ethanolamine + oxidized [NADPH--hemoprotein reductase] + H2O + ",,Inferred
53152,"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine + reduced [NADPH--hemoprotein reductase] + O2 = N-(20-hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine + oxidized [NADPH--hemoprotein reductase] + H",,Inferred
53140,"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine + reduced [NADPH--hemoprotein reductase] + O2 = N-(8,9-epoxy-5Z,11Z,14Z-eicosatrienoyl)-ethanolamine + oxidized [NADPH--hemoprotein reductase] + H2O + H",,Inferred
50256,cholesterol + reduced [NADPH--hemoprotein reductase] + O2 = 25-hydroxycholesterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),,Inferred
33467,"5-dehydroepisterol + NADPH + O2 + H(+) = ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADP(+) + 2 H2O",3.6.1.9,Inferred
29399,ITP + H2O = IMP + diphosphate + H(+),3.6.1.9,Inferred
28610,XTP + H2O = XMP + diphosphate + H(+),3.6.1.9,Inferred
44644,a 2'-deoxyribonucleoside 5'-triphosphate + H2O = a 2'-deoxyribonucleoside 5'-phosphate + diphosphate + H(+),3.6.1.9,Inferred
23996,a ribonucleoside 5'-triphosphate + H2O = a ribonucleoside 5'-phosphate + diphosphate + H(+),3.6.1.9,Inferred
28342,dITP + H2O = dIMP + diphosphate + H(+),3.6.1.9,Inferred
70039,3-dehydro-6-deoxoteasterone + 2 reduced [NADPH--hemoprotein reductase] + 2 O2 = 3-dehydroteasterone + 2 oxidized [NADPH--hemoprotein reductase] + 3 H2O + 2 H(+),,Inferred
69947,3-dehydro-6-deoxoteasterone + reduced [NADPH--hemoprotein reductase] + O2 = 3-dehydro-6alpha-hydroxyteasterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),,Inferred
69951,3-dehydro-6alpha-hydroxyteasterone + reduced [NADPH--hemoprotein reductase] + O2 = 3-dehydroteasterone + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),,Inferred
70043,6-deoxoteasterone + 2 reduced [NADPH--hemoprotein reductase] + 2 O2 = teasterone + 2 oxidized [NADPH--hemoprotein reductase] + 3 H2O + 2 H(+),,Inferred
69959,6-deoxoteasterone + reduced [NADPH--hemoprotein reductase] + O2 = 6alpha-hydroxyteasterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),,Inferred
70035,6-deoxotyphasterol + 2 reduced [NADPH--hemoprotein reductase] + 2 O2 = typhasterol + 2 oxidized [NADPH--hemoprotein reductase] + 3 H2O + 2 H(+),,Inferred
69939,6-deoxotyphasterol + reduced [NADPH--hemoprotein reductase] + O2 = 6alpha-hydroxytyphasterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),,Inferred
69963,6alpha-hydroxytyphasterol + reduced [NADPH--hemoprotein reductase] + O2 = teasterone + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),,Inferred
69943,6alpha-hydroxytyphasterol + reduced [NADPH--hemoprotein reductase] + O2 = typhasterol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),,Inferred
30799,(3S)-3-hydroxybutanoyl-CoA + NAD(+) = acetoacetyl-CoA + NADH + H(+),1.1.1.35; 1.14.14.80,Inferred
31187,(3S)-hydroxydecanoyl-CoA + NAD(+) = 3-oxodecanoyl-CoA + NADH + H(+),1.1.1.35; 1.14.14.80,Inferred
31159,(3S)-hydroxyhexadecanoyl-CoA + NAD(+) = 3-oxohexadecanoyl-CoA + NADH + H(+),1.1.1.35; 1.14.14.80,Inferred
39755,"(5Z,8Z,11Z,14Z)-eicosatetraenoate + reduced [NADPH--hemoprotein reductase] + O2 = 20-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)",1.1.1.35; 1.14.14.80,Inferred
50296,"N-[(5Z,8Z,11Z,14Z)-eicosatetraenoyl]-serotonin + reduced [NADPH--hemoprotein reductase] + O2 = 2-oxo-N-[(5Z,8Z,11Z,14Z)-eicosatetraenoyl]-serotonin + oxidized [NADPH--hemoprotein reductase] + H2O + H(",1.1.1.35; 1.14.14.80,Inferred
22432,a (3S)-3-hydroxyacyl-CoA + NAD(+) = a 3-oxoacyl-CoA + NADH + H(+),1.1.1.35; 1.14.14.80,Inferred
56748,an omega-methyl-long-chain fatty acid + reduced [NADPH--hemoprotein reductase] + O2 = an omega-hydroxy-long-chain fatty acid + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),1.1.1.35; 1.14.14.80,Inferred
55856,all-trans-retinoate + reduced [NADPH--hemoprotein reductase] + O2 = all-trans-18-hydroxyretinoate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),,Inferred
