uniprot_id,reviewed,protein_name,gene_names,gene_id,organism,taxid,pmid,length,protein_existence,ec_number,subcellular_location
A0A091FUZ9,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N303_10714,,Cuculus canorus (common cuckoo),55661,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091G189,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N303_15510,,Cuculus canorus (common cuckoo),55661,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091H7B6,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N320_02409,,Buceros rhinoceros silvestris,175836,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091HD43,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N320_00579,,Buceros rhinoceros silvestris,175836,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091I635,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N300_11464,,Calypte anna (Anna's hummingbird) (Archilochus anna),9244,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091J0Z2,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N300_02196,,Calypte anna (Anna's hummingbird) (Archilochus anna),9244,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091J7L2,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),Z169_05197,,Egretta garzetta (Little egret),188379,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091JRP8,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),Z169_09127,,Egretta garzetta (Little egret),188379,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091KX03,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N324_05745,,Chlamydotis macqueenii (Macqueen's bustard),187382,,391,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091M144,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N323_12688,,Cathartes aura (Turkey vulture) (Vultur aura),43455,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091N0Y5,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N310_04777,,Acanthisitta chloris (rifleman),57068,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091NEY0,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N311_03373,,Apaloderma vittatum (Bar-tailed trogon),57397,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091PBR5,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N310_03249,,Acanthisitta chloris (rifleman),57068,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091PRB2,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N330_03367,,Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor),188344,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091QEA1,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N331_04345,,Merops nubicus (Northern carmine bee-eater),57421,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091QJZ9,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N331_05542,,Merops nubicus (Northern carmine bee-eater),57421,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091QW42,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N332_06095,,Mesitornis unicolor (brown roatelo),54374,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091RKI7,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N332_06956,,Mesitornis unicolor (brown roatelo),54374,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091RTJ8,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N333_03029,,Nestor notabilis (Kea),176057,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091T8H2,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N335_09901,,Phaethon lepturus (White-tailed tropicbird),97097,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091V7U9,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),Y956_03716,,Nipponia nippon (Crested ibis) (Ibis nippon),128390,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091VG60,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N337_11926,,Phoenicopterus ruber ruber,9218,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091WCU4,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),Y956_05093,,Nipponia nippon (Crested ibis) (Ibis nippon),128390,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A091WMN4,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N306_12558,,Opisthocomus hoazin (Hoatzin) (Phasianus hoazin),30419,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A091XH44,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N306_04624,,Opisthocomus hoazin (Hoatzin) (Phasianus hoazin),30419,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093ET14,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N340_13238,,Tauraco erythrolophus (Red-crested turaco),121530,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093EVG8,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N341_01314,,Tyto alba (Barn owl),56313,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093EYI9,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N328_09004,,Gavia stellata (Red-throated diver) (Colymbus stellatus),37040,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093FLE5,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N341_03446,,Tyto alba (Barn owl),56313,,344,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093GW03,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N307_02969,,Dryobates pubescens (Downy woodpecker) (Picoides pubescens),118200,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093HEF5,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N308_10210,,Struthio camelus australis,441894,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093HG19,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N308_01579,,Struthio camelus australis,441894,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093I5I3,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N307_03885,,Dryobates pubescens (Downy woodpecker) (Picoides pubescens),118200,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093J6N8,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N327_08079,,Fulmarus glacialis (Northern fulmar),30455,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093L3B3,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N327_02039,,Fulmarus glacialis (Northern fulmar),30455,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093N973,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),AS28_02160,,Pygoscelis adeliae (Adelie penguin),9238,,391,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A093NVC1,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),AS28_01575,,Pygoscelis adeliae (Adelie penguin),9238,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A093SUI6,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N305_14556,,Manacus vitellinus (golden-collared manakin),328815,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A094LCB0,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N338_10225,,Podiceps cristatus (Great crested grebe),345573,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A094NAA9,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N321_12355,,Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis),279965,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A096LSS5,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),,,Poecilia formosa (Amazon molly) (Limia formosa),48698,,515,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A096NF45,unreviewed,"Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Steroid 17-alpha-monooxygenase)",CYP1B1,,Papio anubis (Olive baboon),9555,,547,Inferred from homology,1.14.14.19; 1.14.14.32,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004586}. Microsome memb
A0A096NJQ1,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),CYP46A1,101024697;,Papio anubis (Olive baboon),9555,,500,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A096NMR4,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),CYP1A1,,Papio anubis (Olive baboon),9555,,512,Inferred from homology,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A096NMR5,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),CYP1A2,,Papio anubis (Olive baboon),9555,,516,Inferred from homology,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A096NZT3,unreviewed,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51A1,101018881;,Papio anubis (Olive baboon),9555,,509,Inferred from homology,1.14.14.154,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass me
A0A099ZZL6,unreviewed,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.154) (EC 1.14.14.26) (Cytochrome P450 39A1) (Lanosterol 14-alpha demethylase) (Oxysterol 7-alpha-hydroxylase),N301_15462,,Charadrius vociferus (Killdeer) (Aegialitis vocifera),50402,,448,Inferred from homology,1.14.14.154; 1.14.14.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass mem
A0A0A0AW36,unreviewed,Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1),N301_05435,,Charadrius vociferus (Killdeer) (Aegialitis vocifera),50402,,394,Inferred from homology,1.14.14.25,"SUBCELLULAR LOCATION: Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Endoplasmic reticul"
A0A0A0MPX5,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),CYP1A2,554345;,Felis catus (Cat) (Felis silvestris catus),9685,17975172,512,Inferred from homology,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A0A7DN09,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),,,Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis),103600,,238,Evidence at transcript level,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A0C3SFZ1,unreviewed,Cytochrome P450 1A (EC 1.14.14.1),Cyp1a2,100135513;,Cavia porcellus (Guinea pig),10141,21993624,515,Inferred from homology,1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368045}; Peripheral mem
A0A0D9R2R1,unreviewed,Cytochrome P450 2E1 (EC 1.14.13.n7) (EC 1.14.14.1),CYP2E1,,Chlorocebus sabaeus (Green monkey) (Simia sabaea),60711,,536,Inferred from homology,1.14.13.n7; 1.14.14.1,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU368050}; Peripheral mem
