reaction,enzyme,label,structure_index,positive_reactions
279,65,0,5432,
301,362,0,7123,
495,65,0,3775,
309,110,0,3915,
580,228,0,5762,
280,90,0,4993,
493,137,0,3779,
223,113,0,6285,
384,208,0,5286,
84,229,0,5967,
474,87,0,3465,
342,198,0,1096,
608,55,0,4086,
804,211,0,1391,
296,200,0,4850,
769,160,0,4453,
510,349,0,7078,
261,55,0,5784,
284,122,0,5413,
368,229,0,1640,
680,134,0,830,
95,234,1,1893,"409,911,95"
432,53,0,3514,
148,57,0,3298,
751,243,0,6366,
282,92,0,3628,
786,329,0,6983,
730,113,0,4323,
474,65,0,3699,
881,96,0,6189,
707,70,0,3104,
345,49,0,2672,
429,121,1,816,429
223,96,0,6284,
167,70,0,280,
249,209,1,1364,249
429,91,0,4155,
349,219,0,5643,
801,191,0,1013,
450,204,0,5039,
887,228,1,1592,887
309,49,0,3914,
918,30,0,6397,
164,302,0,6674,
681,122,0,4218,
33,34,0,2340,
889,305,0,6726,
563,102,0,3829,
313,95,0,3716,
505,95,0,3724,
418,137,0,3334,
799,182,0,929,
965,152,0,7181,
257,70,0,4812,
911,339,1,2083,"409,911"
189,49,1,156,"186,189"
317,343,0,7055,
701,86,0,4271,
534,107,1,747,"535,534"
128,229,0,5951,
818,211,0,1410,
918,40,0,6401,
498,57,0,3790,
883,122,0,6020,
787,328,0,6970,
164,49,0,2533,
27,16,0,2216,
508,56,0,2868,
968,230,0,6018,
931,65,0,6693,
394,144,0,4333,
888,228,1,1590,888
281,92,0,3633,
721,144,1,854,"715,716,721"
911,236,1,1895,"409,911,409,911"
259,229,1,1671,259
937,49,0,2569,
424,92,1,588,424
414,48,0,3314,
249,86,0,4792,
804,209,0,1369,
758,150,0,4379,
376,106,0,686,
737,144,1,864,"735,737"
187,335,0,7022,
27,27,0,2258,
234,53,0,3103,
195,206,0,5150,
556,107,0,768,
304,65,1,259,304
942,229,0,5975,
454,65,0,3575,
572,87,0,3436,
884,137,0,5737,
133,291,1,1954,133
257,228,0,5735,
277,202,1,1191,277
553,107,0,763,
787,182,0,4497,
940,203,0,5015,
281,204,1,1236,281
342,67,0,1342,
258,122,0,6112,
254,137,0,5604,
362,202,0,5002,
323,96,0,7136,
558,70,0,3072,
561,107,0,772,
484,91,0,3735,
305,97,0,2947,
285,144,0,4312,
280,230,0,6051,
890,129,0,4204,
703,92,0,3605,
820,202,0,1196,
551,107,0,760,
426,92,1,587,426
892,230,0,1772,
82,48,1,92,"84,82"
816,135,0,4240,
508,102,1,640,508
272,81,0,5212,
323,95,0,3757,
308,230,0,6086,
554,230,0,6090,
198,113,0,5924,
464,305,0,6699,
850,57,0,5512,
781,152,0,4381,
939,306,1,2008,"930,939"
537,122,0,3986,
746,145,1,869,746
886,91,0,5749,
766,153,0,4385,
545,107,1,757,545
890,91,0,6065,
207,122,0,2675,
208,70,1,311,208
144,70,0,2551,
895,127,0,4192,
701,76,1,847,"360,701"
207,91,0,2674,
819,204,0,1239,
544,57,0,4006,
733,49,0,2649,
165,70,0,276,
361,53,0,3214,
704,282,1,1942,704
419,315,0,6851,
410,202,0,4975,
918,26,0,2288,
256,67,1,1336,256
254,97,0,5032,
505,81,0,3827,
257,207,1,1271,257
302,86,0,3235,
301,295,0,6611,
531,107,1,745,"529,531"
816,207,1,1285,816
19,31,1,64,19
192,90,0,2631,
449,200,0,4834,
257,57,0,2754,
420,81,1,507,420
239,229,0,5862,
786,327,0,6966,
351,137,0,3587,
893,229,1,1683,893
466,122,0,3662,
295,65,0,2838,
226,49,0,188,
215,229,0,5958,
675,113,0,4140,
345,87,0,542,
247,81,0,2750,
154,113,0,2583,
306,65,1,258,306
271,110,0,5300,
169,65,0,2909,
813,208,1,1319,"277,813"
877,137,0,6032,
552,113,0,804,
96,70,0,3084,
249,219,1,1495,249
366,201,0,4910,
781,164,1,901,781
240,221,0,5670,
547,86,0,4023,
31,31,0,2151,
840,208,1,1330,840
701,219,0,5631,
448,131,0,4212,
212,229,1,1690,212
223,83,0,3377,
460,55,1,595,"296,460"
206,229,0,1685,
517,200,0,4819,
429,95,0,4187,
167,229,0,1652,
258,207,1,1268,"252,258"
931,305,1,1988,"922,931"
174,48,0,2452,
934,305,1,1989,"357,934"
454,48,0,2436,
300,58,1,247,300
772,156,0,4420,
644,113,1,802,"643,644"
196,95,0,6228,
354,122,0,3594,
81,47,1,90,81
941,57,0,6772,
887,80,0,3305,
548,90,0,4014,
284,67,1,1347,284
150,55,0,2510,
83,50,1,232,83
559,67,0,5430,
891,207,0,5162,
300,91,0,2874,
751,160,0,4367,
447,207,0,5159,
759,152,0,4387,
328,107,0,3981,
941,295,1,1975,"925,941"
95,348,1,2092,"409,911,95"
438,113,0,4141,
379,91,0,3516,
881,229,1,1666,881
257,208,1,1304,257
828,208,1,1311,828
329,305,0,1998,
136,113,0,2535,
396,106,0,717,
883,230,1,1748,883
566,112,0,4049,
534,49,0,2541,
150,53,0,2511,
60,35,0,2350,
454,106,0,3861,
138,291,1,1951,138
818,221,0,1541,
10,40,0,2283,
80,244,0,6370,
790,328,0,6974,
369,230,1,1742,369
150,49,1,110,"101,103,147,150"
474,106,0,3853,
496,57,0,3783,
829,204,1,1230,829
207,346,0,7066,
369,96,0,6172,
944,306,0,6762,
601,106,0,3881,
942,87,0,3492,
305,70,1,265,"293,305"
763,152,0,4380,
247,49,1,212,247
296,362,0,7127,
933,97,0,6748,
485,208,0,5326,
721,80,0,3324,
862,148,0,4357,
25,27,0,2239,
474,95,1,607,474
150,208,0,5299,
942,346,0,7067,
136,137,0,6548,
342,191,0,1019,
173,49,0,142,
746,361,0,7107,
276,122,0,5420,
704,277,1,1937,704
711,200,0,4818,
251,228,0,5823,
690,135,1,835,"688,690"
444,91,1,561,"445,444"
884,110,0,5885,
664,65,0,4139,
942,53,0,6805,
358,95,0,3491,
254,87,0,3480,
546,107,1,755,546
908,122,0,6013,
788,166,1,907,788
131,49,1,125,131
399,106,0,725,
320,144,0,4324,
19,44,1,87,19
213,228,0,1607,
770,162,0,4464,
394,113,0,3274,
230,122,0,2718,
891,48,0,5917,
361,113,0,4129,
409,95,0,3701,
89,91,0,2459,
81,37,0,2431,
604,70,0,3057,
942,295,0,6610,
414,49,0,2516,
294,91,0,2822,
139,86,0,6552,
536,83,0,3381,
931,83,0,3385,
572,109,1,780,572
255,67,1,1339,255
492,137,0,3762,
19,262,1,1922,19
816,81,0,5081,
274,67,0,1350,
791,168,0,6856,
891,228,1,1593,891
323,48,0,7137,
704,284,1,1944,704
572,204,0,5054,
441,200,0,4846,
69,34,0,2349,
829,207,1,1283,829
220,96,0,6093,
939,295,1,1973,"930,939"
240,70,0,344,
839,311,0,6814,
465,201,0,4854,
441,57,0,3554,
895,228,1,1623,895
828,201,1,1152,828
21,0,1,12,21
943,57,0,6733,
279,49,1,225,279
832,49,0,2673,
804,198,0,1092,
774,160,1,897,774
400,106,0,729,
775,225,0,5703,
368,228,0,1556,
433,87,1,547,433
564,186,0,954,
95,91,0,6321,
470,90,0,3690,
409,53,0,7045,
420,48,0,3342,
212,81,0,2682,
83,97,0,6596,
174,212,0,5527,
408,106,0,3952,
939,91,0,6720,
236,230,0,6107,
520,87,0,3461,
87,204,0,5050,
272,48,0,5500,
277,86,0,5428,
295,49,0,2753,
185,70,1,295,185
918,10,0,2193,
943,72,0,3140,
942,48,0,6844,
918,22,0,6388,
965,156,0,7177,
840,113,0,5357,
695,113,0,4254,
704,81,0,6509,
93,110,0,2470,
931,49,0,2653,
185,95,0,2999,
136,91,0,3508,
249,113,0,5453,
417,82,1,509,417
633,86,0,4110,
418,83,1,516,418
565,49,0,2776,
258,228,1,1627,258
83,91,0,2815,
14,34,0,2307,
705,215,0,5571,
819,200,0,1135,
672,115,1,810,672
238,48,0,6117,
823,211,0,1414,
300,65,0,2887,
911,122,0,7077,
86,48,1,93,86
165,230,0,1732,
65,27,0,2411,
95,53,0,7032,
281,208,1,1322,281
228,122,0,2710,
776,148,0,4356,
758,153,0,4384,
295,113,0,4080,
9,40,0,2163,
934,53,0,6609,
937,113,0,6717,
176,94,0,3672,
822,211,0,1415,
238,49,1,200,238
332,304,0,6682,
491,88,0,3496,
804,191,0,1015,
84,70,0,2910,
280,137,0,2779,
513,113,0,3863,
541,107,1,753,541
198,133,0,4221,
949,183,0,6877,
434,91,1,552,"430,434"
931,113,0,6740,
433,48,0,3486,
550,107,0,762,
258,90,0,6304,
361,55,0,3215,
133,137,0,6557,
537,49,0,2740,
916,37,0,2369,
311,200,0,4803,
935,65,0,6756,
418,215,0,5570,
225,228,0,5807,
910,306,0,6763,
173,106,0,675,
95,97,0,7088,
340,70,0,2960,
816,91,0,4833,
450,207,0,5259,
255,91,0,5116,
714,87,0,3409,
233,82,0,3373,
302,122,0,3227,
19,4,0,6589,
508,137,0,3830,
32,28,1,56,32
933,48,0,2441,
786,174,1,921,786
628,230,0,6114,
568,300,0,6666,
173,229,0,1654,
890,230,1,1763,890
249,207,1,1266,249
254,187,1,974,254
415,80,1,501,415
681,87,0,3481,
416,91,0,3528,
403,80,0,3308,
804,203,0,1207,
841,55,0,5401,
60,251,0,6394,
289,70,0,3112,
573,57,0,4051,
965,366,1,2125,965
801,187,0,969,
230,70,1,335,230
895,122,0,6296,
144,91,0,3521,
285,67,1,1359,285
937,295,1,1972,"353,937"
536,96,0,3982,
761,150,0,4435,
884,97,0,6036,
836,305,0,6722,
748,377,0,7191,
83,81,0,6597,
423,97,0,3359,
490,95,1,622,490
325,91,0,3561,
82,49,0,2676,
70,246,0,6379,
829,97,0,5072,
547,53,0,4022,
331,228,0,5799,
409,56,0,2869,
303,65,1,255,"294,303"
508,113,0,4105,
769,159,0,4419,
910,207,0,5170,
196,48,0,2647,
161,106,0,667,
254,141,0,4277,
202,229,0,1681,
942,314,1,2026,942
78,28,0,2297,
941,202,0,4998,
447,67,0,5367,
822,200,0,4790,
537,107,1,749,"510,537"
208,65,0,3054,
813,200,1,1129,"277,813"
318,70,1,350,318
425,113,0,3386,
816,53,0,5324,
302,65,1,254,302
438,91,1,556,438
704,279,1,1939,704
747,374,0,7178,
181,228,0,1575,
506,106,0,3868,
859,151,0,4377,
288,65,0,5345,
86,90,0,2443,
311,113,0,2975,
409,65,0,2916,
230,97,0,2719,
912,144,0,4297,
35,6,0,2176,
899,139,0,4265,
525,91,0,3903,
258,60,0,2884,
944,332,1,2076,944
95,65,0,6316,
619,208,0,5335,
431,310,0,6806,
10,37,0,2368,
664,306,0,6750,
481,228,0,5766,
209,86,0,3950,
32,29,1,57,32
243,230,0,1802,
918,251,1,1911,918
425,144,0,4340,
846,221,1,1547,846
256,206,1,1258,256
928,48,0,6777,
821,211,0,1413,
161,200,0,4843,
485,305,0,6710,
281,53,0,5341,
678,113,0,4065,
890,65,0,6240,
505,102,1,639,505
170,87,0,3413,
781,150,0,4470,
816,96,0,5504,
367,113,0,3218,
165,106,0,669,
271,213,0,5542,
226,70,0,328,
427,49,0,2660,
890,90,0,6064,
840,229,0,5998,
212,57,0,5949,
212,107,0,4021,
821,100,0,3821,
776,160,1,895,776
672,49,0,2764,
448,53,0,3567,
427,55,0,3478,
400,92,0,3637,
16,27,0,2292,
169,208,0,5339,
438,122,0,3523,
160,198,0,4755,
304,229,0,5971,
417,81,1,504,417
446,91,1,565,446
164,209,0,5454,
308,228,0,1557,
252,55,0,5020,
302,97,0,3234,
487,55,0,3746,
441,70,0,3020,
323,70,1,354,323
255,97,0,4880,
816,107,0,3969,
150,228,0,5771,
261,201,1,1143,"256,261"
183,207,0,5258,
803,211,0,1390,
32,30,0,2309,
69,26,0,2289,
466,55,1,598,"292,466"
965,150,0,7180,
823,67,0,1361,
761,156,1,882,761
425,55,0,3669,
265,49,0,2748,
290,90,0,2806,
342,201,0,1149,
955,328,0,6975,
679,67,0,5434,
531,65,0,3971,
908,70,0,3009,
252,189,1,990,252
280,113,0,5220,
285,107,0,4005,
669,57,0,4151,
786,176,1,923,786
271,57,0,5301,
510,229,0,5987,
169,78,0,3237,
805,186,0,961,
342,211,0,1395,
548,208,0,5315,
196,67,0,5439,
733,295,0,6603,
909,160,0,4444,
464,113,0,4100,
254,96,0,5585,
799,183,0,930,
165,49,0,136,
242,70,0,343,
906,113,0,6257,
258,57,0,6113,
297,201,0,4902,
447,49,0,2801,
758,149,0,4368,
411,295,0,6606,
220,95,0,2699,
199,81,0,5921,
213,87,0,3468,
566,107,0,777,
130,113,0,4061,
689,134,1,834,689
530,122,0,3963,
271,83,0,3389,
209,97,0,3270,
294,90,0,2823,
441,91,1,564,441
619,229,0,5962,
175,230,0,1745,
697,135,0,4241,
789,326,0,6954,
452,143,0,4285,
139,48,0,6553,
885,200,0,4827,
340,144,0,4289,
489,91,0,3767,
911,81,0,7076,
252,97,0,4588,
176,49,0,146,
573,87,0,3429,
619,48,0,4099,
911,228,1,1898,"409,911,409,911"
19,35,1,72,19
192,95,0,3019,
69,30,1,58,69
363,113,0,4081,
560,107,0,770,
432,91,1,554,432
409,314,0,6839,
176,113,0,4056,
801,333,0,7014,
209,90,0,3059,
426,113,0,3471,
685,201,0,4862,
821,200,0,4814,
895,73,0,3144,
483,86,0,3742,
888,67,0,5399,
447,230,0,6118,
252,65,0,5557,
453,49,0,3579,
166,106,0,670,
367,87,1,535,367
206,49,0,173,
236,207,0,5239,
751,365,0,7143,
235,70,0,341,
271,87,0,3473,
303,191,0,4638,
60,253,0,6402,
227,70,0,331,
871,156,0,4421,
130,49,1,114,"112,108,142,130"
247,202,1,1172,247
364,70,0,3005,
821,97,0,3809,
818,200,0,1133,
254,65,0,4973,
816,67,1,1352,816
171,229,0,1653,
736,91,0,4334,
482,230,0,6002,
719,87,0,3445,
287,113,0,4945,
238,211,0,5503,
342,187,0,975,
320,362,1,2110,320
258,96,0,5104,
19,264,1,1924,19
918,35,0,6381,
512,96,0,3855,
260,122,0,2483,
816,113,0,5325,
646,113,0,803,
941,207,0,5158,
181,230,0,1743,
701,90,0,4270,
27,266,0,6447,
679,113,0,4198,
438,221,0,5658,
759,153,1,879,759
159,229,1,1638,159
886,228,1,1588,886
369,91,0,6173,
460,53,0,3651,
910,80,0,3304,
805,211,0,5490,
452,203,0,5035,
322,86,0,3134,
249,212,1,1418,249
429,81,0,4174,
290,49,1,230,290
83,270,1,1930,83
95,338,1,2082,"409,911,95"
794,169,1,916,794
231,49,0,2548,
449,291,0,6559,
256,198,1,1090,256
565,201,0,4927,
401,271,0,6466,
407,106,0,741,
258,86,0,5377,
409,107,0,4008,
462,96,0,3646,
933,55,0,6700,
818,338,0,7035,
841,67,1,1343,841
99,92,0,3621,
303,137,0,3659,
150,339,0,7039,
484,306,0,6779,
317,228,0,1633,
237,49,0,2472,
328,206,0,5142,
79,43,0,2417,
10,30,0,2305,
79,32,0,2332,
281,90,0,5088,
213,229,0,5979,
694,137,1,839,694
229,228,1,1620,229
260,221,1,1526,"262,260"
507,86,0,3835,
557,107,0,766,
272,53,0,4989,
898,67,0,5387,
895,106,0,3921,
604,65,0,4082,
170,228,0,5758,
361,95,0,3796,
447,92,0,3624,
252,48,0,5617,
660,82,0,3349,
200,65,0,3043,
912,230,0,6087,
32,27,1,55,32
821,208,0,1326,
744,382,0,7211,
492,49,0,2529,
899,284,0,6518,
14,38,0,2376,
229,229,1,1704,229
224,228,0,5754,
705,295,0,6615,
254,211,1,1394,254
288,86,0,5344,
675,91,0,3549,
883,229,1,1664,883
433,90,0,3487,
801,215,0,1454,
763,366,0,7147,
166,70,0,277,
429,131,1,827,429
466,92,0,3584,
911,238,1,1897,"409,911"
451,49,0,2737,
32,6,1,22,32
255,95,0,4708,
379,106,0,688,
537,130,0,4209,
191,70,1,299,191
247,206,1,1256,247
680,230,0,6071,
174,336,0,7026,
355,189,0,4615,
272,202,1,1187,272
901,53,0,6249,
80,33,0,2337,
210,229,0,5911,
259,124,0,4180,
794,184,0,4556,
410,228,0,5806,
333,229,0,5919,
99,49,1,108,99
737,202,0,4991,
303,55,1,597,"294,303"
549,102,0,3828,
596,106,0,3892,
694,122,0,4251,
517,92,0,3632,
261,91,0,4965,
19,268,1,1928,19
704,283,1,1943,704
161,76,0,3228,
965,370,1,2129,965
187,70,1,294,187
799,329,0,6982,
345,80,0,494,
282,207,1,1290,282
355,92,1,575,355
170,91,0,3576,
506,113,0,3843,
697,229,0,5982,
216,230,1,1778,"261,216"
352,49,0,3467,
422,53,0,3367,
173,230,0,6102,
911,91,0,7069,
189,70,1,296,"186,189"
443,49,0,2701,
354,110,0,3595,
279,97,0,4921,
245,70,0,347,
227,49,0,2808,
790,166,1,908,790
742,229,0,5890,
805,213,0,1435,
891,90,0,6056,
522,65,0,2908,
549,137,0,4026,
252,113,0,5669,
601,229,0,6326,
230,208,0,5323,
170,67,0,5403,
254,196,1,1073,254
410,49,0,2576,
438,202,0,4962,
25,292,0,6587,
280,65,0,4909,
366,200,0,4831,
138,81,0,6545,
251,94,0,933,
245,106,0,740,
272,122,0,4988,
192,200,0,4822,
300,90,0,2886,
937,81,0,6629,
596,196,0,4710,
85,201,0,4898,
915,344,0,7058,
903,352,0,7090,
442,57,0,3551,
483,106,0,3956,
886,86,0,6213,
828,49,0,5408,
765,152,0,4415,
711,306,0,6771,
813,70,0,4917,
220,113,0,2698,
615,52,0,2848,
500,81,0,3819,
918,253,1,1913,918
78,19,0,2229,
166,221,0,5694,
804,206,0,1260,
226,230,0,1784,
900,48,0,6137,
524,206,0,5151,
254,191,1,1018,254
167,144,0,4293,
161,211,0,5510,
805,195,0,1060,
742,144,0,867,
267,204,0,1226,
789,178,0,4554,
678,207,0,5203,
249,81,0,5012,
926,122,0,6625,
177,230,0,1741,
577,113,1,785,"574,576,578,579,577"
178,229,0,5886,
775,160,1,894,775
326,73,1,358,326
408,110,0,3294,
705,195,0,4694,
601,113,1,791,"600,601"
32,14,1,32,32
954,330,0,6990,
453,70,0,3021,
76,0,1,3,76
805,204,0,1219,
911,343,1,2087,"409,911"
160,49,0,130,
408,80,1,491,"402,408"
495,95,1,626,495
973,67,0,5414,
954,316,0,6867,
438,95,0,3748,
199,229,1,1678,199
285,55,0,5348,
818,55,0,3660,
289,57,0,2775,
489,228,0,5763,
533,48,0,3974,
225,230,0,6026,
170,106,0,668,
392,211,0,5507,
701,339,0,7038,
353,87,1,529,353
315,209,0,5455,
280,122,0,5076,
249,211,1,1386,"835,249"
884,87,0,3472,
805,94,0,939,
685,122,0,4222,
813,95,0,3697,
816,57,0,5505,
822,207,0,1295,
823,229,0,5995,
60,34,1,70,"57,60"
931,306,1,2001,"922,931"
908,48,0,6012,
369,126,0,4189,
508,55,0,3648,
272,91,0,4904,
818,208,0,1323,
235,49,0,2717,
583,113,1,787,"586,585,587,583"
82,64,0,2900,
564,187,0,965,
819,207,0,1292,
313,106,0,697,
280,202,1,1189,"276,280"
542,314,0,6843,
926,295,1,1971,926
282,110,0,5437,
641,55,0,2861,
883,228,1,1580,883
300,350,0,7082,
801,186,0,958,
769,365,0,7142,
884,229,1,1669,884
262,55,0,5189,
805,191,0,1016,
777,145,0,4458,
424,57,0,7112,
500,100,1,637,500
887,208,0,5266,
944,95,0,6833,
258,202,1,1173,"252,258"
804,196,0,1070,
799,316,0,6866,
238,113,0,6309,
704,97,0,6484,
212,70,1,318,212
247,91,0,5664,
70,37,0,2310,
532,221,0,5695,
933,230,0,6054,
879,228,1,1561,879
944,130,0,4208,
258,113,0,5989,
965,381,0,7206,
252,122,0,4636,
351,113,0,3586,
159,295,0,6635,
819,107,0,3988,
829,65,0,5217,
159,208,0,5262,
292,57,0,2915,
209,49,1,176,209
366,106,0,659,
500,70,0,3806,
804,204,0,1218,
777,161,1,898,"778,777"
342,202,0,1180,
898,228,1,1612,898
893,110,0,6252,
14,30,1,59,14
511,305,0,6690,
16,33,0,2336,
354,92,1,574,354
184,58,0,2877,
830,229,0,5939,
134,49,1,119,"118,124,134"
256,208,1,1302,256
491,198,0,4751,
823,207,0,5218,
138,290,1,1950,138
223,81,0,6096,
291,106,0,3864,
311,96,0,6149,
429,48,0,4163,
97,230,0,6034,
474,49,0,2540,
933,306,1,2003,"923,933"
633,228,0,5815,
228,67,0,5442,
842,198,0,4747,
675,90,0,4183,
575,235,0,6335,
383,82,0,3352,
509,104,1,642,509
891,53,0,6057,
70,31,0,2311,
473,306,0,6735,
881,48,0,5873,
423,91,0,3383,
428,91,0,3483,
473,201,0,4915,
523,229,0,5883,
280,57,0,4992,
522,70,0,2989,
679,128,1,824,679
128,91,0,2563,
849,156,0,4424,
816,201,1,1159,816
424,362,1,2107,424
272,211,1,1402,272
498,86,0,3791,
302,81,0,2902,
500,204,0,5043,
534,48,0,3978,
511,49,0,2536,
401,97,0,3283,
242,49,0,2745,
259,211,0,5502,
346,233,0,6323,
694,306,0,6743,
284,211,1,1400,"848,284"
884,91,0,3509,
261,48,0,5957,
288,53,0,5440,
252,53,0,5556,
804,215,0,1456,
352,65,0,2913,
345,206,0,5130,
846,49,0,5696,
949,316,1,2033,"948,949"
91,70,0,2474,
389,207,0,5186,
364,91,0,3435,
405,87,0,3469,
144,230,0,6074,
819,202,0,1197,
714,49,0,2484,
265,341,0,7046,
257,95,0,5389,
511,90,0,3851,
709,143,1,850,"708,709"
496,229,0,5927,
174,107,0,4001,
288,81,0,2798,
226,228,0,1616,
272,201,1,1156,272
254,201,1,1148,254
690,81,0,4235,
207,230,0,6055,
805,202,0,1177,
541,128,0,4201,
304,49,0,2565,
85,95,0,3777,
252,90,0,4744,
409,80,1,498,409
215,106,0,714,
911,346,1,2090,"409,911"
224,95,0,3765,
288,208,1,1324,288
254,204,1,1221,254
335,95,0,3781,
227,228,0,1619,
320,70,1,352,320
369,90,0,3911,
429,55,0,4211,
167,106,0,673,
448,113,0,4064,
225,49,0,189,
53,27,0,2263,
787,168,0,4496,
944,113,0,6841,
485,95,1,617,485
83,271,1,1931,83
709,94,0,4570,
522,110,0,3891,
318,76,0,4273,
801,219,0,1498,
772,224,0,4430,
233,49,1,196,233
280,55,0,2778,
417,66,0,2932,
53,4,0,2262,
474,204,0,5075,
225,106,0,3957,
523,106,1,657,523
165,48,0,2440,
568,49,0,2544,
128,97,0,5308,
304,81,0,2923,
568,70,0,3101,
254,90,0,5120,
131,96,0,2571,
801,212,0,1421,
954,321,0,6914,
205,106,0,705,
454,204,0,5079,
162,106,0,665,
174,49,0,139,
415,204,0,5047,
223,97,0,3083,
633,107,0,3968,
229,48,0,5976,
351,95,0,3154,
364,122,0,3434,
249,215,1,1451,249
251,187,0,966,
162,95,0,3788,
247,53,0,5129,
777,152,0,4459,
799,181,0,928,
272,204,1,1229,272
309,81,0,2978,
531,92,0,3609,
482,288,0,6535,
189,108,0,4033,
200,96,0,3266,
342,206,0,1264,
235,107,0,3977,
916,44,0,2421,
19,47,0,6453,
644,87,0,3420,
714,48,0,4294,
220,230,1,1780,"898,220"
820,87,0,3448,
704,285,1,1945,704
816,137,0,4997,
734,144,1,861,734
134,55,0,6561,
255,208,1,1305,255
295,203,0,5027,
822,221,0,1546,
884,208,0,5318,
805,189,0,994,
177,228,0,1573,
303,230,0,6078,
35,40,0,2388,
170,204,0,5070,
894,228,1,1594,894
231,228,0,1622,
309,106,1,680,309
271,271,0,6467,
414,306,0,6738,
425,81,0,3387,
748,148,1,873,748
900,65,0,5836,
758,152,1,878,758
160,228,0,1558,
940,55,0,2860,
799,318,0,6903,
261,221,1,1520,"256,261"
257,201,1,1145,257
81,44,0,2420,
238,137,0,2731,
815,67,0,1349,
318,53,0,3115,
33,246,0,6378,
300,95,0,3756,
161,49,0,134,
816,49,0,4912,
352,57,0,3623,
417,277,0,6490,
537,207,0,5183,
174,228,0,1567,
450,92,0,580,
763,156,1,883,763
309,95,0,5857,
277,204,1,1233,277
479,53,0,3714,
789,169,0,4519,
177,70,0,285,
202,49,0,169,
284,53,0,5412,
886,137,0,5897,
781,148,0,4361,
267,70,0,3109,
414,80,1,500,414
258,230,1,1795,258
888,86,0,6221,
641,106,0,3893,
804,202,0,1176,
329,238,0,6346,
434,207,0,5246,
941,122,0,6725,
72,0,1,5,72
193,70,1,301,193
766,145,0,4406,
397,230,0,1776,
284,81,0,5493,
162,229,0,1644,
805,219,0,1501,
805,87,0,3405,
442,284,0,6519,
323,86,0,3126,
333,198,0,4739,
80,30,0,2375,
944,315,1,2029,944
399,56,0,2865,
282,291,0,6546,
916,35,0,2361,
830,82,0,3369,
259,65,0,5680,
256,97,0,5380,
291,57,0,2873,
940,90,0,6780,
242,230,0,1799,
426,295,0,6634,
949,168,0,6893,
813,65,0,4916,
884,90,0,6037,
252,187,1,968,252
19,293,1,1962,19
776,240,0,6355,
386,137,0,4257,
949,318,1,2045,"948,949"
261,137,0,2691,
265,221,0,1529,
803,212,0,1422,
213,49,0,179,
259,49,1,159,"191,255,259"
288,189,0,4619,
509,91,0,3838,
183,230,0,1747,
