structure_index,pdb_name,drive_file_id,found_in_drive_metadata,is_trainable_in_exp003_manifest,trainable_rows,expected_size,exists,actual_size,size_match,looks_like_pdb,atom_lines,hetatm_lines,has_heme,has_fe,has_heme_and_fe,heme_line_count,fe_line_count,heme_resnames,fe_resnames
36017,36017.pdb,1LoeS5-oOj5IhakefEouloe04U0U6snFg,True,True,1,653037,True,653037,True,True,8165,24,False,False,False,0,0,,
36205,36205.pdb,1jC-azJ6ucLoLg2-bxUqxAXT_0pmNLNQP,True,True,1,643843,True,643843,True,True,8082,3,False,False,False,0,0,,
36311,36311.pdb,1XH6nopkzN3t5yWezuOG8WIoC57r3NCKs,True,True,1,593332,True,593332,True,True,7419,20,False,False,False,0,0,,
37291,37291.pdb,1aKF4z39X3Gts1cUwAHREZ1AHMPf-Tq3s,True,True,1,630182,True,630182,True,True,7888,18,False,False,False,0,0,,
37298,37298.pdb,1XBFz0Pr43fZyRjp1u4GkAeG58IVmm42w,True,True,1,651140,True,651140,True,True,8136,22,False,False,False,0,0,,
37408,37408.pdb,1UkA_PjNe5lrIMPNSMcIpDY9JHJfBnXSb,True,True,1,671165,True,671165,True,True,8375,32,False,False,False,0,0,,
37926,37926.pdb,1QQlUrKT7zJklUK8lcniEQmoB1LDlmKPx,True,True,1,498750,True,498750,True,True,6264,0,False,False,False,0,0,,
38015,38015.pdb,1rTj0beX7bNz1NIWHvestpAMvJDjElu3f,True,True,1,683243,True,683243,True,True,8539,22,False,False,False,0,0,,
38199,38199.pdb,1g-okS2tfV7UFUl8yPefDYLlsi9MIVFiZ,True,True,1,601444,True,601444,True,True,7526,18,False,False,False,0,0,,
38200,38200.pdb,1MJS-bRa4yBZgPOfSXcEDUsexJYGBk-1V,True,True,1,653343,True,653343,True,True,8179,19,False,False,False,0,0,,
38452,38452.pdb,1hDTotLkIe2pPSaqaLDXTvclY2k-xDkGO,True,True,1,652050,True,652050,True,True,8179,10,False,False,False,0,0,,
38706,38706.pdb,1zRJVkX6PT1-1u7T39AFTmiFNtVkN-IQy,True,True,1,652210,True,652210,True,True,8163,20,False,False,False,0,0,,
39678,39678.pdb,17KvuN2aKPVfCh0zU-QEo0kUFK5hhf_Ia,True,True,1,652338,True,652338,True,True,8156,24,False,False,False,0,0,,
40090,40090.pdb,1RXOrA8DCmE_uq0fozwiAi2npFq8F9kup,True,True,1,593026,True,593026,True,True,7419,18,False,False,False,0,0,,
40202,40202.pdb,1v0QcDDYIaom_h3pCFqHNo4dUNJT17ZkT,True,True,1,646514,True,646514,True,True,8064,32,False,False,False,0,0,,
40212,40212.pdb,1A5E6fBrWZj2fgjQJkORlE5EgIkQNp971,True,True,1,650561,True,650561,True,True,8124,28,False,False,False,0,0,,
40274,40274.pdb,18CaUYrc_sB-O5-06VMFOQyzY3b8zZeQ4,True,True,1,665672,True,665672,True,True,8346,12,False,False,False,0,0,,
40403,40403.pdb,1GyPiAdFTq7ZXBzsWJbrg2eUNyhJtOHm2,True,True,1,632993,True,632993,True,True,7929,15,False,False,False,0,0,,
40711,40711.pdb,1G9SxJERNHZYt5wryoD5zRqGv6xK9KoiD,True,True,1,649140,True,649140,True,True,8106,28,False,False,False,0,0,,
40786,40786.pdb,1hfqlsj6svkkJCL21RANcQmikFArYLZgM,True,True,1,634166,True,634166,True,True,7942,16,False,False,False,0,0,,
41053,41053.pdb,1LKV2m23Jdm0lmjlDSzF0JGftmnewIRoM,True,True,1,681084,True,681084,True,True,8509,24,False,False,False,0,0,,
41830,41830.pdb,1l8u2aH4wstPPCHxid5ypXkDkLZCf2ieo,True,True,1,642969,True,642969,True,True,8045,20,False,False,False,0,0,,
42064,42064.pdb,1KB2sHxXpbcRwsl0b9MYO6dRSNNqJvSLe,True,True,1,671937,True,671937,True,True,8409,21,False,False,False,0,0,,
42253,42253.pdb,1a_ihmOZPArhcgPZ8vYCGrdCUuhugp57E,True,True,1,683646,True,683646,True,True,8539,24,False,False,False,0,0,,
42966,42966.pdb,1e2CVDaJdoESibSgq-UH6W4o-TDpnUBXb,True,True,1,636471,True,636471,True,True,7958,23,False,False,False,0,0,,
43249,43249.pdb,1cFv5d5cbBEPR4PzQNgvEpUErVz17AxbV,True,True,1,626558,True,626558,True,True,7827,25,False,False,False,0,0,,
43319,43319.pdb,1bhfWlTTtqTErl2sX8SyuQC4BuQ7OZmQb,True,True,1,628526,True,628526,True,True,7862,21,False,False,False,0,0,,
43407,43407.pdb,1vGf2ouaBx9MDQEXplsnZ49oyJFplWLBt,True,True,1,605874,True,605874,True,True,7580,19,False,False,False,0,0,,
43443,43443.pdb,1oH7iCccuD2qw0wtW92DaT6FPFXAcVniO,True,True,1,651007,True,651007,True,True,8139,24,False,False,False,0,0,,
43701,43701.pdb,1G_IyMcg4cA44IdXsX9kXB6uY7BgFR_KJ,True,True,1,677222,True,677222,True,True,8452,30,False,False,False,0,0,,
43712,43712.pdb,1C9UefvPgkSX4JUmibRNUacK1B9WdWWFZ,True,True,1,640301,True,640301,True,True,7991,29,False,False,False,0,0,,
43738,43738.pdb,1joE0IoTfTWO1oTzo7ZjFxw4ItLK--J8d,True,True,1,593385,True,593385,True,True,7419,20,False,False,False,0,0,,
43980,43980.pdb,1b2AttijLxRovVfMDI4l441wkBwNkuwzP,True,True,1,635854,True,635854,True,True,7935,29,False,False,False,0,0,,
44391,44391.pdb,1Jn4Uc-Y-KWzoWIYux_5pGBMtPCUyJJMF,True,True,1,593385,True,593385,True,True,7419,20,False,False,False,0,0,,
44615,44615.pdb,1ke7U-e9Dkgu3VL82ZaqwB6SYrpDxXeNd,True,True,1,652803,True,652803,True,True,8139,34,False,False,False,0,0,,
45160,45160.pdb,1VoCa7xg1mwvRRYiM1RMDopgX8U_JNxFz,True,True,1,593033,True,593033,True,True,7419,18,False,False,False,0,0,,
45222,45222.pdb,1zdXB9VnEDQtqxfri2BjaaootwOZ9CFR7,True,True,1,647442,True,647442,True,True,8086,25,False,False,False,0,0,,
45259,45259.pdb,1KYX_X8bWRvrOdjcU0EUdJGbFLlrQ9GYd,True,True,1,665520,True,665520,True,True,8346,11,False,False,False,0,0,,
45500,45500.pdb,1AFMorR4fbvzr5NKa7zsX6jnA9KReOkzz,True,True,1,654699,True,654699,True,True,8186,24,False,False,False,0,0,,
45567,45567.pdb,1UHgthPSubT4ghKNykeYSkFpglqleDp7s,True,True,1,696314,True,696314,True,True,8725,15,False,False,False,0,0,,
45581,45581.pdb,1t2S5JuwGdCCcu26vt2z7Pug0e5WSik9B,True,True,1,653059,True,653059,True,True,8139,35,False,False,False,0,0,,
45684,45684.pdb,1Nt6hqGCxJ_1jMpBA5bp7KTm0zZjWiTG3,True,True,1,663079,True,663079,True,True,8279,31,False,False,False,0,0,,
45902,45902.pdb,1wrxueyd-Z2tXDIq-DtOsR9CY5iH9eyXO,True,True,1,630968,True,630968,True,True,7929,2,False,False,False,0,0,,
46983,46983.pdb,14t7etBfoYyNV3fUIpSj6GQRPzORmdgAM,True,True,1,640036,True,640036,True,True,7999,24,False,False,False,0,0,,
47148,47148.pdb,19_NBHgiZd_nWIWDBG8YGrUbyUAhiNQeu,True,True,1,511409,True,511409,True,True,6409,8,False,False,False,0,0,,
48105,48105.pdb,15ON4snusXE5LgSxxZb6VGHjPPjhhfLPJ,True,True,1,593184,True,593184,True,True,7419,19,False,False,False,0,0,,
48269,48269.pdb,12E7dMUrVMD9XHxIpqssFpBKym9e7Is_8,True,True,1,672017,True,672017,True,True,8429,11,False,False,False,0,0,,
48795,48795.pdb,1mwefBf6D2BGB4D5KbhOolgt2XO1wExjQ,True,True,1,547005,True,547005,True,True,6836,21,False,False,False,0,0,,
49502,49502.pdb,1MsUxlqS86H2B1I24u6cuAGsmBzFibWRL,True,True,1,637993,True,637993,True,True,7977,23,False,False,False,0,0,,
49663,49663.pdb,16FWOJKFdTdLWNlzsgZSw_gKS0yc1iOvw,True,True,1,646805,True,646805,True,True,8074,29,False,False,False,0,0,,
49827,49827.pdb,1d4K5mWOI3K5bFjJ-vxSM0s1J7rqVUBQk,True,True,1,677127,True,677127,True,True,8453,31,False,False,False,0,0,,
49834,49834.pdb,1CVXmD2YxfpFh9EexBhDOoYOBrgU5hxrX,True,True,1,672535,True,672535,True,True,8407,22,False,False,False,0,0,,
49847,49847.pdb,1n4R64VoydHd8xrFCYG4mnrCR5XhqHJVi,True,True,1,659714,True,659714,True,True,8284,6,False,False,False,0,0,,
50173,50173.pdb,1n0jt76AuqTMdn-yrIZZkFu_J8CtrcU9r,True,True,1,682815,True,682815,True,True,8539,21,False,False,False,0,0,,
50735,50735.pdb,1gW0kHXCQHDDAzA6d29R6UpvD3_c7nqaU,True,True,1,665503,True,665503,True,True,8328,21,False,False,False,0,0,,
51357,51357.pdb,1oXY0U_0GXrDLcXP1-ak31j7UQ5XhwCIt,True,True,1,668028,True,668028,True,True,8343,29,False,False,False,0,0,,
51408,51408.pdb,1b-y6uUh1QaJBhqBJyxS0z0kbIOx038PC,True,True,1,647148,True,647148,True,True,8077,30,False,False,False,0,0,,
51591,51591.pdb,1B8RFLOxmW1GS8QpJtDdlilT7-VlobGKn,True,True,1,593033,True,593033,True,True,7419,18,False,False,False,0,0,,
51893,51893.pdb,1cfSR2rFD_1j3yK6DlalIh8qiz77hwbRL,True,True,1,637654,True,637654,True,True,7984,17,False,False,False,0,0,,
52036,52036.pdb,1SICByLO7j7NOmLEHzkzqrs8bU1jBkTX0,True,True,1,661876,True,661876,True,True,8275,20,False,False,False,0,0,,
52188,52188.pdb,1oVrnqiRdgzGnwnGwCo3hxTm3Zd7vkWmx,True,True,1,615946,True,615946,True,True,7690,26,False,False,False,0,0,,
52294,52294.pdb,19-f4ZCbNj3Rtrvj3ez_Jqxpfk4u1CryK,True,True,1,652056,True,652056,True,True,8163,19,False,False,False,0,0,,
52410,52410.pdb,1WmOM08lZD5Q2h1cGQczlNwf5UlKgwyS5,True,True,1,649829,True,649829,True,True,8113,29,False,False,False,0,0,,
52687,52687.pdb,12_QEnUXrh-OrjmduduWE6PV2aAPmsBQt,True,True,1,649730,True,649730,True,True,8116,27,False,False,False,0,0,,
53262,53262.pdb,1L0Hqq1cS4Ab-4UQTCCzMM-o-o_D1CSoL,True,True,1,617204,True,617204,True,True,7701,31,False,False,False,0,0,,
53503,53503.pdb,18n2MkAAiO-VWZhoArYVZr0zYJNCLLwkP,True,True,1,644549,True,644549,True,True,8065,20,False,False,False,0,0,,
53594,53594.pdb,1vF_CuWwG93gEiXpoFSUAklfwvZQ6ivZe,True,True,1,677070,True,677070,True,True,8452,29,False,False,False,0,0,,
53769,53769.pdb,1MMlOmCO9KBcBZbV-c6rItN4o-4PPGEQA,True,True,1,593537,True,593537,True,True,7419,21,False,False,False,0,0,,
54041,54041.pdb,1ITX93Xx2NTPs-sff-AsVjf1NNKhgoHeL,True,True,1,612907,True,612907,True,True,7655,22,False,False,False,0,0,,
54224,54224.pdb,1qrJuXHQ5yeW08kNZNkiLkJzBzoDRNI9W,True,True,1,683484,True,683484,True,True,8563,14,False,False,False,0,0,,
54490,54490.pdb,1v0X-DM4htIiv1PVdO5P1QFuSLb-jaFEy,True,True,1,652450,True,652450,True,True,8139,31,False,False,False,0,0,,
54495,54495.pdb,1x4eksWBv1nfkBnxDaa90pCZjGYnpJy2m,True,True,1,611150,True,611150,True,True,7680,2,False,False,False,0,0,,
54715,54715.pdb,1hShasB1bWTk1ad8734ByFb4MUaFcOpPO,True,True,1,530449,True,530449,True,True,6601,34,False,False,False,0,0,,
54814,54814.pdb,1Xt0LKe9Za9E75H659jaZqstFvKtqD00n,True,True,1,675378,True,675378,True,True,8432,32,False,False,False,0,0,,
55279,55279.pdb,1UovxvvkPy9gF1HZHc7dRq1ZwA0B3nbhf,True,True,1,659966,True,659966,True,True,8296,2,False,False,False,0,0,,
55352,55352.pdb,12pgUKoyriTk7WC83rCS39JYEPL-3HJZp,True,True,1,654976,True,654976,True,True,8197,20,False,False,False,0,0,,
55430,55430.pdb,1EbYr88xGBHzJ2UTVM_TpOCPWrrtRvfw1,True,True,1,639885,True,639885,True,True,7999,23,False,False,False,0,0,,
55488,55488.pdb,1kQD4Vnozk6qRA7gEuEt2MuwXprBV7VwI,True,True,1,612243,True,612243,True,True,7646,22,False,False,False,0,0,,
55583,55583.pdb,1DUBcmWW5YBpMa-vCzKDqmQpzjT1pvM8E,True,True,1,650619,True,650619,True,True,8127,28,False,False,False,0,0,,
55710,55710.pdb,13NXaI2mhgxjY-LawCq0ZOSgYqD4U7IHY,True,True,1,647916,True,647916,True,True,8074,35,False,False,False,0,0,,
56046,56046.pdb,1thiBFsFmjrMs0GLi7szcIGVzcmdo-9Su,True,True,1,638427,True,638427,True,True,7979,25,False,False,False,0,0,,
56347,56347.pdb,1ZQR6d-ljN7jQeM_xl8-cmM2bJZBs6wVj,True,True,1,593337,True,593337,True,True,7419,20,False,False,False,0,0,,
56378,56378.pdb,18xe09Shwk7Q3MMZ7BDyE1YnKzjW37fH9,True,True,1,667928,True,667928,True,True,8334,31,False,False,False,0,0,,
56543,56543.pdb,1qW3wOoWcXxVtCcc8_VE8J7zgqayfVU9g,True,True,1,483667,True,483667,True,True,6025,22,False,False,False,0,0,,
56688,56688.pdb,1CPcDTkdAHc3UiJXIKqLDyMVzvskl6EOm,True,True,1,635606,True,635606,True,True,7933,29,False,False,False,0,0,,
56798,56798.pdb,1nQNpGsxQRI-SMeUKdLd3WRFGoJr6lEXK,True,True,1,672896,True,672896,True,True,8442,10,False,False,False,0,0,,
56838,56838.pdb,1qiQOdZxcw9exEuBM7vxdGYLdJV4vkpkC,True,True,1,635606,True,635606,True,True,7933,29,False,False,False,0,0,,
57087,57087.pdb,1L-gAta3zXthUf0MXnBG3sLHedA7tTo9V,True,True,1,659514,True,659514,True,True,8284,5,False,False,False,0,0,,
57253,57253.pdb,1n949Cyqhr5HbSPy3H7V6R3hN_V7fo6Pm,True,True,1,645746,True,645746,True,True,8073,24,False,False,False,0,0,,
57279,57279.pdb,1YsYc_GQJ4kMUn-K_YBsYXJipd6qTROzX,True,True,1,652051,True,652051,True,True,8179,10,False,False,False,0,0,,
57541,57541.pdb,1EV49KY4XkfHo_tT_2DnJwAjwr6An54lE,True,True,1,652251,True,652251,True,True,8179,11,False,False,False,0,0,,
57570,57570.pdb,1P3Pk5AZ64LW4Y8pZdHX5B_Ou4aQjlIYa,True,True,1,696162,True,696162,True,True,8725,14,False,False,False,0,0,,
57648,57648.pdb,1Ca1c_aNF2YqouYcgYu4CoLfwxU6jLBPM,True,True,1,685032,True,685032,True,True,8539,31,False,False,False,0,0,,
58034,58034.pdb,17nQCiSsgKy2ybX9slRdrIU9lGjkBEllZ,True,True,1,667777,True,667777,True,True,8334,30,False,False,False,0,0,,
58779,58779.pdb,1dJmwLviXSq8rj30Xs7_ew1PjUkogQlwh,True,True,1,652051,True,652051,True,True,8179,10,False,False,False,0,0,,
58890,58890.pdb,1A0Ag8slLW1VwSfk2T-7cNb4ZWI9QbDLe,True,True,1,642969,True,642969,True,True,8045,20,False,False,False,0,0,,
59313,59313.pdb,1qvbDePVZoRiigkU3u_VfT4jyuhA2kFiO,True,True,1,640418,True,640418,True,True,8012,14,False,False,False,0,0,,
59360,59360.pdb,1FvcB5qE3wJmf52Oh4hVq0h3-jLWTMQHY,True,True,1,506426,True,506426,True,True,6344,10,False,False,False,0,0,,
59368,59368.pdb,1Jw4z6mJ5Svr95qBmZnQaIDneL2elnIAf,True,True,1,579502,True,579502,True,True,7244,21,False,False,False,0,0,,
59471,59471.pdb,1TKuRwjM6-jdaPFZUn-rfL47y96IztbKf,True,True,1,655141,True,655141,True,True,8205,17,False,False,False,0,0,,
59578,59578.pdb,12qR69T3xg-sJrs4KWVfj7fJZkwH48ZiS,True,True,1,659713,True,659713,True,True,8284,6,False,False,False,0,0,,
59978,59978.pdb,1-Gnb5aVpG0529YQtYz2q7amO17KkFwqs,True,True,1,637840,True,637840,True,True,7977,22,False,False,False,0,0,,
60181,60181.pdb,1ghbEjAyzoZHjvKzmGQxSUNchKcLV3fdj,True,True,1,680462,True,680462,True,True,8509,23,False,False,False,0,0,,
60253,60253.pdb,1QJYFKO0rJzwNCwXpYBjuNVyLoEojXBbq,True,True,1,651043,True,651043,True,True,8139,25,False,False,False,0,0,,
60307,60307.pdb,1z0zF6T3Pm9rZTb-TBcyC1Msv2N__t84E,True,True,1,643429,True,643429,True,True,8028,31,False,False,False,0,0,,
60328,60328.pdb,1KiPzvX2LsAEoAndUOF7b_iALfNodyRA6,True,True,1,695967,True,695967,True,True,8738,0,False,False,False,0,0,,
60333,60333.pdb,1CqD8dWpTnnKJfeIRXWUD_uJ_qpfrwQpP,True,True,1,674975,True,674975,True,True,8434,24,False,False,False,0,0,,
60337,60337.pdb,1xqmDUnGNZE0EMCRVGN9Du1rhPi6DXxgW,True,True,1,643582,True,643582,True,True,8028,32,False,False,False,0,0,,
60524,60524.pdb,1dH-gkxzhGF5_ydunilZDNluhRgUBcmDr,True,True,1,675222,True,675222,True,True,8445,20,False,False,False,0,0,,
60665,60665.pdb,1XYt--HmgbjLi0rKjQKrUmdFwuwc3UyGC,True,True,1,652411,True,652411,True,True,8163,21,False,False,False,0,0,,
60796,60796.pdb,1FKnz5EcOK8M1LV4tUgvgQBQOE1hf--sV,True,True,1,529284,True,529284,True,True,6601,26,False,False,False,0,0,,
60936,60936.pdb,1CB304B8-yiDyM5lE3aYvbbAfWoi9b6gS,True,True,1,575037,True,575037,True,True,7185,22,False,False,False,0,0,,
61064,61064.pdb,1NBMT0TJFBexIMRNVhGhgRa-nj4EIGsyF,True,True,1,651678,True,651678,True,True,8139,24,False,False,False,0,0,,
61129,61129.pdb,1Y3sHN-WwvhxP0edYxphTC-3_A0H8d-ke,True,True,1,659914,True,659914,True,True,8284,7,False,False,False,0,0,,
61362,61362.pdb,1oRv5kP68YW3cxrHV7CIvMHVspRNkpu5T,True,True,1,705559,True,705559,True,True,8827,20,False,False,False,0,0,,
61562,61562.pdb,1kHXvfXC89QsuYNPzzcM8CLtXJVqkUm-5,True,True,1,675470,True,675470,True,True,8445,21,False,False,False,0,0,,
61568,61568.pdb,1ZpqizRzdALZDR-9-ywzKZAF8erPx7gnS,True,True,1,647396,True,647396,True,True,8102,20,False,False,False,0,0,,
61620,61620.pdb,1B1TiIGMT8p8dOA5WR09DT99fuqkN3bdq,True,True,1,631598,True,631598,True,True,7908,17,False,False,False,0,0,,
61624,61624.pdb,18_GzNiHvcvIrNameBJcK2Ip1UBhKln-Z,True,True,1,655652,True,655652,True,True,8205,21,False,False,False,0,0,,
61662,61662.pdb,1SLjBpqEwTRo1etKAH_VUgU9LQs2mK_AT,True,True,1,656297,True,656297,True,True,8212,14,False,False,False,0,0,,
61826,61826.pdb,1QTDEMrxCrQiuU69QJrYTB8a-41G4JZuR,True,True,1,674383,True,674383,True,True,8429,22,False,False,False,0,0,,
62105,62105.pdb,1vNskukHAUcvfVqaT55JTm7P9Fipu8aBD,True,True,1,684113,True,684113,True,True,8553,22,False,False,False,0,0,,
62222,62222.pdb,1vq8Yf3dbYFJy--ARYRMiWzxT3ZP7-ytS,True,True,1,629354,True,629354,True,True,7866,24,False,False,False,0,0,,
62266,62266.pdb,1KwaDJ0uEn-cuYUEUZkUjvLEwjXmxtE_t,True,True,1,679579,True,679579,True,True,8491,24,False,False,False,0,0,,
62347,62347.pdb,19aIkA-JFLtM736tgiNXxKE3RzQ4iaFDk,True,True,1,654974,True,654974,True,True,8180,28,False,False,False,0,0,,
62382,62382.pdb,1bp0FIVN3e-tH3NAWSRU2hzje4__62KdK,True,True,1,652885,True,652885,True,True,8165,23,False,False,False,0,0,,
62558,62558.pdb,1BOhbX1h1hKeELAbM7jHpx_Z8JNtgU8dX,True,True,1,675580,True,675580,True,True,8432,33,False,False,False,0,0,,
62574,62574.pdb,17EHyzjQlkxwGUCtOLjtlWxv0P7_lHdH8,True,True,1,632225,True,632225,True,True,7926,11,False,False,False,0,0,,
62796,62796.pdb,1ENNMhotWsnAH1eDIeWCgHvsQjv9Hq5Xg,True,True,1,628526,True,628526,True,True,7862,21,False,False,False,0,0,,
63062,63062.pdb,1Lbvr3BYBXfuawMAz0OFyIR0_yE3gCtTI,True,True,1,593337,True,593337,True,True,7419,20,False,False,False,0,0,,
63674,63674.pdb,1E486YperF32EDzGH4oRsvix67bbPRAYm,True,True,1,652904,True,652904,True,True,8156,27,False,False,False,0,0,,
63717,63717.pdb,16_MTIqd2wKXZcXNpi-BJQXXkEleZ7W8M,True,True,1,659713,True,659713,True,True,8284,6,False,False,False,0,0,,
63796,63796.pdb,1Owo4YqEIL7HPej2Aizy8LD0JnTaf5JK5,True,True,1,621930,True,621930,True,True,7760,31,False,False,False,0,0,,
64163,64163.pdb,1o7SqnDq0hEbXdbHuVEWXWAMZzoOIVB4I,True,True,1,592880,True,592880,True,True,7419,17,False,False,False,0,0,,
64257,64257.pdb,1vpa5Naw7ws4jjxqKmvHW0Qcyi2kQEnnm,True,True,1,650670,True,650670,True,True,8127,28,False,False,False,0,0,,
