structure_index,pdb_name,drive_file_id,stable_id,file_size,found_in_drivefs_metadata,found_in_drive_metadata,drive_path,p450_data_rows,p450_positive_rows,p450_unique_enzyme_count,p450_uniprots,is_trainable_in_exp003_manifest,trainable_rows,trainable_positive_rows,trainable_splits
25790,25790.pdb,1VRRWlp7SZLaOSiUQ5lovM1EH0oH9t14c,451123,651630,True,True,ESIBank/brenda/structure/complex/25790.pdb,1,1,1,P51589,True,1,1,train
26799,26799.pdb,1S65OLnMwE4oZ2L3E62f21Nms9_CYe9R0,441389,636205,True,True,ESIBank/brenda/structure/complex/26799.pdb,1,1,1,A0A1D6GQ67,True,1,1,train
28210,28210.pdb,1Mo0XacG62E3uPODXgFJLyI3ODBryYzBO,422622,683600,True,True,ESIBank/brenda/structure/complex/28210.pdb,1,1,1,P24557,True,1,1,test
28897,28897.pdb,1FlvP3zKnfx58vZI75yvAsZdNEe_FUH6G,410876,633195,True,True,ESIBank/brenda/structure/complex/28897.pdb,1,1,1,B4FVP3,True,1,1,train
29752,29752.pdb,12W75gI4zrHrzbC6LPegOrkHjK_OhsbRr,404474,674618,True,True,ESIBank/brenda/structure/complex/29752.pdb,1,1,1,P78329,True,1,1,train
30495,30495.pdb,1qnHFJnhMo9JymBgesIsRy0exKOXHnp6_,394115,654390,True,True,ESIBank/brenda/structure/complex/30495.pdb,1,1,1,P05185,True,1,1,train
30752,30752.pdb,16bXZ4nAlwzaYrqmBtFZHXRmMHBiBgJrv,393846,683650,True,True,ESIBank/brenda/structure/complex/30752.pdb,1,1,1,P24557,True,1,1,test
30967,30967.pdb,1nk8hZbB5N2uqwOsrzjTInfBEZ8i4VMMw,386775,671632,True,True,ESIBank/brenda/structure/complex/30967.pdb,1,1,1,P93149,True,1,1,train
31070,31070.pdb,1Aw3wOWgpwXeMFm9FObbw_XJAGA4Dcz4T,386600,683645,True,True,ESIBank/brenda/structure/complex/31070.pdb,1,1,1,P24557,True,1,1,train
31206,31206.pdb,1Kr4NfX26dzWUzlXCJhskmOMigk_7dotW,387510,607131,True,True,ESIBank/brenda/structure/complex/31206.pdb,1,1,1,K4CI52,True,1,1,train
31295,31295.pdb,1mO6EPHl5HM6nL3lTe7R7ZNQkMOPDLuf5,386960,653596,True,True,ESIBank/brenda/structure/complex/31295.pdb,1,1,1,P08684,True,1,1,train
31328,31328.pdb,1vo8a_VEQUTXtRUDm9idZgptEFVfprjEQ,386535,509342,True,True,ESIBank/brenda/structure/complex/31328.pdb,1,1,1,Q9ZAU3,True,1,1,train
32361,32361.pdb,1p_TWnsbadnh4Wge-gRIbiy-ustRTUz4j,378895,629725,True,True,ESIBank/brenda/structure/complex/32361.pdb,1,1,1,A0A0C5QRZ2,True,1,1,train
33611,33611.pdb,1_QFSe8Mqnyp8ebUDZyZD3lqyb0Tv7kYH,358922,680615,True,True,ESIBank/brenda/structure/complex/33611.pdb,1,1,1,Q9Y7C8,True,1,1,train
33993,33993.pdb,1cu7yaW1i50sAUcYljEo0ZJKN_zUaCAtU,359329,647047,True,True,ESIBank/brenda/structure/complex/33993.pdb,1,1,1,Q6VVX0,True,1,1,test
34040,34040.pdb,11SjgPKUXXFxqs0oyPGlP19dV5vsBxDkO,357708,618615,True,True,ESIBank/brenda/structure/complex/34040.pdb,1,1,1,F6H9N6,True,1,1,train
34878,34878.pdb,1f35TiVemqdxet6RwAsvCZ4Ltzk8Ihrb0,348170,659495,True,True,ESIBank/brenda/structure/complex/34878.pdb,1,1,1,P98183,True,1,1,train
34982,34982.pdb,1bSW9qi4ZG9VRLOFE6I3XLJR5_apn6yuR,347596,664875,True,True,ESIBank/brenda/structure/complex/34982.pdb,1,1,1,O49394,True,1,1,train
35000,35000.pdb,1wvYormrHP8kmLvyK08gW34QmNvvJ1dXo,345681,649775,True,True,ESIBank/brenda/structure/complex/35000.pdb,1,1,1,P48421,True,1,1,train
35587,35587.pdb,1e4UdmqGnFcf5m0FTajYedVhkKZBXth-g,337351,645780,True,True,ESIBank/brenda/structure/complex/35587.pdb,1,1,1,Q94FM7,True,1,1,test
35643,35643.pdb,1Iz9E1pgSdVHiATseWLa6sQiIe_qnaVdn,335701,665368,True,True,ESIBank/brenda/structure/complex/35643.pdb,1,1,1,O48958,True,1,1,train
36017,36017.pdb,1LoeS5-oOj5IhakefEouloe04U0U6snFg,334870,653037,True,True,ESIBank/brenda/structure/complex/36017.pdb,1,1,1,P05093,True,1,1,train
36205,36205.pdb,1jC-azJ6ucLoLg2-bxUqxAXT_0pmNLNQP,331564,643843,True,True,ESIBank/brenda/structure/complex/36205.pdb,1,1,1,O65782,True,1,1,train
36311,36311.pdb,1XH6nopkzN3t5yWezuOG8WIoC57r3NCKs,328992,593332,True,True,ESIBank/brenda/structure/complex/36311.pdb,1,1,1,Q9FH76,True,1,1,train
37291,37291.pdb,1aKF4z39X3Gts1cUwAHREZ1AHMPf-Tq3s,320517,630182,True,True,ESIBank/brenda/structure/complex/37291.pdb,1,1,1,F8S1H8,True,1,1,train
37298,37298.pdb,1XBFz0Pr43fZyRjp1u4GkAeG58IVmm42w,320069,651140,True,True,ESIBank/brenda/structure/complex/37298.pdb,1,1,1,Q9LLB0,True,1,1,train
37408,37408.pdb,1UkA_PjNe5lrIMPNSMcIpDY9JHJfBnXSb,319701,671165,True,True,ESIBank/brenda/structure/complex/37408.pdb,1,1,1,Q9LSF8,True,1,1,train
37926,37926.pdb,1QQlUrKT7zJklUK8lcniEQmoB1LDlmKPx,310450,498750,True,True,ESIBank/brenda/structure/complex/37926.pdb,1,1,1,P23295,True,1,1,test
38015,38015.pdb,1rTj0beX7bNz1NIWHvestpAMvJDjElu3f,309882,683243,True,True,ESIBank/brenda/structure/complex/38015.pdb,1,1,1,P24557,True,1,1,val
38199,38199.pdb,1g-okS2tfV7UFUl8yPefDYLlsi9MIVFiZ,307692,601444,True,True,ESIBank/brenda/structure/complex/38199.pdb,1,1,1,C0SJS2,True,1,1,train
38200,38200.pdb,1MJS-bRa4yBZgPOfSXcEDUsexJYGBk-1V,309345,653343,True,True,ESIBank/brenda/structure/complex/38200.pdb,1,1,1,Q2LAL0,True,1,1,train
38452,38452.pdb,1hDTotLkIe2pPSaqaLDXTvclY2k-xDkGO,309133,652050,True,True,ESIBank/brenda/structure/complex/38452.pdb,1,1,1,P17549,True,1,1,train
38706,38706.pdb,1zRJVkX6PT1-1u7T39AFTmiFNtVkN-IQy,303180,652210,True,True,ESIBank/brenda/structure/complex/38706.pdb,1,1,1,Q6WNR0,True,1,1,train
39678,39678.pdb,17KvuN2aKPVfCh0zU-QEo0kUFK5hhf_Ia,291923,652338,True,True,ESIBank/brenda/structure/complex/39678.pdb,1,1,1,P70687,True,1,1,train
40090,40090.pdb,1RXOrA8DCmE_uq0fozwiAi2npFq8F9kup,291011,593026,True,True,ESIBank/brenda/structure/complex/40090.pdb,1,1,1,Q9FH76,True,1,1,val
40202,40202.pdb,1v0QcDDYIaom_h3pCFqHNo4dUNJT17ZkT,292071,646514,True,True,ESIBank/brenda/structure/complex/40202.pdb,1,1,1,Q9Y6A2,True,1,1,train
40212,40212.pdb,1A5E6fBrWZj2fgjQJkORlE5EgIkQNp971,291966,650561,True,True,ESIBank/brenda/structure/complex/40212.pdb,1,1,1,P22680,True,1,1,train
40274,40274.pdb,18CaUYrc_sB-O5-06VMFOQyzY3b8zZeQ4,291731,665672,True,True,ESIBank/brenda/structure/complex/40274.pdb,1,1,1,O48958,True,1,1,train
40403,40403.pdb,1GyPiAdFTq7ZXBzsWJbrg2eUNyhJtOHm2,292323,632993,True,True,ESIBank/brenda/structure/complex/40403.pdb,1,1,1,B4FVP3,True,1,1,train
40711,40711.pdb,1G9SxJERNHZYt5wryoD5zRqGv6xK9KoiD,283058,649140,True,True,ESIBank/brenda/structure/complex/40711.pdb,1,1,1,P46634,True,1,1,train
40786,40786.pdb,1hfqlsj6svkkJCL21RANcQmikFArYLZgM,283320,634166,True,True,ESIBank/brenda/structure/complex/40786.pdb,1,1,1,W0FKI0,True,1,1,train
41053,41053.pdb,1LKV2m23Jdm0lmjlDSzF0JGftmnewIRoM,284541,681084,True,True,ESIBank/brenda/structure/complex/41053.pdb,1,1,1,Q64429,True,1,1,test
41830,41830.pdb,1l8u2aH4wstPPCHxid5ypXkDkLZCf2ieo,273959,642969,True,True,ESIBank/brenda/structure/complex/41830.pdb,1,1,1,Q9SD85,True,1,1,train
42064,42064.pdb,1KB2sHxXpbcRwsl0b9MYO6dRSNNqJvSLe,275495,671937,True,True,ESIBank/brenda/structure/complex/42064.pdb,1,1,1,P93149,True,1,1,train
42253,42253.pdb,1a_ihmOZPArhcgPZ8vYCGrdCUuhugp57E,263598,683646,True,True,ESIBank/brenda/structure/complex/42253.pdb,1,1,1,P24557,True,1,1,train
42966,42966.pdb,1e2CVDaJdoESibSgq-UH6W4o-TDpnUBXb,264502,636471,True,True,ESIBank/brenda/structure/complex/42966.pdb,1,1,1,O23051,True,1,1,train
43249,43249.pdb,1cFv5d5cbBEPR4PzQNgvEpUErVz17AxbV,253356,626558,True,True,ESIBank/brenda/structure/complex/43249.pdb,1,1,1,A8CDR5,True,1,1,train
43319,43319.pdb,1bhfWlTTtqTErl2sX8SyuQC4BuQ7OZmQb,252461,628526,True,True,ESIBank/brenda/structure/complex/43319.pdb,1,1,1,Q50EK6,True,1,1,train
43407,43407.pdb,1vGf2ouaBx9MDQEXplsnZ49oyJFplWLBt,250636,605874,True,True,ESIBank/brenda/structure/complex/43407.pdb,1,1,1,C0SJS4,True,1,1,test
43443,43443.pdb,1oH7iCccuD2qw0wtW92DaT6FPFXAcVniO,253159,651007,True,True,ESIBank/brenda/structure/complex/43443.pdb,1,1,1,P30437,True,1,1,train
43701,43701.pdb,1G_IyMcg4cA44IdXsX9kXB6uY7BgFR_KJ,252857,677222,True,True,ESIBank/brenda/structure/complex/43701.pdb,1,1,1,Q08477,True,1,1,train
43712,43712.pdb,1C9UefvPgkSX4JUmibRNUacK1B9WdWWFZ,247490,640301,True,True,ESIBank/brenda/structure/complex/43712.pdb,1,1,1,O15528,True,1,1,train
43738,43738.pdb,1joE0IoTfTWO1oTzo7ZjFxw4ItLK--J8d,245639,593385,True,True,ESIBank/brenda/structure/complex/43738.pdb,1,1,1,Q9FH76,True,1,1,train
43980,43980.pdb,1b2AttijLxRovVfMDI4l441wkBwNkuwzP,244652,635854,True,True,ESIBank/brenda/structure/complex/43980.pdb,1,1,1,O35084,True,1,1,train
44391,44391.pdb,1Jn4Uc-Y-KWzoWIYux_5pGBMtPCUyJJMF,242072,593385,True,True,ESIBank/brenda/structure/complex/44391.pdb,1,1,1,Q9FH76,True,1,1,train
44615,44615.pdb,1ke7U-e9Dkgu3VL82ZaqwB6SYrpDxXeNd,247441,652803,True,True,ESIBank/brenda/structure/complex/44615.pdb,1,1,1,P51589,True,1,1,train
45160,45160.pdb,1VoCa7xg1mwvRRYiM1RMDopgX8U_JNxFz,234830,593033,True,True,ESIBank/brenda/structure/complex/45160.pdb,1,1,1,Q9FH76,True,1,1,test
45222,45222.pdb,1zdXB9VnEDQtqxfri2BjaaootwOZ9CFR7,235897,647442,True,True,ESIBank/brenda/structure/complex/45222.pdb,1,1,1,Q62969,True,1,1,val
45259,45259.pdb,1KYX_X8bWRvrOdjcU0EUdJGbFLlrQ9GYd,235605,665520,True,True,ESIBank/brenda/structure/complex/45259.pdb,1,1,1,O48958,True,1,1,train
45500,45500.pdb,1AFMorR4fbvzr5NKa7zsX6jnA9KReOkzz,235743,654699,True,True,ESIBank/brenda/structure/complex/45500.pdb,1,1,1,P19100,True,1,1,train
45567,45567.pdb,1UHgthPSubT4ghKNykeYSkFpglqleDp7s,229509,696314,True,True,ESIBank/brenda/structure/complex/45567.pdb,1,1,1,Q43135,True,1,1,train
45581,45581.pdb,1t2S5JuwGdCCcu26vt2z7Pug0e5WSik9B,228253,653059,True,True,ESIBank/brenda/structure/complex/45581.pdb,1,1,1,P51589,True,1,1,train
45684,45684.pdb,1Nt6hqGCxJ_1jMpBA5bp7KTm0zZjWiTG3,228133,663079,True,True,ESIBank/brenda/structure/complex/45684.pdb,1,1,1,Q9XHC6,True,1,1,train
45902,45902.pdb,1wrxueyd-Z2tXDIq-DtOsR9CY5iH9eyXO,226611,630968,True,True,ESIBank/brenda/structure/complex/45902.pdb,1,1,1,B4FVP3,True,1,1,train
46983,46983.pdb,14t7etBfoYyNV3fUIpSj6GQRPzORmdgAM,216947,640036,True,True,ESIBank/brenda/structure/complex/46983.pdb,1,1,1,B1NF18,True,1,1,train
47148,47148.pdb,19_NBHgiZd_nWIWDBG8YGrUbyUAhiNQeu,214874,511409,True,True,ESIBank/brenda/structure/complex/47148.pdb,1,1,1,Q59723,True,1,1,train
48105,48105.pdb,15ON4snusXE5LgSxxZb6VGHjPPjhhfLPJ,205683,593184,True,True,ESIBank/brenda/structure/complex/48105.pdb,1,1,1,Q9FH76,True,1,1,train
48269,48269.pdb,12E7dMUrVMD9XHxIpqssFpBKym9e7Is_8,197346,672017,True,True,ESIBank/brenda/structure/complex/48269.pdb,1,1,1,Q43250,True,1,1,test
48795,48795.pdb,1mwefBf6D2BGB4D5KbhOolgt2XO1wExjQ,195341,547005,True,True,ESIBank/brenda/structure/complex/48795.pdb,1,1,1,Q63688,True,1,1,train
49502,49502.pdb,1MsUxlqS86H2B1I24u6cuAGsmBzFibWRL,186017,637993,True,True,ESIBank/brenda/structure/complex/49502.pdb,1,1,1,A0A125QZE2,True,1,1,val
49663,49663.pdb,16FWOJKFdTdLWNlzsgZSw_gKS0yc1iOvw,185937,646805,True,True,ESIBank/brenda/structure/complex/49663.pdb,1,1,1,P08683,True,1,1,train
49827,49827.pdb,1d4K5mWOI3K5bFjJ-vxSM0s1J7rqVUBQk,180557,677127,True,True,ESIBank/brenda/structure/complex/49827.pdb,1,1,1,Q64441,True,1,1,test
49834,49834.pdb,1CVXmD2YxfpFh9EexBhDOoYOBrgU5hxrX,178633,672535,True,True,ESIBank/brenda/structure/complex/49834.pdb,1,1,1,Q02928,True,1,1,train
49847,49847.pdb,1n4R64VoydHd8xrFCYG4mnrCR5XhqHJVi,178881,659714,True,True,ESIBank/brenda/structure/complex/49847.pdb,1,1,1,Q6XQ14,True,1,1,train
50173,50173.pdb,1n0jt76AuqTMdn-yrIZZkFu_J8CtrcU9r,180447,682815,True,True,ESIBank/brenda/structure/complex/50173.pdb,1,1,1,A0A1D6F9Y9,True,1,1,train
50735,50735.pdb,1gW0kHXCQHDDAzA6d29R6UpvD3_c7nqaU,178785,665503,True,True,ESIBank/brenda/structure/complex/50735.pdb,1,1,1,A0A0G2RKY1,True,1,1,train
51357,51357.pdb,1oXY0U_0GXrDLcXP1-ak31j7UQ5XhwCIt,166021,668028,True,True,ESIBank/brenda/structure/complex/51357.pdb,1,1,1,Q60991,True,1,1,train
51408,51408.pdb,1b-y6uUh1QaJBhqBJyxS0z0kbIOx038PC,166216,647148,True,True,ESIBank/brenda/structure/complex/51408.pdb,1,1,1,Q6VVX0,True,1,1,train
51591,51591.pdb,1B8RFLOxmW1GS8QpJtDdlilT7-VlobGKn,161252,593033,True,True,ESIBank/brenda/structure/complex/51591.pdb,1,1,1,Q9FH76,True,1,1,train
51893,51893.pdb,1cfSR2rFD_1j3yK6DlalIh8qiz77hwbRL,143889,637654,True,True,ESIBank/brenda/structure/complex/51893.pdb,1,1,1,X2JE85,True,1,1,train
52036,52036.pdb,1SICByLO7j7NOmLEHzkzqrs8bU1jBkTX0,148533,661876,True,True,ESIBank/brenda/structure/complex/52036.pdb,1,1,1,P48422,True,1,1,train
52188,52188.pdb,1oVrnqiRdgzGnwnGwCo3hxTm3Zd7vkWmx,144231,615946,True,True,ESIBank/brenda/structure/complex/52188.pdb,1,1,1,L7T8H2,True,1,1,train
52294,52294.pdb,19-f4ZCbNj3Rtrvj3ez_Jqxpfk4u1CryK,143645,652056,True,True,ESIBank/brenda/structure/complex/52294.pdb,1,1,1,Q6WNR0,True,1,1,train
52410,52410.pdb,1WmOM08lZD5Q2h1cGQczlNwf5UlKgwyS5,143697,649829,True,True,ESIBank/brenda/structure/complex/52410.pdb,1,1,1,O02766,True,1,1,test
52687,52687.pdb,12_QEnUXrh-OrjmduduWE6PV2aAPmsBQt,106782,649730,True,True,ESIBank/brenda/structure/complex/52687.pdb,1,1,1,Q9GJX5,True,1,1,val
53262,53262.pdb,1L0Hqq1cS4Ab-4UQTCCzMM-o-o_D1CSoL,107344,617204,True,True,ESIBank/brenda/structure/complex/53262.pdb,1,1,1,A0A3Q7HS74,True,1,1,train
53503,53503.pdb,18n2MkAAiO-VWZhoArYVZr0zYJNCLLwkP,62103,644549,True,True,ESIBank/brenda/structure/complex/53503.pdb,1,1,1,Q8W3Y5,True,1,1,test
53594,53594.pdb,1vF_CuWwG93gEiXpoFSUAklfwvZQ6ivZe,72586,677070,True,True,ESIBank/brenda/structure/complex/53594.pdb,1,1,1,Q08477,True,1,1,train
53769,53769.pdb,1MMlOmCO9KBcBZbV-c6rItN4o-4PPGEQA,53741,593537,True,True,ESIBank/brenda/structure/complex/53769.pdb,1,1,1,Q9FH76,True,1,1,train
54041,54041.pdb,1ITX93Xx2NTPs-sff-AsVjf1NNKhgoHeL,53720,612907,True,True,ESIBank/brenda/structure/complex/54041.pdb,1,1,1,Q9FPM6,True,1,1,train
54224,54224.pdb,1qrJuXHQ5yeW08kNZNkiLkJzBzoDRNI9W,72464,683484,True,True,ESIBank/brenda/structure/complex/54224.pdb,1,1,1,A2RRT9,True,1,1,train
54490,54490.pdb,1v0X-DM4htIiv1PVdO5P1QFuSLb-jaFEy,67949,652450,True,True,ESIBank/brenda/structure/complex/54490.pdb,1,1,1,P51589,True,1,1,train
54495,54495.pdb,1x4eksWBv1nfkBnxDaa90pCZjGYnpJy2m,33772,611150,True,True,ESIBank/brenda/structure/complex/54495.pdb,1,1,1,C0SJS3,True,1,1,train
54715,54715.pdb,1hShasB1bWTk1ad8734ByFb4MUaFcOpPO,31000,530449,True,True,ESIBank/brenda/structure/complex/54715.pdb,1,1,1,Q06069,True,1,1,test
54814,54814.pdb,1Xt0LKe9Za9E75H659jaZqstFvKtqD00n,67626,675378,True,True,ESIBank/brenda/structure/complex/54814.pdb,1,1,1,H1A988,True,1,1,train
55279,55279.pdb,1UovxvvkPy9gF1HZHc7dRq1ZwA0B3nbhf,67850,659966,True,True,ESIBank/brenda/structure/complex/55279.pdb,1,1,1,P37114,True,1,1,train
55352,55352.pdb,12pgUKoyriTk7WC83rCS39JYEPL-3HJZp,67914,654976,True,True,ESIBank/brenda/structure/complex/55352.pdb,1,1,1,P37120,True,1,1,test
55430,55430.pdb,1EbYr88xGBHzJ2UTVM_TpOCPWrrtRvfw1,38252,639885,True,True,ESIBank/brenda/structure/complex/55430.pdb,1,1,1,B1NF18,True,1,1,train
55488,55488.pdb,1kQD4Vnozk6qRA7gEuEt2MuwXprBV7VwI,33776,612243,True,True,ESIBank/brenda/structure/complex/55488.pdb,1,1,1,Q9AVQ1,True,1,1,test
55583,55583.pdb,1DUBcmWW5YBpMa-vCzKDqmQpzjT1pvM8E,38063,650619,True,True,ESIBank/brenda/structure/complex/55583.pdb,1,1,1,P11715,True,1,1,train
55710,55710.pdb,13NXaI2mhgxjY-LawCq0ZOSgYqD4U7IHY,38094,647916,True,True,ESIBank/brenda/structure/complex/55710.pdb,1,1,1,P08683,True,1,1,train
56046,56046.pdb,1thiBFsFmjrMs0GLi7szcIGVzcmdo-9Su,38278,638427,True,True,ESIBank/brenda/structure/complex/56046.pdb,1,1,1,P00191,True,1,1,train
56347,56347.pdb,1ZQR6d-ljN7jQeM_xl8-cmM2bJZBs6wVj,34024,593337,True,True,ESIBank/brenda/structure/complex/56347.pdb,1,1,1,Q9FH76,True,1,1,train
56378,56378.pdb,18xe09Shwk7Q3MMZ7BDyE1YnKzjW37fH9,37856,667928,True,True,ESIBank/brenda/structure/complex/56378.pdb,1,1,1,Q07973,True,1,1,train
56543,56543.pdb,1qW3wOoWcXxVtCcc8_VE8J7zgqayfVU9g,22848,483667,True,True,ESIBank/brenda/structure/complex/56543.pdb,1,1,1,B3LF83,True,1,1,train
56688,56688.pdb,1CPcDTkdAHc3UiJXIKqLDyMVzvskl6EOm,38340,635606,True,True,ESIBank/brenda/structure/complex/56688.pdb,1,1,1,O64698,True,1,1,train
56798,56798.pdb,1nQNpGsxQRI-SMeUKdLd3WRFGoJr6lEXK,37766,672896,True,True,ESIBank/brenda/structure/complex/56798.pdb,1,1,1,Q43255,True,1,1,train
56838,56838.pdb,1qiQOdZxcw9exEuBM7vxdGYLdJV4vkpkC,38336,635606,True,True,ESIBank/brenda/structure/complex/56838.pdb,1,1,1,O64698,True,1,1,train
57087,57087.pdb,1L-gAta3zXthUf0MXnBG3sLHedA7tTo9V,37937,659514,True,True,ESIBank/brenda/structure/complex/57087.pdb,1,1,1,Q6XQ14,True,1,1,train
57253,57253.pdb,1n949Cyqhr5HbSPy3H7V6R3hN_V7fo6Pm,38148,645746,True,True,ESIBank/brenda/structure/complex/57253.pdb,1,1,1,Q50LH4,True,1,1,train
57279,57279.pdb,1YsYc_GQJ4kMUn-K_YBsYXJipd6qTROzX,38033,652051,True,True,ESIBank/brenda/structure/complex/57279.pdb,1,1,1,P17549,True,1,1,train
57541,57541.pdb,1EV49KY4XkfHo_tT_2DnJwAjwr6An54lE,38032,652251,True,True,ESIBank/brenda/structure/complex/57541.pdb,1,1,1,P17549,True,1,1,train
57570,57570.pdb,1P3Pk5AZ64LW4Y8pZdHX5B_Ou4aQjlIYa,42369,696162,True,True,ESIBank/brenda/structure/complex/57570.pdb,1,1,1,Q43135,True,1,1,train
57648,57648.pdb,1Ca1c_aNF2YqouYcgYu4CoLfwxU6jLBPM,42564,685032,True,True,ESIBank/brenda/structure/complex/57648.pdb,1,1,1,P24557,True,1,1,train
58034,58034.pdb,17nQCiSsgKy2ybX9slRdrIU9lGjkBEllZ,37858,667777,True,True,ESIBank/brenda/structure/complex/58034.pdb,1,1,1,Q07973,True,1,1,train
58779,58779.pdb,1dJmwLviXSq8rj30Xs7_ew1PjUkogQlwh,38038,652051,True,True,ESIBank/brenda/structure/complex/58779.pdb,1,1,1,P17549,True,1,1,train
58890,58890.pdb,1A0Ag8slLW1VwSfk2T-7cNb4ZWI9QbDLe,38191,642969,True,True,ESIBank/brenda/structure/complex/58890.pdb,1,1,1,Q9SD85,True,1,1,train
59313,59313.pdb,1qvbDePVZoRiigkU3u_VfT4jyuhA2kFiO,38238,640418,True,True,ESIBank/brenda/structure/complex/59313.pdb,1,1,1,Q9ZUX1,True,1,1,train
59360,59360.pdb,1FvcB5qE3wJmf52Oh4hVq0h3-jLWTMQHY,31357,506426,True,True,ESIBank/brenda/structure/complex/59360.pdb,1,1,1,Q8VQF6,True,1,1,train
59368,59368.pdb,1Jw4z6mJ5Svr95qBmZnQaIDneL2elnIAf,34276,579502,True,True,ESIBank/brenda/structure/complex/59368.pdb,1,1,1,A0A0S1TP26,True,1,1,train
59471,59471.pdb,1TKuRwjM6-jdaPFZUn-rfL47y96IztbKf,37994,655141,True,True,ESIBank/brenda/structure/complex/59471.pdb,1,1,1,P11511,True,1,1,train
59578,59578.pdb,12qR69T3xg-sJrs4KWVfj7fJZkwH48ZiS,37933,659713,True,True,ESIBank/brenda/structure/complex/59578.pdb,1,1,1,Q6XQ14,True,1,1,train
59978,59978.pdb,1-Gnb5aVpG0529YQtYz2q7amO17KkFwqs,38286,637840,True,True,ESIBank/brenda/structure/complex/59978.pdb,1,1,1,A0A125QZE2,True,1,1,train
